obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/backpack2/features/rgb_0003_label_backpack2<pfh_iss_2015-05-28_10-53-32.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__36336: 'http://tycho:36336/', host_tycho__40285: 'http://tycho:40285/',
    host_tycho__45364: 'http://tycho:45364/', host_tycho__59546: 'http://tycho:59546/'}
rosversion: '1.11.10

  '
run_id: b545127c-0738-11e5-a91e-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_iss_2015-05-29_10-10-30.pcd 0.00780565 0.000741714 0.00140258 1 17 13 -1 378972 222 250 -1 -1 222 250 -1 -1 378750,194,28 -1 0,194,28 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_iss_2015-05-29_10-10-35.pcd 0.0103999 0.00100692 0.000831069 1 14 12 -1 393760 212 250 -1 -1 212 250 -1 -1 393548,179,29,3,1 -1 0,179,29,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_iss_2015-05-29_10-10-39.pcd 0.00851649 0.000647577 0.000914743 1 17 15 -1 389961 221 250 -1 -1 221 250 -1 -1 389740,193,27,1 -1 0,193,27,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_iss_2015-05-29_10-10-43.pcd 0.00775802 0.000630842 0.00112367 2 21,13 14,12 -1 389760 217 250 -1 -1 217 250 -1 -1 389543,186,29,2 -1 0,186,29,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-10-47.pcd 0.0086422 0.00119407 0.00117666 1 18 16 -1 368000 223 250 -1 -1 223 250 -1 -1 367777,198,23,2 -1 0,198,23,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-10-52.pcd 0.00708238 0.000963593 0.00130476 1 20 13 -1 360640 213 250 -1 -1 213 250 -1 -1 360427,180,29,4 -1 0,180,29,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-10-56.pcd 0.00977253 0.000746498 0.000748573 1 3 1 -1 397683 207 250 -1 -1 207 250 -1 -1 397476,170,31,6 -1 0,170,31,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-10-59.pcd 0.00647125 0.000576088 0.00113675 1 3 1 -1 425184 211 250 -1 -1 211 250 -1 -1 424973,174,35,2 -1 0,174,35,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_iss_2015-05-29_10-11-03.pcd 0.00739906 0.000769383 0.0012616 1 3 1 -1 393294 215 250 -1 -1 215 250 -1 -1 393079,184,27,4 -1 0,184,27,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-11-06.pcd 0.00844582 0.000736823 0.00106493 1 19 16 -1 418176 211 250 -1 -1 211 250 -1 -1 417965,178,27,6 -1 0,178,27,6 -1
