obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/chair1/features/rgb_0015_label_chair1<fpfh_iss_2015-05-28_10-53-18.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__39219: 'http://tycho:39219/', host_tycho__54632: 'http://tycho:54632/'}
rosversion: '1.11.10

  '
run_id: 593dc21e-0731-11e5-8335-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_iss_2015-05-29_10-04-54.pcd 0.00541515 0.00169762 0.00205077 6 139,76,57,57,49,32 63,33,36,24,19,21 -1 378972 476 880 -1 -1 400 804 -1 -1 378496,284,97,38,28,16,5,3,1,3,1 -1 0,208,97,38,28,16,5,3,1,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_iss_2015-05-29_10-04-58.pcd 0.00648396 0.000753681 0.00167297 6 170,73,66,66,42,17 70,28,42,38,19,14 -1 393760 488 880 -1 -1 400 792 -1 -1 393272,295,99,44,21,13,9,6,0,0,1 -1 0,207,99,44,21,13,9,6,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_iss_2015-05-29_10-05-01.pcd 0.00566935 0.000682683 0.00258322 8 161,83,79,41,37,25,24,16 73,29,39,19,15,15,16,12 -1 389961 513 880 -1 -1 400 767 -1 -1 389448,312,122,45,11,4,11,7,0,0,1 -1 0,199,122,45,11,4,11,7,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_iss_2015-05-29_10-05-04.pcd 0.00719245 0.00110107 0.00195704 7 88,70,62,52,48,47,20 36,26,29,20,24,17,18 -1 389760 439 880 -1 -1 400 841 -1 -1 389321,252,83,42,21,15,15,8,1,0,1,0,0,1 -1 0,213,83,42,21,15,15,8,1,0,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-05-08.pcd 0.00591424 0.00108618 0.00281191 6 145,117,75,39,19,13 63,49,37,16,14,12 -1 368000 487 880 -1 -1 400 793 -1 -1 367513,296,94,46,25,13,5,5,0,2,1 -1 0,209,94,46,25,13,5,5,0,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-05-11.pcd 0.005787 0.00109784 0.00163938 6 137,96,85,73,64,29 52,33,39,38,23,14 -1 360640 447 880 -1 -1 400 833 -1 -1 360193,252,90,41,27,20,7,6,3,1 -1 0,205,90,41,27,20,7,6,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-05-13.pcd 0.00596871 0.000734708 0.00180793 7 155,82,64,52,42,33,33 65,30,24,19,16,22,13 -1 397683 431 880 -1 -1 400 849 -1 -1 397252,241,82,47,23,14,11,6,2,3,1,1 -1 0,210,82,47,23,14,11,6,2,3,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-05-17.pcd 0.00747858 0.000950684 0.00206056 7 85,85,50,49,46,43,43 31,29,18,26,13,18,14 -1 425184 411 880 -1 -1 400 869 -1 -1 424773,221,73,49,25,17,14,5,2,4,1 -1 0,210,73,49,25,17,14,5,2,4,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_iss_2015-05-29_10-05-20.pcd 0.00537211 0.000601993 0.00161119 7 123,96,59,47,47,39,26 37,29,22,27,17,17,21 -1 393294 422 880 -1 -1 400 858 -1 -1 392872,238,85,35,17,18,14,6,4,3,1,0,0,0,1 -1 0,216,85,35,17,18,14,6,4,3,1,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-05-23.pcd 0.00549221 0.000786696 0.00265029 9 125,97,59,54,38,38,24,21,20 46,32,35,21,17,13,19,12,14 -1 418176 455 880 -1 -1 400 825 -1 -1 417721,266,92,41,24,10,7,8,2,3,2 -1 0,211,92,41,24,10,7,8,2,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_iss_2015-05-29_10-05-25.pcd 0.00817352 0.000762421 0.00261821 5 173,149,76,63,29 71,75,30,21,14 -1 417186 442 880 -1 -1 400 838 -1 -1 416744,248,92,46,24,13,7,2,6,1,0,0,3 -1 0,206,92,46,24,13,7,2,6,1,0,0,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_iss_2015-05-29_10-05-28.pcd 0.0088147 0.000713136 0.00206259 5 124,80,52,47,16 41,40,19,19,13 -1 457776 442 880 -1 -1 400 838 -1 -1 457334,256,87,33,26,17,9,7,5,1,1 -1 0,214,87,33,26,17,9,7,5,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-05-32.pcd 0.00785037 0.000664345 0.00170019 9 158,63,62,60,38,32,32,17,16 74,23,26,21,15,22,20,12,13 -1 385152 454 880 -1 -1 400 826 -1 -1 384698,264,85,50,25,10,11,2,1,5,0,0,0,1 -1 0,210,85,50,25,10,11,2,1,5,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-05-36.pcd 0.00667506 0.000824929 0.00161821 5 121,120,70,40,26 43,48,22,17,12 -1 373824 433 880 -1 -1 400 847 -1 -1 373391,237,82,52,29,15,5,8,2,0,3 -1 0,204,82,52,29,15,5,8,2,0,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<fpfh_iss_2015-05-29_10-05-40.pcd 0.00601822 0.000684133 0.0017065 7 122,84,53,37,36,31,26 53,28,20,15,13,17,14 -1 412335 432 880 -1 -1 400 848 -1 -1 411903,233,94,37,35,12,9,6,3,2,1 -1 0,201,94,37,35,12,9,6,3,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<fpfh_iss_2015-05-29_10-05-44.pcd 0.0065789 0.000773382 0.00179813 6 126,123,92,60,28,28 61,51,43,29,15,13 -1 389961 485 880 -1 -1 400 795 -1 -1 389476,301,90,41,23,11,10,4,4,1 -1 0,216,90,41,23,11,10,4,4,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-05-48.pcd 0.0060622 0.00111204 0.00261386 10 94,88,86,60,56,52,41,40,35,22 40,39,48,29,17,18,23,19,16,14 -1 421080 461 880 -1 -1 400 819 -1 -1 420619,271,89,37,32,19,2,7,2,1,0,1 -1 0,210,89,37,32,19,2,7,2,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-05-52.pcd 0.00518273 0.000663614 0.00163928 9 148,73,56,55,42,39,23,23,20 71,26,23,26,13,12,17,17,13 -1 390885 433 880 -1 -1 400 847 -1 -1 390452,230,110,38,18,12,11,5,4,2,1,1,1 -1 0,197,110,38,18,12,11,5,4,2,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-05-56.pcd 0.00583116 0.000671257 0.00170555 8 97,91,87,68,40,28,24,21 46,44,36,29,15,15,15,13 -1 392224 465 880 -1 -1 400 815 -1 -1 391759,276,85,55,21,12,7,4,0,1,1,2,0,0,1 -1 0,211,85,55,21,12,7,4,0,1,1,2,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<fpfh_iss_2015-05-29_10-06-01.pcd 0.00482019 0.000546705 0.00165409 8 97,95,78,44,41,39,29,26 35,42,26,19,13,22,16,12 -1 374400 456 880 -1 -1 400 824 -1 -1 373944,260,99,50,14,13,8,4,2,3,2,0,1 -1 0,204,99,50,14,13,8,4,2,3,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-06-05.pcd 0.0047356 0.000668448 0.00165573 7 121,120,89,82,44,26,22 43,37,31,38,16,17,17 -1 393294 429 880 -1 -1 400 851 -1 -1 392865,236,90,44,30,7,4,4,7,5,1,0,0,0,1 -1 0,207,90,44,30,7,4,4,7,5,1,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-06-08.pcd 0.00593514 0.000911348 0.00164968 8 124,94,74,71,58,36,31,28 52,39,23,38,27,14,12,16 -1 381376 443 880 -1 -1 400 837 -1 -1 380933,244,99,44,21,15,5,10,2,0,2,1 -1 0,201,99,44,21,15,5,10,2,0,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<fpfh_iss_2015-05-29_10-06-13.pcd 0.00655408 0.00165486 0.00166625 10 112,88,88,64,53,44,40,32,27,16 37,31,30,15,25,21,16,18,17,13 -1 378144 402 880 -1 -1 400 878 -1 -1 377742,232,61,43,17,16,15,4,6,4,2,1,0,0,0,0,1 -1 0,230,61,43,17,16,15,4,6,4,2,1,0,0,0,0,1 -1
