obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/chair1/features/rgb_0015_label_chair1<shotcolor_iss_2015-05-28_10-52-58.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__38071: 'http://tycho:38071/', host_tycho__41596: 'http://tycho:41596/',
    host_tycho__43828: 'http://tycho:43828/', host_tycho__50540: 'http://tycho:50540/',
    host_tycho__52135: 'http://tycho:52135/', host_tycho__56845: 'http://tycho:56845/'}
rosversion: '1.11.10

  '
run_id: d8cf23de-072b-11e5-81b4-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-03.pcd 1.06475 0.0014284 0.00172512 8 107,100,79,67,54,48,34,32 17,41,20,21,18,26,26,24 -1 378972 348 880 -1 -1 348 880 -1 -1 378624,183,64,28,18,17,10,4,6,3,7,4,2,1,1 -1 0,183,64,28,18,17,10,4,6,3,7,4,2,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-04.pcd 1.11334 0.000886254 0.00241773 10 154,129,110,48,41,33,29,28,24,20 51,32,32,18,23,18,12,13,12,14 -1 393760 351 880 -1 -1 351 880 -1 -1 393409,176,71,28,25,13,10,8,8,1,5,2,1,2,1 -1 0,176,71,28,25,13,10,8,8,1,5,2,1,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-05.pcd 1.15713 0.000275544 0.00150391 8 138,136,94,74,71,43,34,27 59,38,34,38,35,19,17,15 -1 389961 400 880 -1 -1 400 880 -1 -1 389561,220,74,36,28,11,14,5,2,1,7,1,1 -1 0,220,74,36,28,11,14,5,2,1,7,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-06.pcd 1.0716 0.000700928 0.00140689 11 223,79,69,66,51,50,38,36,35,33,20 57,14,13,18,14,26,22,13,16,20,16 -1 389760 331 880 -1 -1 331 880 -1 -1 389429,176,50,29,15,14,11,11,8,4,7,2,1,2,1 -1 0,176,50,29,15,14,11,11,8,4,7,2,1,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-06.pcd 1.05066 0.000612562 0.00151998 6 251,164,129,114,28,26 66,61,35,34,18,14 -1 368000 320 880 -1 -1 320 880 -1 -1 367680,149,57,25,26,18,18,7,8,5,5,0,0,0,0,1,0,1 -1 0,149,57,25,26,18,18,7,8,5,5,0,0,0,0,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-07.pcd 0.944352 0.000621855 0.00133782 8 133,123,78,72,48,40,30,19 31,25,19,41,13,19,18,12 -1 360640 314 880 -1 -1 314 880 -1 -1 360326,158,42,30,15,18,19,9,6,10,2,0,3,1,1 -1 0,158,42,30,15,18,19,9,6,10,2,0,3,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-08.pcd 1.11343 0.000379083 0.00204103 6 254,110,107,63,29,23 62,38,38,30,12,13 -1 397683 325 880 -1 -1 325 880 -1 -1 397358,162,45,35,21,18,15,9,4,6,6,1,1,1,1 -1 0,162,45,35,21,18,15,9,4,6,6,1,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-08.pcd 1.1279 0.000609296 0.00178679 6 174,116,67,50,31,25 39,43,21,13,22,13 -1 425184 295 880 -1 -1 295 880 -1 -1 424889,136,55,17,26,12,12,4,11,7,3,9,1,1,1 -1 0,136,55,17,26,12,12,4,11,7,3,9,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-09.pcd 1.14541 0.000615868 0.00235276 6 113,90,46,43,41,38 31,21,27,31,22,20 -1 393294 441 880 -1 -1 400 839 -1 -1 392853,303,64,23,9,13,4,6,5,4,2,2,0,2,0,1,0,1,1,1 -1 0,262,64,23,9,13,4,6,5,4,2,2,0,2,0,1,0,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-10.pcd 0.96046 0.000534304 0.00154779 9 136,111,99,52,32,32,31,30,22 42,38,22,18,14,12,24,21,14 -1 418176 364 880 -1 -1 364 880 -1 -1 417812,187,59,35,31,20,12,6,5,3,3,1,2 -1 0,187,59,35,31,20,12,6,5,3,3,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-11.pcd 1.17373 0.0007898 0.00148746 8 139,89,77,71,62,51,47,23 31,30,15,19,22,16,12,13 -1 417186 312 880 -1 -1 312 880 -1 -1 416874,158,50,19,19,16,14,14,3,5,4,6,3,0,0,0,1 -1 0,158,50,19,19,16,14,14,3,5,4,6,3,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-11.pcd 1.6726 0.000734581 0.000859894 9 180,56,44,42,30,30,27,16,14 36,26,17,15,14,12,13,13,12 -1 457776 321 880 -1 -1 321 880 -1 -1 457455,170,49,23,20,14,11,8,5,7,5,4,1,1,1,1,0,0,0,0,1 -1 0,170,49,23,20,14,11,8,5,7,5,4,1,1,1,1,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-12.pcd 0.928536 0.000492341 0.00130828 7 149,137,73,58,31,27,23 39,28,15,16,15,13,16 -1 385152 305 880 -1 -1 305 880 -1 -1 384847,157,48,22,20,14,12,3,3,6,5,5,4,4,1,0,0,0,0,0,0,1 -1 0,157,48,22,20,14,12,3,3,6,5,5,4,4,1,0,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-13.pcd 1.00252 0.000491591 0.00154459 10 153,126,85,68,55,41,36,32,31,30 37,38,18,54,19,24,25,12,13,15 -1 373824 353 880 -1 -1 353 880 -1 -1 373471,185,64,27,15,22,10,9,8,9,3,0,0,0,0,0,0,0,1 -1 0,185,64,27,15,22,10,9,8,9,3,0,0,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-13.pcd 1.29537 0.000611321 0.00113425 9 195,91,82,64,59,54,42,31,17 52,16,25,25,26,18,17,14,15 -1 412335 337 880 -1 -1 337 880 -1 -1 411998,168,55,30,24,22,12,9,4,2,3,6,1,1 -1 0,168,55,30,24,22,12,9,4,2,3,6,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-14.pcd 1.55626 0.000591453 0.00104175 9 128,116,105,95,61,44,32,29,23 58,22,47,27,36,19,13,17,12 -1 389961 356 880 -1 -1 356 880 -1 -1 389605,185,61,31,23,16,17,7,6,2,4,2,1,0,0,0,0,1 -1 0,185,61,31,23,16,17,7,6,2,4,2,1,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-15.pcd 0.947268 0.000494919 0.00158738 8 132,130,120,102,74,43,29,24 47,55,31,37,21,26,18,20 -1 421080 374 880 -1 -1 374 880 -1 -1 420706,183,79,44,19,17,12,6,4,4,2,4 -1 0,183,79,44,19,17,12,6,4,4,2,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-15.pcd 0.870853 0.00064867 0.00137789 7 239,200,98,72,54,34,30 48,63,27,34,16,20,12 -1 390885 312 880 -1 -1 312 880 -1 -1 390573,164,44,25,22,14,7,10,10,1,2,3,2,1,3,3,0,1 -1 0,164,44,25,22,14,7,10,10,1,2,3,2,1,3,3,0,1 -1
