obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/hanger_jacket/features/rgb_0002_label_hanger_jacket<pfh_iss_2015-05-28_10-53-33.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33051: 'http://tycho:33051/', host_tycho__46327: 'http://tycho:46327/',
    host_tycho__46471: 'http://tycho:46471/', host_tycho__46506: 'http://tycho:46506/',
    host_tycho__51521: 'http://tycho:51521/', host_tycho__58407: 'http://tycho:58407/',
    host_tycho__59591: 'http://tycho:59591/'}
rosversion: '1.11.10

  '
run_id: 14b3f0d0-073d-11e5-ad88-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_iss_2015-05-29_10-10-30.pcd 0.0129455 0.00203783 0.00169441 2 24,23 19,15 -1 378972 233 310 -1 -1 233 310 -1 -1 378739,181,32,17,1,2 -1 0,181,32,17,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_iss_2015-05-29_10-10-35.pcd 0.011191 0.00148334 0.00143318 3 20,19,15 17,14,14 -1 393760 231 310 -1 -1 231 310 -1 -1 393529,182,30,11,5,3 -1 0,182,30,11,5,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_iss_2015-05-29_10-10-39.pcd 0.0109181 0.00125011 0.00121966 1 39 16 -1 389961 222 310 -1 -1 222 310 -1 -1 389739,168,35,8,8,2,1 -1 0,168,35,8,8,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_iss_2015-05-29_10-10-43.pcd 0.0141718 0.000661536 0.00116036 1 23 15 -1 389760 231 310 -1 -1 231 310 -1 -1 389529,175,39,13,2,2 -1 0,175,39,13,2,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-10-47.pcd 0.0112359 0.000608873 0.000896067 1 20 12 -1 368000 228 310 -1 -1 228 310 -1 -1 367772,178,30,8,12 -1 0,178,30,8,12 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-10-52.pcd 0.0108192 0.000606046 0.00087086 3 43,21,17 26,14,14 -1 360640 218 310 -1 -1 218 310 -1 -1 360422,152,48,10,8 -1 0,152,48,10,8 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-10-56.pcd 0.0153158 0.00177953 0.00134854 4 24,23,21,13 15,13,16,12 -1 397683 220 310 -1 -1 220 310 -1 -1 397463,162,38,12,5,2,1 -1 0,162,38,12,5,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-10-59.pcd 0.0158654 0.00135804 0.00132041 2 26,22 17,13 -1 425184 217 310 -1 -1 217 310 -1 -1 424967,152,45,14,4,2 -1 0,152,45,14,4,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_iss_2015-05-29_10-11-03.pcd 0.0152285 0.00113668 0.00142078 2 31,17 22,14 -1 393294 225 310 -1 -1 225 310 -1 -1 393069,168,36,15,5,1 -1 0,168,36,15,5,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-11-06.pcd 0.013259 0.000984757 0.00122411 1 23 22 -1 418176 216 310 -1 -1 216 310 -1 -1 417960,156,33,22,3,2 -1 0,156,33,22,3,2 -1
