obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/hanger_jacket/features/rgb_0002_label_hanger_jacket<fpfh_susan_2015-05-28_10-55-33.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33051: 'http://tycho:33051/', host_tycho__36219: 'http://tycho:36219/',
    host_tycho__46327: 'http://tycho:46327/', host_tycho__46471: 'http://tycho:46471/',
    host_tycho__46506: 'http://tycho:46506/', host_tycho__48440: 'http://tycho:48440/',
    host_tycho__51521: 'http://tycho:51521/', host_tycho__54900: 'http://tycho:54900/',
    host_tycho__55219: 'http://tycho:55219/', host_tycho__58407: 'http://tycho:58407/',
    host_tycho__58702: 'http://tycho:58702/', host_tycho__59530: 'http://tycho:59530/',
    host_tycho__59591: 'http://tycho:59591/'}
rosversion: '1.11.10

  '
run_id: 14b3f0d0-073d-11e5-ad88-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_susan_2015-05-29_10-30-32.pcd 0.00448874 0.00213193 0.00144208 1 37 20 -1 378972 214 320 -1 -1 214 320 -1 -1 378758,146,44,14,8,0,2 -1 0,146,44,14,8,0,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_susan_2015-05-29_10-30-34.pcd 0.00426642 0.000794593 0.00111017 2 24,21 13,12 -1 405768 205 320 -1 -1 205 320 -1 -1 405563,128,56,12,5,2,1,0,1 -1 0,128,56,12,5,2,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_susan_2015-05-29_10-30-36.pcd 0.0039659 0.000772076 0.00109496 1 19 12 -1 389400 204 320 -1 -1 204 320 -1 -1 389196,136,41,16,6,3,0,1,1 -1 0,136,41,16,6,3,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_susan_2015-05-29_10-30-38.pcd 0.00409664 0.000743932 0.00108908 1 43 22 -1 390456 202 320 -1 -1 202 320 -1 -1 390254,129,47,18,4,2,0,0,1,1 -1 0,129,47,18,4,2,0,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-30-39.pcd 0.00393661 0.00100489 0.00108066 1 20 13 -1 397188 196 320 -1 -1 196 320 -1 -1 396992,118,51,16,6,3,1,1 -1 0,118,51,16,6,3,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-30-42.pcd 0.00376534 0.000724017 0.00119604 1 28 17 -1 354368 200 320 -1 -1 200 320 -1 -1 354168,130,46,13,5,1,4,0,0,0,1 -1 0,130,46,13,5,1,4,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-30-43.pcd 0.00404306 0.00097423 0.0011266 2 36,26 17,15 -1 404976 185 320 -1 -1 185 320 -1 -1 404791,109,40,22,8,4,1,1 -1 0,109,40,22,8,4,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-30-45.pcd 0.00399726 0.000872651 0.00109244 2 46,40 19,13 -1 384087 190 320 -1 -1 190 320 -1 -1 383897,119,39,17,9,3,2,0,0,1 -1 0,119,39,17,9,3,2,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_susan_2015-05-29_10-30-46.pcd 0.00233544 0.00161874 0.00109873 4 60,26,23,14 30,12,15,12 -1 399960 179 320 -1 -1 179 320 -1 -1 399781,102,45,13,10,6,2,1 -1 0,102,45,13,10,6,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-30-47.pcd 0.00396002 0.00142592 0.00107158 1 15 1 -1 389400 202 320 -1 -1 202 320 -1 -1 389198,138,39,16,3,3,0,2,0,0,0,0,0,0,0,1 -1 0,138,39,16,3,3,0,2,0,0,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_susan_2015-05-29_10-30-49.pcd 0.00418199 0.000833174 0.00112203 1 21 12 -1 367488 205 320 -1 -1 205 320 -1 -1 367283,136,42,15,8,2,1,1 -1 0,136,42,15,8,2,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_susan_2015-05-29_10-30-51.pcd 0.00433567 0.00127631 0.00116303 1 8 1 -1 403920 211 320 -1 -1 211 320 -1 -1 403709,141,48,15,2,2,2,0,1 -1 0,141,48,15,2,2,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-30-53.pcd 0.00393107 0.000926345 0.00108658 2 34,32 19,18 -1 401082 190 320 -1 -1 190 320 -1 -1 400892,110,46,21,10,3 -1 0,110,46,21,10,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-30-55.pcd 0.00396551 0.000854869 0.00123854 3 37,31,30 20,17,17 -1 381376 214 320 -1 -1 214 320 -1 -1 381162,146,50,7,6,2,2,1 -1 0,146,50,7,6,2,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<fpfh_susan_2015-05-29_10-30-57.pcd 0.00402152 0.000903644 0.00118726 1 39 24 -1 408408 198 320 -1 -1 198 320 -1 -1 408210,122,47,20,4,3,1,1 -1 0,122,47,20,4,3,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<fpfh_susan_2015-05-29_10-30-59.pcd 0.00438698 0.00057686 0.00120632 1 22 13 -1 383295 214 320 -1 -1 214 320 -1 -1 383081,154,31,17,8,3,1 -1 0,154,31,17,8,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-31-01.pcd 0.00419079 0.000603514 0.00113719 3 27,26,24 13,17,13 -1 421245 203 320 -1 -1 203 320 -1 -1 421042,128,52,11,8,2,1,1 -1 0,128,52,11,8,2,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-31-03.pcd 0.00388408 0.000577191 0.00108729 1 32 13 -1 398112 199 320 -1 -1 199 320 -1 -1 397913,125,48,14,8,1,1,2 -1 0,125,48,14,8,1,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-31-04.pcd 0.00384295 0.000577258 0.0011652 4 35,26,25,25 21,12,14,14 -1 384384 202 320 -1 -1 202 320 -1 -1 384182,124,50,20,5,2,1 -1 0,124,50,20,5,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<fpfh_susan_2015-05-29_10-31-06.pcd 0.00403976 0.000566276 0.0010422 1 28 16 -1 363776 189 320 -1 -1 189 320 -1 -1 363587,107,52,16,11,1,2 -1 0,107,52,16,11,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-31-08.pcd 0.00401181 0.000546057 0.00111793 2 44,35 23,17 -1 372438 193 320 -1 -1 193 320 -1 -1 372245,115,47,21,7,1,1,0,0,1 -1 0,115,47,21,7,1,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-31-09.pcd 0.00392669 0.000605378 0.00117627 3 36,23,19 17,12,12 -1 368676 205 320 -1 -1 205 320 -1 -1 368471,132,43,20,9,0,1 -1 0,132,43,20,9,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<fpfh_susan_2015-05-29_10-31-11.pcd 0.00401706 0.000586148 0.00119644 2 32,27 20,15 -1 369171 207 320 -1 -1 207 320 -1 -1 368964,132,51,17,3,2,1,1 -1 0,132,51,17,3,2,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-31-13.pcd 0.00370904 0.00113948 0.00113205 1 40 21 -1 380358 203 320 -1 -1 203 320 -1 -1 380155,132,44,15,9,2,0,0,0,1 -1 0,132,44,15,9,2,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-31-14.pcd 0.0038554 0.000571191 0.00116735 1 55 27 -1 376200 210 320 -1 -1 210 320 -1 -1 375990,143,40,19,4,2,0,2 -1 0,143,40,19,4,2,0,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_30/room_1/features/nonPlanes<fpfh_susan_2015-05-29_10-31-16.pcd 0.00382461 0.000583275 0.00113537 2 34,32 15,19 -1 382800 206 320 -1 -1 206 320 -1 -1 382594,138,45,13,7,1,0,1,0,0,0,0,0,1 -1 0,138,45,13,7,1,0,1,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_30/room_7/features/nonPlanes<fpfh_susan_2015-05-29_10-31-18.pcd 0.00395752 0.00057957 0.00112761 2 36,24 15,13 -1 375705 207 320 -1 -1 207 320 -1 -1 375498,146,34,17,5,2,1,0,0,1,1 -1 0,146,34,17,5,2,1,0,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_32/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-31-19.pcd 0.004581 0.00061034 0.00114869 2 33,23 18,14 -1 397683 207 320 -1 -1 207 320 -1 -1 397476,139,45,11,5,4,3 -1 0,139,45,11,5,4,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_34/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-31-21.pcd 0.00395588 0.000561362 0.0011418 1 20 12 -1 390456 210 320 -1 -1 210 320 -1 -1 390246,142,41,20,4,0,1,2 -1 0,142,41,20,4,0,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_36/room_3/features/nonPlanes<fpfh_susan_2015-05-29_10-31-23.pcd 0.00373215 0.000586215 0.00116536 2 32,25 14,16 -1 371316 209 320 -1 -1 209 320 -1 -1 371107,145,45,7,9,0,0,1,0,1,0,0,1 -1 0,145,45,7,9,0,0,1,0,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_38/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-31-25.pcd 0.00391313 0.000583789 0.00122588 1 33 21 -1 378378 215 320 -1 -1 215 320 -1 -1 378163,144,44,23,2,1,1 -1 0,144,44,23,2,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_39/room_3/features/nonPlanes<fpfh_susan_2015-05-29_10-31-27.pcd 0.00388677 0.000584561 0.00101709 1 7 1 -1 385506 193 320 -1 -1 193 320 -1 -1 385313,117,44,22,7,0,0,3 -1 0,117,44,22,7,0,0,3 -1
