obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/hanger_jacket/features/rgb_0002_label_hanger_jacket<pfh_susan_2015-05-28_10-55-56.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33051: 'http://tycho:33051/', host_tycho__36219: 'http://tycho:36219/',
    host_tycho__46327: 'http://tycho:46327/', host_tycho__46471: 'http://tycho:46471/',
    host_tycho__46506: 'http://tycho:46506/', host_tycho__48440: 'http://tycho:48440/',
    host_tycho__51521: 'http://tycho:51521/', host_tycho__54900: 'http://tycho:54900/',
    host_tycho__55219: 'http://tycho:55219/', host_tycho__58407: 'http://tycho:58407/',
    host_tycho__58702: 'http://tycho:58702/', host_tycho__59591: 'http://tycho:59591/'}
rosversion: '1.11.10

  '
run_id: 14b3f0d0-073d-11e5-ad88-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_susan_2015-05-29_10-33-04.pcd 0.00910212 0.00139888 0.00122571 2 30,21 14,16 -1 378972 218 320 -1 -1 218 320 -1 -1 378754,156,40,10,8,3,0,1 -1 0,156,40,10,8,3,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_susan_2015-05-29_10-33-07.pcd 0.00766086 0.000642803 0.00157867 2 29,25 19,12 -1 405768 227 320 -1 -1 227 320 -1 -1 405541,161,48,13,2,2,1 -1 0,161,48,13,2,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-33-09.pcd 0.00914578 0.000761278 0.00147792 1 28 14 -1 389400 217 320 -1 -1 217 320 -1 -1 389183,150,47,12,5,1,0,1,1 -1 0,150,47,12,5,1,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-33-12.pcd 0.00993807 0.000653927 0.00104583 3 23,19,16 14,13,12 -1 390456 217 320 -1 -1 217 320 -1 -1 390239,143,56,11,4,2,1 -1 0,143,56,11,4,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-15.pcd 0.01072 0.000659498 0.00156539 1 15 12 -1 397188 221 320 -1 -1 221 320 -1 -1 396967,157,47,8,4,3,1,0,1 -1 0,157,47,8,4,3,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-19.pcd 0.0106023 0.000777021 0.00134651 3 46,30,20 20,16,12 -1 354368 203 320 -1 -1 203 320 -1 -1 354165,126,57,8,8,2,1,0,1 -1 0,126,57,8,8,2,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-21.pcd 0.00885078 0.000700597 0.00108859 2 17,16 14,13 -1 404976 216 320 -1 -1 216 320 -1 -1 404760,145,52,13,2,2,0,2 -1 0,145,52,13,2,2,0,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-24.pcd 0.00719176 0.000630501 0.00141293 1 8 1 -1 384087 212 320 -1 -1 212 320 -1 -1 383875,143,47,12,6,3,0,0,1 -1 0,143,47,12,6,3,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_susan_2015-05-29_10-33-27.pcd 0.00467653 0.00100642 0.00130179 4 56,39,27,18 34,20,14,14 -1 399960 184 320 -1 -1 184 320 -1 -1 399776,101,50,22,6,3,1,0,1 -1 0,101,50,22,6,3,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-28.pcd 0.00919779 0.00100476 0.00143833 1 20 15 -1 389400 214 320 -1 -1 214 320 -1 -1 389186,146,44,13,10,0,0,1 -1 0,146,44,13,10,0,0,1 -1
