obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_susan,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/hanger_jacket/features/rgb_0002_label_hanger_jacket<shotcolor_susan_2015-05-28_10-55-11.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33051: 'http://tycho:33051/', host_tycho__46327: 'http://tycho:46327/',
    host_tycho__46471: 'http://tycho:46471/', host_tycho__46506: 'http://tycho:46506/',
    host_tycho__48440: 'http://tycho:48440/', host_tycho__51521: 'http://tycho:51521/',
    host_tycho__54900: 'http://tycho:54900/', host_tycho__55219: 'http://tycho:55219/',
    host_tycho__58407: 'http://tycho:58407/', host_tycho__58702: 'http://tycho:58702/',
    host_tycho__59591: 'http://tycho:59591/'}
rosversion: '1.11.10

  '
run_id: 14b3f0d0-073d-11e5-ad88-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-44.pcd 0.398487 0.00171953 0.00108635 5 39,33,25,19,17 27,15,13,14,13 -1 378972 217 320 -1 -1 217 320 -1 -1 378755,153,43,9,9,1,1,1 -1 0,153,43,9,9,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-45.pcd 0.4102 0.000643137 0.00129642 4 56,34,26,19 37,18,18,12 -1 405768 217 320 -1 -1 217 320 -1 -1 405551,154,39,15,4,3,2 -1 0,154,39,15,4,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-46.pcd 0.377956 0.000601726 0.000865006 1 74 31 -1 389400 191 320 -1 -1 191 320 -1 -1 389209,122,39,14,9,4,1,1,0,1 -1 0,122,39,14,9,4,1,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-47.pcd 0.391978 0.00063101 0.00115268 1 189 97 -1 390456 201 320 -1 -1 201 320 -1 -1 390255,139,34,15,7,2,2,1,0,0,0,1 -1 0,139,34,15,7,2,2,1,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-47.pcd 0.428043 0.000648686 0.00102485 5 41,25,21,21,16 25,17,15,13,12 -1 397188 226 320 -1 -1 226 320 -1 -1 396962,168,39,11,3,3,1,0,1 -1 0,168,39,11,3,3,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-48.pcd 0.379813 0.000427254 0.00114758 2 35,26 15,16 -1 354368 203 320 -1 -1 203 320 -1 -1 354165,137,37,19,4,4,0,0,2 -1 0,137,37,19,4,4,0,0,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-49.pcd 0.352686 0.000591616 0.000868298 3 72,58,43 42,21,24 -1 404976 195 320 -1 -1 195 320 -1 -1 404781,127,36,19,4,8,0,0,1 -1 0,127,36,19,4,8,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-49.pcd 0.311102 0.000486575 0.00101965 4 78,44,41,40 32,23,23,23 -1 384087 188 320 -1 -1 188 320 -1 -1 383899,115,41,20,3,5,2,2 -1 0,115,41,20,3,5,2,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-50.pcd 0.171076 0.000674371 0.00109089 3 137,97,47 51,48,29 -1 399960 163 320 -1 -1 163 320 -1 -1 399797,92,39,13,9,2,3,0,2,2,0,0,0,1 -1 0,92,39,13,9,2,3,0,2,2,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-50.pcd 0.339779 0.000467556 0.00123936 4 56,48,28,26 38,22,14,15 -1 389400 213 320 -1 -1 213 320 -1 -1 389187,156,33,13,6,1,2,1,0,0,0,1 -1 0,156,33,13,6,1,2,1,0,0,0,1 -1
