obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_uniform,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/hanger_jacket/features/rgb_0002_label_hanger_jacket<shotcolor_uniform_2015-05-28_10-49-02.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__37333: 'http://tycho:37333/', host_tycho__55899: 'http://tycho:55899/'}
rosversion: '1.11.10

  '
run_id: c16f0ab0-073a-11e5-8a83-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-08.pcd 6.84977 0.00163909 0.000767487 5 137,44,27,26,20 81,33,19,20,15 -1 449955 1059 1320 -1 -1 400 661 -1 -1 448896,856,159,34,6,4 -1 0,197,159,34,6,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-09.pcd 7.97254 0.0013619 0.00135714 7 155,30,29,27,22,21,15 90,20,23,14,13,18,12 -1 424446 1035 1320 -1 -1 400 685 -1 -1 423411,816,168,39,10,1,1 -1 0,181,168,39,10,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-11.pcd 7.45717 0.000965975 0.0012123 6 88,37,36,33,22,18 61,20,20,16,16,13 -1 441870 1051 1320 -1 -1 400 669 -1 -1 440819,843,166,28,10,3,1 -1 0,192,166,28,10,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-12.pcd 7.80142 0.000784651 0.00277913 6 174,59,34,28,26,15 94,29,14,24,19,12 -1 461736 1010 1320 -1 -1 400 710 -1 -1 460726,793,150,46,17,3,1 -1 0,183,150,46,17,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-13.pcd 10.3267 0.000906867 0.00114241 7 78,75,65,39,37,37,30 56,35,49,17,30,18,27 -1 404481 1066 1320 -1 -1 400 654 -1 -1 403415,874,142,38,12 -1 0,208,142,38,12 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-15.pcd 7.89457 0.00107245 0.0015433 6 156,103,44,35,31,27 96,70,22,27,17,20 -1 424710 1045 1320 -1 -1 400 675 -1 -1 423665,832,169,32,8,2,2 -1 0,187,169,32,8,2,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-16.pcd 6.09726 0.000738119 0.00106459 6 172,36,27,24,21,17 115,16,14,15,14,12 -1 456456 1000 1320 -1 -1 400 720 -1 -1 455456,765,171,50,9,3,2 -1 0,165,171,50,9,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-17.pcd 7.61501 0.00102564 0.000730924 7 145,43,28,28,25,24,20 96,25,21,20,15,16,19 -1 449592 1039 1320 -1 -1 400 681 -1 -1 448553,835,157,27,15,3,0,1,1 -1 0,196,157,27,15,3,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-19.pcd 8.25054 0.00128111 0.00126501 9 238,74,65,46,44,37,33,32,21 83,33,36,27,24,12,13,17,12 -1 451044 822 1320 -1 -1 400 898 -1 -1 450222,552,157,60,26,7,13,3,2,1,0,1 -1 0,130,157,60,26,7,13,3,2,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-20.pcd 7.90932 0.000948402 0.000857651 6 66,64,59,36,27,15 38,47,38,18,19,13 -1 451044 1054 1320 -1 -1 400 666 -1 -1 449990,852,153,37,9,3 -1 0,198,153,37,9,3 -1
