obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/laptop1/features/rgb_0012_label_laptop1<fpfh_iss_2015-05-28_10-53-12.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__35260: 'http://tycho:35260/', host_tycho__37636: 'http://tycho:37636/',
    host_tycho__39930: 'http://tycho:39930/', host_tycho__41374: 'http://tycho:41374/',
    host_tycho__47680: 'http://tycho:47680/'}
rosversion: '1.11.10

  '
run_id: cde0b410-0744-11e5-94b9-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_iss_2015-05-29_10-04-54.pcd 0.00258759 0.00210916 0.00138853 2 26,14 13,12 -1 378972 203 330 -1 -1 203 330 -1 -1 378769,138,29,17,13,5,1 -1 0,138,29,17,13,5,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_iss_2015-05-29_10-04-58.pcd 0.00217145 0.000627569 0.00134194 2 26,24 13,15 -1 393760 215 330 -1 -1 215 330 -1 -1 393545,137,53,15,8,2 -1 0,137,53,15,8,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_iss_2015-05-29_10-05-01.pcd 0.00228547 0.000972225 0.00118184 2 24,24 15,13 -1 389961 203 330 -1 -1 203 330 -1 -1 389758,130,43,10,16,4 -1 0,130,43,10,16,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_iss_2015-05-29_10-05-04.pcd 0.00213651 0.000586887 0.00100604 2 39,37 20,16 -1 389760 201 330 -1 -1 201 330 -1 -1 389559,130,37,17,12,4,0,1 -1 0,130,37,17,12,4,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-05-08.pcd 0.0032798 0.000557039 0.00116635 3 36,20,15 16,14,12 -1 368000 207 330 -1 -1 207 330 -1 -1 367793,130,44,24,5,4 -1 0,130,44,24,5,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-05-11.pcd 0.00289986 0.000519393 0.00113784 2 33,27 17,15 -1 360640 182 330 -1 -1 182 330 -1 -1 360458,107,33,21,12,8,1 -1 0,107,33,21,12,8,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-05-13.pcd 0.00280438 0.000954139 0.0010559 2 48,39 27,15 -1 397683 183 330 -1 -1 183 330 -1 -1 397500,112,32,16,13,7,2,1 -1 0,112,32,16,13,7,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-05-17.pcd 0.00292736 0.000734738 0.00075211 2 36,14 18,13 -1 425184 187 330 -1 -1 187 330 -1 -1 424997,113,32,23,12,6,1 -1 0,113,32,23,12,6,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_iss_2015-05-29_10-05-20.pcd 0.00290517 0.000594266 0.00095348 2 43,36 22,20 -1 393294 178 330 -1 -1 178 330 -1 -1 393116,97,40,21,12,6,2 -1 0,97,40,21,12,6,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_iss_2015-05-29_10-05-23.pcd 0.00304941 0.00139523 0.00120629 2 43,33 21,17 -1 418176 180 330 -1 -1 180 330 -1 -1 417996,90,55,20,8,4,3 -1 0,90,55,20,8,4,3 -1
