obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/laptop1/features/rgb_0012_label_laptop1<pfhrgb_uniform_2015-05-28_10-50-56.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__47318: 'http://tycho:47318/', host_tycho__47570: 'http://tycho:47570/',
    host_tycho__49581: 'http://tycho:49581/'}
rosversion: '1.11.10

  '
run_id: 11b7799a-0744-11e5-a5fa-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-15-27.pcd 0.257928 0.00100667 0.00255846 12 312,153,61,58,44,40,35,34,33,29,28,14 89,37,17,17,19,12,19,15,17,14,12,12 -1 449955 464 1190 -1 -1 400 1126 -1 -1 449491,229,88,51,27,24,11,10,5,3,4,3,2,3,2,0,0,1,0,0,1 -1 0,165,88,51,27,24,11,10,5,3,4,3,2,3,2,0,0,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-15-52.pcd 0.252993 0.000821214 0.00303348 8 290,195,166,69,56,29,26,26 62,74,48,18,23,12,16,13 -1 424446 475 1190 -1 -1 400 1115 -1 -1 423971,232,94,53,34,17,13,10,6,3,4,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1 -1 0,157,94,53,34,17,13,10,6,3,4,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-16-18.pcd 0.3424 0.00117328 0.0028946 7 195,101,89,79,46,26,25 59,28,34,31,24,16,13 -1 441870 497 1190 -1 -1 400 1093 -1 -1 441373,253,93,51,37,23,14,8,4,3,4,3,0,3,0,0,0,0,0,0,0,0,0,0,1 -1 0,156,93,51,37,23,14,8,4,3,4,3,0,3,0,0,0,0,0,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-16-42.pcd 0.300071 0.000813517 0.00184608 9 158,149,136,109,67,55,51,22,18 62,34,28,34,13,20,19,12,12 -1 461736 428 1190 -1 -1 400 1162 -1 -1 461308,213,66,52,23,13,16,18,8,4,4,1,1,3,2,0,1,1,0,0,0,0,0,1,1 -1 0,185,66,52,23,13,16,18,8,4,4,1,1,3,2,0,1,1,0,0,0,0,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-17-06.pcd 0.344724 0.000859993 0.00318841 7 483,117,108,52,36,27,13 138,21,40,27,18,14,12 -1 404481 457 1190 -1 -1 400 1133 -1 -1 404024,223,83,53,42,13,15,9,2,3,5,1,0,0,1,1,0,2,1,0,0,0,1,1,0,0,1 -1 0,166,83,53,42,13,15,9,2,3,5,1,0,0,1,1,0,2,1,0,0,0,1,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-17-31.pcd 0.234368 0.00175218 0.00210361 8 268,218,150,82,64,43,31,16 75,83,32,22,18,19,14,13 -1 424710 439 1190 -1 -1 400 1151 -1 -1 424271,221,82,38,25,22,14,11,4,6,1,5,1,2,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1 -1 0,182,82,38,25,22,14,11,4,6,1,5,1,2,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-17-57.pcd 0.239888 0.000805868 0.00258843 11 355,182,75,62,53,46,44,36,34,30,24 55,49,22,17,26,18,13,13,22,16,18 -1 456456 415 1190 -1 -1 400 1175 -1 -1 456041,203,81,51,25,17,6,5,3,1,2,3,1,3,1,1,0,2,5,1,0,1,0,1,0,0,0,0,0,0,0,1,1 -1 0,188,81,51,25,17,6,5,3,1,2,3,1,3,1,1,0,2,5,1,0,1,0,1,0,0,0,0,0,0,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-18-18.pcd 0.257769 0.0010161 0.00282472 10 203,118,106,97,66,58,51,39,28,23 57,38,28,19,30,15,21,15,13,16 -1 449592 459 1190 -1 -1 400 1131 -1 -1 449133,246,87,34,27,18,14,8,5,1,5,2,2,1,1,0,1,1,1,2,1,1,0,0,0,0,0,0,1 -1 0,187,87,34,27,18,14,8,5,1,5,2,2,1,1,0,1,1,1,2,1,1,0,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-18-38.pcd 0.228885 0.00103195 0.00170253 6 213,141,105,35,34,26 56,27,31,21,17,12 -1 451044 413 1190 -1 -1 400 1177 -1 -1 450631,181,83,50,25,15,18,13,7,4,3,4,1,3,0,2,1,1,0,1,1 -1 0,168,83,50,25,15,18,13,7,4,3,4,1,3,0,2,1,1,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-18-59.pcd 0.255228 0.000892763 0.00230354 6 495,135,88,74,22,19 115,23,28,38,18,15 -1 451044 447 1190 -1 -1 400 1143 -1 -1 450597,252,64,45,19,15,15,5,4,4,5,2,4,2,3,3,1,0,1,0,1,1,0,1 -1 0,205,64,45,19,15,15,5,4,4,5,2,4,2,3,3,1,0,1,0,1,1,0,1 -1
