obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/laptop1/features/rgb_0012_label_laptop1<shot_uniform_2015-05-28_10-48-53.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33051: 'http://tycho:33051/', host_tycho__36219: 'http://tycho:36219/',
    host_tycho__46327: 'http://tycho:46327/', host_tycho__46471: 'http://tycho:46471/',
    host_tycho__46506: 'http://tycho:46506/', host_tycho__48440: 'http://tycho:48440/',
    host_tycho__51521: 'http://tycho:51521/', host_tycho__54900: 'http://tycho:54900/',
    host_tycho__55219: 'http://tycho:55219/', host_tycho__57163: 'http://tycho:57163/',
    host_tycho__58407: 'http://tycho:58407/', host_tycho__58467: 'http://tycho:58467/',
    host_tycho__58702: 'http://tycho:58702/', host_tycho__59530: 'http://tycho:59530/',
    host_tycho__59591: 'http://tycho:59591/'}
rosversion: '1.11.10

  '
run_id: 14b3f0d0-073d-11e5-ad88-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_uniform_2015-05-29_08-42-29.pcd 1.94594 0.00139439 0.00118555 9 61,54,50,43,40,38,27,19,14 22,39,40,29,30,26,20,12,13 -1 449955 970 1190 -1 -1 400 620 -1 -1 448985,807,122,32,4,3,2 -1 0,237,122,32,4,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_uniform_2015-05-29_08-42-30.pcd 1.37957 0.000430947 0.00076103 6 128,96,43,42,31,24 95,75,30,15,25,17 -1 424446 992 1190 -1 -1 400 598 -1 -1 423454,839,121,22,8,1,1 -1 0,247,121,22,8,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_uniform_2015-05-29_08-42-31.pcd 1.41982 0.00085809 0.00115356 7 118,50,49,25,25,21,16 87,39,32,18,18,14,12 -1 441870 1010 1190 -1 -1 400 580 -1 -1 440860,865,115,26,3,1 -1 0,255,115,26,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_uniform_2015-05-29_08-42-32.pcd 1.29602 0.000936822 0.000780762 8 123,83,37,31,29,24,23,16 77,50,23,26,19,20,12,14 -1 461736 944 1190 -1 -1 400 646 -1 -1 460792,759,134,41,10 -1 0,215,134,41,10 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-33.pcd 1.42211 0.000569719 0.00178578 9 68,52,43,35,35,25,23,20,16 57,34,33,26,23,19,19,13,13 -1 404481 1016 1190 -1 -1 400 574 -1 -1 403465,877,109,25,5 -1 0,261,109,25,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-33.pcd 1.34027 0.000934226 0.00197572 7 162,71,50,40,30,24,22 97,44,42,28,12,16,18 -1 424710 957 1190 -1 -1 400 633 -1 -1 423753,785,127,32,10,3 -1 0,228,127,32,10,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-34.pcd 1.37038 0.000500834 0.00137195 7 207,58,32,31,29,25,20 131,21,19,17,13,16,16 -1 456456 915 1190 -1 -1 400 675 -1 -1 455541,711,155,35,8,4,2 -1 0,196,155,35,8,4,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-35.pcd 1.31405 0.000905238 0.00257655 8 96,62,57,46,34,33,20,18 64,28,26,29,24,22,13,14 -1 449592 948 1190 -1 -1 400 642 -1 -1 448644,765,136,37,8,2 -1 0,217,136,37,8,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_uniform_2015-05-29_08-42-36.pcd 1.43101 0.00086058 0.00227315 5 177,73,50,44,39 110,51,25,20,24 -1 451044 931 1190 -1 -1 400 659 -1 -1 450113,738,146,35,7,3,2 -1 0,207,146,35,7,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-37.pcd 0.996752 0.000457782 0.00178409 9 58,42,42,42,35,34,30,26,13 39,34,32,24,27,25,22,16,12 -1 451044 991 1190 -1 -1 400 599 -1 -1 450053,832,127,25,6,1 -1 0,241,127,25,6,1 -1
