obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/pillow/features/rgb_0003_label_pillow<shot_iss_2015-05-28_10-52-14.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__37505: 'http://tycho:37505/', host_tycho__50538: 'http://tycho:50538/'}
rosversion: '1.11.10

  '
run_id: 98372c94-074a-11e5-a6ba-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_iss_2015-05-29_09-52-40.pcd 0.0527536 0.00155643 0.00104708 2 80,17 56,14 -1 378972 214 290 -1 -1 214 290 -1 -1 378758,153,49,10,1,1 -1 0,153,49,10,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_iss_2015-05-29_09-52-48.pcd 0.0566048 0.000655636 0.00141801 4 50,21,20,19 34,12,15,14 -1 393760 221 290 -1 -1 221 290 -1 -1 393539,169,39,9,4 -1 0,169,39,9,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_iss_2015-05-29_09-52-59.pcd 0.0566656 0.00065752 0.00154611 4 38,29,24,16 29,20,18,13 -1 389961 231 290 -1 -1 231 290 -1 -1 389730,185,36,7,3 -1 0,185,36,7,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_iss_2015-05-29_09-53-08.pcd 0.0562474 0.000609487 0.00119262 1 32 21 -1 389760 195 290 -1 -1 195 290 -1 -1 389565,137,33,14,10,1 -1 0,137,33,14,10,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_iss_2015-05-29_09-53-17.pcd 0.0707327 0.000532991 0.000866861 4 57,19,16,15 37,15,13,14 -1 368000 229 290 -1 -1 229 290 -1 -1 367771,180,39,8,2 -1 0,180,39,8,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_iss_2015-05-29_09-53-26.pcd 0.0515531 0.000432623 0.000952261 4 44,35,16,16 34,25,13,12 -1 360640 226 290 -1 -1 226 290 -1 -1 360414,177,38,7,4 -1 0,177,38,7,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_iss_2015-05-29_09-53-35.pcd 0.0473641 0.000621568 0.000978019 7 25,23,18,18,16,15,15 18,14,14,12,12,12,12 -1 397683 207 290 -1 -1 207 290 -1 -1 397476,151,35,17,2,2 -1 0,151,35,17,2,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_iss_2015-05-29_09-53-42.pcd 0.051065 0.00048074 0.000898225 1 18 12 -1 425184 196 290 -1 -1 196 290 -1 -1 424988,135,36,19,4,2 -1 0,135,36,19,4,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_iss_2015-05-29_09-53-49.pcd 0.0500176 0.000654175 0.00117057 4 25,25,24,23 13,12,13,13 -1 393294 186 290 -1 -1 186 290 -1 -1 393108,120,43,10,11,2 -1 0,120,43,10,11,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_iss_2015-05-29_09-53-57.pcd 0.0473331 0.000671314 0.00118426 1 68 52 -1 418176 219 290 -1 -1 219 290 -1 -1 417957,171,32,11,3,2 -1 0,171,32,11,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_iss_2015-05-29_09-54-04.pcd 0.0482651 0.000695044 0.00084597 4 67,27,19,18 45,22,13,12 -1 417186 212 290 -1 -1 212 290 -1 -1 416974,150,49,10,3 -1 0,150,49,10,3 -1
