obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/pillow/features/rgb_0003_label_pillow<shotcolor_iss_2015-05-28_10-52-53.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__34396: 'http://tycho:34396/', host_tycho__41089: 'http://tycho:41089/'}
rosversion: '1.11.10

  '
run_id: d2d37e8e-074a-11e5-b096-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-03.pcd 0.344734 0.0015155 0.000817034 1 82 18 -1 378972 97 290 -1 -1 97 290 -1 -1 378875,47,24,12,3,1,1,1,0,1,0,0,0,0,0,1,2,1,1,2 -1 0,47,24,12,3,1,1,1,0,1,0,0,0,0,0,1,2,1,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-04.pcd 0.357825 0.000627945 0.000375875 1 19 1 -1 393760 100 290 -1 -1 100 290 -1 -1 393660,59,18,8,0,2,3,0,0,1,2,0,0,0,2,1,0,2,1,1 -1 0,59,18,8,0,2,3,0,0,1,2,0,0,0,2,1,0,2,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-05.pcd 0.356709 0.000605277 0.000701787 3 84,42,18 13,16,12 -1 389961 104 290 -1 -1 104 290 -1 -1 389857,58,18,10,2,4,1,2,2,0,0,1,1,0,0,2,2,1 -1 0,58,18,10,2,4,1,2,2,0,0,1,1,0,0,2,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-06.pcd 0.314788 0.00105139 0.000714913 2 59,18 16,14 -1 389760 102 290 -1 -1 102 290 -1 -1 389658,51,22,11,4,3,1,1,2,2,0,0,0,0,0,1,1,1,2 -1 0,51,22,11,4,3,1,1,2,2,0,0,0,0,0,1,1,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-06.pcd 0.342688 0.000624471 0.000505031 2 54,44 17,14 -1 368000 93 290 -1 -1 93 290 -1 -1 367907,44,19,12,2,2,1,1,0,3,2,3,1,1,0,0,1,0,0,0,1 -1 0,44,19,12,2,2,1,1,0,3,2,3,1,1,0,0,1,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-07.pcd 0.307738 0.000701068 0.00049865 1 85 20 -1 360640 97 290 -1 -1 97 290 -1 -1 360543,54,15,11,3,2,1,0,1,2,1,0,0,1,1,1,2,1,1 -1 0,54,15,11,3,2,1,0,1,2,1,0,0,1,1,1,2,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-08.pcd 0.282989 0.000621799 0.000669186 1 191 43 -1 397683 107 290 -1 -1 107 290 -1 -1 397576,52,22,13,2,4,2,4,2,1,1,1,1,1,0,0,1 -1 0,52,22,13,2,4,2,4,2,1,1,1,1,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-08.pcd 0.271509 0.00047665 0.000351723 1 18 1 -1 425184 87 290 -1 -1 87 290 -1 -1 425097,38,17,17,1,3,0,1,0,2,0,1,0,2,0,0,1,2,2 -1 0,38,17,17,1,3,0,1,0,2,0,1,0,2,0,0,1,2,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-09.pcd 0.290892 0.000737915 0.000332203 1 59 20 -1 393294 76 290 -1 -1 76 290 -1 -1 393218,34,11,11,7,2,0,1,0,2,1,0,1,0,0,0,0,1,1,1,1,2 -1 0,34,11,11,7,2,0,1,0,2,1,0,1,0,0,0,0,1,1,1,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-10.pcd 0.288527 0.000673743 0.00050493 1 49 14 -1 418176 104 290 -1 -1 104 290 -1 -1 418072,59,17,8,3,4,3,0,0,1,1,2,3,0,1,0,2 -1 0,59,17,8,3,4,3,0,0,1,1,2,3,0,1,0,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-11.pcd 0.284236 0.00047532 0.000379413 1 88 12 -1 417186 86 290 -1 -1 86 290 -1 -1 417100,41,15,14,4,1,0,0,1,1,1,0,0,0,1,1,2,4 -1 0,41,15,14,4,1,0,0,1,1,1,0,0,0,1,1,2,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-11.pcd 0.374759 0.000641293 0.000386539 1 120 14 -1 457776 88 290 -1 -1 88 290 -1 -1 457688,45,21,8,1,2,0,0,1,0,1,0,0,2,1,1,1,1,1,0,1,1 -1 0,45,21,8,1,2,0,0,1,0,1,0,0,2,1,1,1,1,1,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-12.pcd 0.307691 0.000447551 0.00042783 1 19 1 -1 385152 100 290 -1 -1 100 290 -1 -1 385052,55,21,10,1,2,0,0,2,0,1,2,0,1,0,1,0,0,3,1 -1 0,55,21,10,1,2,0,0,2,0,1,2,0,1,0,1,0,0,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-13.pcd 0.332229 0.000627742 0.000445306 1 111 29 -1 373824 101 290 -1 -1 101 290 -1 -1 373723,52,16,15,4,2,0,3,1,0,1,2,1,0,0,3,0,1 -1 0,52,16,15,4,2,0,3,1,0,1,2,1,0,0,3,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-13.pcd 0.310603 0.000512899 0.00039997 2 55,42 14,12 -1 412335 95 290 -1 -1 95 290 -1 -1 412240,42,22,11,6,1,2,3,1,0,1,0,1,0,0,2,2,1 -1 0,42,22,11,6,1,2,3,1,0,1,0,1,0,0,2,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-14.pcd 0.355672 0.000864108 0.000509597 3 68,64,63 18,23,13 -1 389961 104 290 -1 -1 104 290 -1 -1 389857,44,30,13,6,1,1,1,1,1,0,0,2,1,0,0,1,1,1 -1 0,44,30,13,6,1,1,1,1,1,0,0,2,1,0,0,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-15.pcd 0.306019 0.000592154 0.000462007 3 88,47,38 17,15,12 -1 421080 109 290 -1 -1 109 290 -1 -1 420971,54,27,13,2,1,1,1,1,1,2,1,1,2,0,1,1 -1 0,54,27,13,2,1,1,1,1,1,2,1,1,2,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-15.pcd 0.39459 0.000613235 0.000564051 1 93 19 -1 390885 82 290 -1 -1 82 290 -1 -1 390803,43,11,12,4,1,1,0,0,0,0,1,0,1,0,2,0,2,2,2 -1 0,43,11,12,4,1,1,0,0,0,0,1,0,1,0,2,0,2,2,2 -1
