obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/pillow/features/rgb_0003_label_pillow<fpfh_uniform_2015-05-28_10-49-14.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__49691: 'http://tycho:49691/', host_tycho__50756: 'http://tycho:50756/',
    host_tycho__59083: 'http://tycho:59083/'}
rosversion: '1.11.10

  '
run_id: 8520ffb4-0749-11e5-9c6e-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-07.pcd 0.0258247 0.0018998 0.00269281 5 197,153,86,54,42 76,49,32,22,12 -1 449955 693 1330 -1 -1 400 1037 -1 -1 449262,413,155,45,26,20,14,7,3,2,4,0,1,2,0,1 -1 0,120,155,45,26,20,14,7,3,2,4,0,1,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-11.pcd 0.0334462 0.000854857 0.00306374 7 229,111,96,95,76,33,25 84,42,35,31,30,14,14 -1 424446 699 1330 -1 -1 400 1031 -1 -1 423747,419,123,68,42,22,10,6,5,3,0,0,0,0,1 -1 0,120,123,68,42,22,10,6,5,3,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-16.pcd 0.0245414 0.000828457 0.00289528 6 305,148,87,43,29,24 99,58,26,15,17,12 -1 441870 728 1330 -1 -1 400 1002 -1 -1 441142,435,154,63,35,17,11,5,4,2,0,2 -1 0,107,154,63,35,17,11,5,4,2,0,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-21.pcd 0.0206586 0.000894693 0.00297996 4 308,168,49,49 93,56,24,17 -1 461736 675 1330 -1 -1 400 1055 -1 -1 461061,373,155,71,32,10,11,9,8,2,1,1,2 -1 0,98,155,71,32,10,11,9,8,2,1,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-26.pcd 0.0253995 0.00082263 0.00170992 4 183,145,49,23 65,59,21,13 -1 404481 734 1330 -1 -1 400 996 -1 -1 403747,451,148,55,37,24,5,7,3,0,0,2,1,1 -1 0,117,148,55,37,24,5,7,3,0,0,2,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-31.pcd 0.0213025 0.000894229 0.00238608 10 150,144,74,54,42,38,36,32,31,22 44,53,23,15,24,17,18,13,17,12 -1 424710 655 1330 -1 -1 400 1075 -1 -1 424055,370,147,54,19,25,13,10,7,5,2,2,1 -1 0,115,147,54,19,25,13,10,7,5,2,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-36.pcd 0.0236134 0.000865387 0.00180155 6 158,113,69,40,34,30 45,35,22,24,19,12 -1 456456 632 1330 -1 -1 400 1098 -1 -1 455824,361,127,50,26,27,15,5,7,6,3,2,1,1,1 -1 0,129,127,50,26,27,15,5,7,6,3,2,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-41.pcd 0.0204716 0.000605372 0.00213433 5 158,99,38,35,33 41,38,13,20,13 -1 449592 687 1330 -1 -1 400 1043 -1 -1 448905,400,138,62,37,15,19,9,0,4,2,0,1 -1 0,113,138,62,37,15,19,9,0,4,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-45.pcd 0.0208337 0.000952034 0.00252078 10 154,90,76,54,51,51,43,26,25,22 41,29,24,19,24,16,20,13,12,13 -1 451044 630 1330 -1 -1 400 1100 -1 -1 450414,355,125,55,39,18,10,4,11,5,3,1,2,1,0,1 -1 0,125,125,55,39,18,10,4,11,5,3,1,2,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-50.pcd 0.0223468 0.000807459 0.00273027 7 190,117,48,44,34,21,18 61,46,16,16,16,13,12 -1 451044 684 1330 -1 -1 400 1046 -1 -1 450360,380,156,64,37,20,10,8,4,2,1,2 -1 0,96,156,64,37,20,10,8,4,2,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-54.pcd 0.02967 0.00123721 0.00282546 6 187,111,94,55,33,29 56,25,41,18,16,17 -1 427977 618 1330 -1 -1 400 1112 -1 -1 427359,330,128,70,35,16,14,8,3,5,3,1,2,2,1 -1 0,112,128,70,35,16,14,8,3,5,3,1,2,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-58.pcd 0.0329004 0.00205525 0.00246312 10 98,85,81,45,42,41,39,37,30,15 26,23,22,18,15,22,12,19,13,12 -1 470184 657 1330 -1 -1 400 1073 -1 -1 469527,380,119,74,36,15,12,5,3,3,2,5,2,0,1 -1 0,123,119,74,36,15,12,5,3,3,2,5,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-04.pcd 0.0250032 0.000889651 0.00295471 7 144,134,93,64,34,34,22 52,37,24,19,20,16,14 -1 453024 638 1330 -1 -1 400 1092 -1 -1 452386,364,132,52,38,13,11,8,5,3,5,2,2,1,0,1,1 -1 0,126,132,52,38,13,11,8,5,3,5,2,2,1,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-09.pcd 0.0178216 0.000620813 0.00186758 8 183,127,100,51,41,38,22,21 58,33,35,14,19,16,15,12 -1 434214 645 1330 -1 -1 400 1085 -1 -1 433569,368,124,64,33,20,9,9,5,6,3,1,2,0,1 -1 0,123,124,64,33,20,9,9,5,6,3,1,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-14.pcd 0.0246422 0.000779967 0.0031269 9 129,78,69,59,55,52,50,34,31 35,14,37,24,33,18,12,12,12 -1 434313 664 1330 -1 -1 400 1066 -1 -1 433649,393,131,56,31,18,13,9,2,3,2,0,1,0,2,0,2,1 -1 0,129,131,56,31,18,13,9,2,3,2,0,1,0,2,0,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-19.pcd 0.0204594 0.000788664 0.00177447 6 263,116,74,60,59,53 101,52,30,15,19,27 -1 462264 744 1330 -1 -1 400 986 -1 -1 461520,444,164,64,40,14,7,3,4,2,1,0,0,1 -1 0,100,164,64,40,14,7,3,4,2,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-24.pcd 0.0214872 0.0007872 0.00282534 6 212,123,89,67,40,28 73,46,32,21,21,13 -1 491568 648 1330 -1 -1 400 1082 -1 -1 490920,358,131,72,36,21,9,10,2,0,2,3,3,0,0,0,1 -1 0,110,131,72,36,21,9,10,2,0,2,3,3,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-29.pcd 0.0221297 0.000937481 0.00297202 8 222,108,64,64,54,40,40,23 91,38,26,18,13,21,16,13 -1 517902 708 1330 -1 -1 400 1022 -1 -1 517194,414,148,66,35,22,11,4,2,3,1,0,1,1 -1 0,106,148,66,35,22,11,4,2,3,1,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-33.pcd 0.0204655 0.000607954 0.00183405 7 171,87,72,47,44,39,37 68,30,29,16,17,19,19 -1 446160 677 1330 -1 -1 400 1053 -1 -1 445483,388,140,65,29,21,14,10,6,2,0,0,1,0,1 -1 0,111,140,65,29,21,14,10,6,2,0,0,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-38.pcd 0.021582 0.000873896 0.00210081 8 135,79,68,61,59,44,33,25 51,29,26,19,23,16,20,16 -1 453024 662 1330 -1 -1 400 1068 -1 -1 452362,379,136,61,34,14,18,5,4,4,4,0,2,0,0,1 -1 0,117,136,61,34,14,18,5,4,4,4,0,2,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-43.pcd 0.0198278 0.000939575 0.00269827 9 138,119,79,71,67,64,33,30,23 44,42,30,18,24,24,12,17,14 -1 419265 619 1330 -1 -1 400 1111 -1 -1 418646,326,133,68,34,21,14,8,4,3,3,2,0,1,1,1 -1 0,107,133,68,34,21,14,8,4,3,3,2,0,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-47.pcd 0.0199621 0.000654035 0.00165691 6 154,124,104,83,59,47 55,41,30,24,27,24 -1 463320 638 1330 -1 -1 400 1092 -1 -1 462682,363,110,78,27,27,10,4,9,3,1,2,1,3 -1 0,125,110,78,27,27,10,4,9,3,1,2,1,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-52.pcd 0.0197409 0.000857332 0.00199229 9 212,192,97,60,55,54,41,36,25 58,61,18,17,22,13,14,18,13 -1 407286 572 1330 -1 -1 400 1158 -1 -1 406714,309,106,53,38,21,14,11,7,1,4,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1 -1 0,137,106,53,38,21,14,11,7,1,4,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-56.pcd 0.0187853 0.000831123 0.00172921 5 184,171,119,109,34 51,57,46,33,12 -1 470448 639 1330 -1 -1 400 1091 -1 -1 469809,362,127,62,35,17,10,7,8,4,2,0,2,1,0,1,0,0,0,0,0,0,1 -1 0,123,127,62,35,17,10,7,8,4,2,0,2,1,0,1,0,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-48-00.pcd 0.0205728 0.000588009 0.00195248 8 268,69,63,41,39,36,34,30 90,18,25,16,17,12,12,16 -1 433290 625 1330 -1 -1 400 1105 -1 -1 432665,348,126,61,31,21,11,12,3,0,4,2,2,2,1,0,0,0,1 -1 0,123,126,61,31,21,11,12,3,0,4,2,2,2,1,0,0,0,1 -1
