obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<shotcolor_iss_2015-05-28_10-52-55.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__41703: 'http://tycho:41703/', host_tycho__51919: 'http://tycho:51919/',
    host_tycho__53213: 'http://tycho:53213/'}
rosversion: '1.11.10

  '
run_id: c7ee2d84-0727-11e5-8587-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-03.pcd 0.418928 0.0016156 0.00114872 4 61,48,30,25 29,20,14,13 -1 378972 138 260 -1 -1 138 260 -1 -1 378834,76,27,18,11,4,2 -1 0,76,27,18,11,4,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-04.pcd 0.334805 0.000899625 0.000938302 5 58,35,30,21,21 22,15,16,13,12 -1 393760 147 260 -1 -1 147 260 -1 -1 393613,88,35,9,5,6,3,1 -1 0,88,35,9,5,6,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-05.pcd 0.313891 0.000652368 0.0007256 6 40,35,33,29,24,19 18,17,15,19,17,14 -1 389961 166 260 -1 -1 166 260 -1 -1 389795,106,35,18,5,2 -1 0,106,35,18,5,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-06.pcd 0.287901 0.000596982 0.000660774 2 87,31 43,12 -1 389760 145 260 -1 -1 145 260 -1 -1 389615,90,21,16,13,2,3 -1 0,90,21,16,13,2,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-06.pcd 0.324526 0.00057227 0.000820892 4 75,37,25,22 29,17,15,12 -1 368000 135 260 -1 -1 135 260 -1 -1 367865,79,26,14,5,5,3,2,0,0,1 -1 0,79,26,14,5,5,3,2,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-07.pcd 0.280185 0.000586619 0.000906183 4 63,43,37,22 28,19,17,12 -1 360640 145 260 -1 -1 145 260 -1 -1 360495,87,27,13,11,6,1 -1 0,87,27,13,11,6,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-08.pcd 0.25742 0.000633027 0.000938383 4 66,42,34,27 23,23,20,13 -1 397683 148 260 -1 -1 148 260 -1 -1 397535,94,23,15,10,4,1,0,0,1 -1 0,94,23,15,10,4,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-08.pcd 0.273867 0.000451175 0.000599602 2 53,19 23,12 -1 425184 152 260 -1 -1 152 260 -1 -1 425032,94,25,18,13,2 -1 0,94,25,18,13,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-09.pcd 0.270117 0.000504092 0.000865999 3 53,24,24 22,13,13 -1 393294 160 260 -1 -1 160 260 -1 -1 393134,105,30,14,6,2,2,1 -1 0,105,30,14,6,2,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-10.pcd 0.284756 0.000463396 0.00107335 2 56,40 23,17 -1 418176 140 260 -1 -1 140 260 -1 -1 418036,78,27,19,11,3,2 -1 0,78,27,19,11,3,2 -1
