obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<pfh_susan_2015-05-28_10-56-00.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__38885: 'http://tycho:38885/', host_tycho__47193: 'http://tycho:47193/'}
rosversion: '1.11.10

  '
run_id: 05fcf852-0729-11e5-b267-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_susan_2015-05-29_10-33-04.pcd 0.00728262 0.00202845 0.000548854 1 4 1 -1 378972 123 150 -1 -1 123 150 -1 -1 378849,104,13,4,2 -1 0,104,13,4,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_susan_2015-05-29_10-33-07.pcd 0.00509009 0.0011513 0.000502529 1 4 1 -1 405768 128 150 -1 -1 128 150 -1 -1 405640,111,13,3,1 -1 0,111,13,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-33-09.pcd 0.00655691 0.000845415 0.00067235 1 6 1 -1 389400 123 150 -1 -1 123 150 -1 -1 389277,102,18,2,0,0,1 -1 0,102,18,2,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-33-12.pcd 0.00718539 0.000599611 0.000822681 1 15 13 -1 390456 121 150 -1 -1 121 150 -1 -1 390335,98,20,2,0,0,1 -1 0,98,20,2,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-15.pcd 0.00570686 0.00046353 0.000480188 1 4 1 -1 397188 127 150 -1 -1 127 150 -1 -1 397061,112,8,6,1 -1 0,112,8,6,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-19.pcd 0.0046785 0.000689826 0.000675574 1 15 12 -1 354368 125 150 -1 -1 125 150 -1 -1 354243,105,16,3,1 -1 0,105,16,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-21.pcd 0.00594639 0.000931349 0.00049621 1 4 1 -1 404976 120 150 -1 -1 120 150 -1 -1 404856,96,19,4,1 -1 0,96,19,4,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-24.pcd 0.00591881 0.000671155 0.000735938 1 27 13 -1 384087 123 150 -1 -1 123 150 -1 -1 383964,103,16,3,0,0,1 -1 0,103,16,3,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_susan_2015-05-29_10-33-27.pcd 0.00362704 0.000780675 0.000445419 1 4 1 -1 399960 121 150 -1 -1 121 150 -1 -1 399839,101,13,5,2 -1 0,101,13,5,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-28.pcd 0.00423746 0.000438517 0.000714616 1 5 1 -1 389400 124 150 -1 -1 124 150 -1 -1 389276,108,11,2,1,2 -1 0,108,11,2,1,2 -1
