obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<pfhrgb_susan_2015-05-28_10-56-24.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__38885: 'http://tycho:38885/', host_tycho__47193: 'http://tycho:47193/',
    host_tycho__53863: 'http://tycho:53863/', host_tycho__53937: 'http://tycho:53937/'}
rosversion: '1.11.10

  '
run_id: 05fcf852-0729-11e5-b267-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-07.pcd 0.0158162 0.00116079 0.000718017 1 5 1 -1 378972 93 150 -1 -1 93 150 -1 -1 378879,57,21,10,4,1 -1 0,57,21,10,4,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-12.pcd 0.0143263 0.000619457 0.000433121 1 8 1 -1 405768 85 150 -1 -1 85 150 -1 -1 405683,56,15,4,5,1,2,1,1 -1 0,56,15,4,5,1,2,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-16.pcd 0.0151151 0.000882263 0.000502859 1 11 1 -1 389400 88 150 -1 -1 88 150 -1 -1 389312,61,13,7,1,4,0,1,0,0,0,1 -1 0,61,13,7,1,4,0,1,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-21.pcd 0.0114972 0.000626994 0.000665344 1 31 15 -1 390456 81 150 -1 -1 81 150 -1 -1 390375,42,23,8,4,3,0,1 -1 0,42,23,8,4,3,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-25.pcd 0.012916 0.0010013 0.000441166 1 58 18 -1 397188 76 150 -1 -1 76 150 -1 -1 397112,44,18,6,1,3,1,1,0,0,2 -1 0,44,18,6,1,3,1,1,0,0,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-31.pcd 0.012093 0.0011532 0.000528424 1 8 1 -1 354368 77 150 -1 -1 77 150 -1 -1 354291,46,16,4,4,3,1,1,2 -1 0,46,16,4,4,3,1,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-36.pcd 0.0124997 0.000995552 0.000597119 2 26,26 14,12 -1 404976 90 150 -1 -1 90 150 -1 -1 404886,60,16,5,4,4,0,1 -1 0,60,16,5,4,4,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-40.pcd 0.0142408 0.000774614 0.000542877 1 5 1 -1 384087 91 150 -1 -1 91 150 -1 -1 383996,59,17,6,6,3 -1 0,59,17,6,6,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-44.pcd 0.00923138 0.000921811 0.000536165 1 11 1 -1 399960 95 150 -1 -1 95 150 -1 -1 399865,71,12,6,3,0,1,0,1,0,0,1 -1 0,71,12,6,3,0,1,0,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-46.pcd 0.0130665 0.000932924 0.000536205 1 11 1 -1 389400 89 150 -1 -1 89 150 -1 -1 389311,62,16,3,2,4,0,0,1,0,0,1 -1 0,62,16,3,2,4,0,0,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-50.pcd 0.00902672 0.000667117 0.000521546 1 38 19 -1 367488 86 150 -1 -1 86 150 -1 -1 367402,48,23,9,2,3,1 -1 0,48,23,9,2,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-55.pcd 0.0140855 0.000795786 0.000554306 1 7 1 -1 403920 93 150 -1 -1 93 150 -1 -1 403827,59,20,10,2,0,1,1 -1 0,59,20,10,2,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-38-01.pcd 0.0130341 0.000864055 0.000349769 1 12 1 -1 401082 82 150 -1 -1 82 150 -1 -1 401000,50,15,9,4,3,0,0,0,0,0,0,1 -1 0,50,15,9,4,3,0,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-38-06.pcd 0.0157813 0.000566811 0.000505866 1 52 18 -1 381376 83 150 -1 -1 83 150 -1 -1 381293,55,16,3,3,3,1,0,1,0,0,0,0,1 -1 0,55,16,3,3,3,1,0,1,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<pfhrgb_susan_2015-05-29_10-38-12.pcd 0.0166186 0.000606898 0.000571749 1 7 1 -1 408408 91 150 -1 -1 91 150 -1 -1 408317,59,18,7,4,1,1,1 -1 0,59,18,7,4,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<pfhrgb_susan_2015-05-29_10-38-17.pcd 0.0123986 0.000548863 0.000554757 1 38 16 -1 383295 87 150 -1 -1 87 150 -1 -1 383208,51,24,5,2,3,1,1 -1 0,51,24,5,2,3,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-38-22.pcd 0.0104864 0.000613009 0.000504015 1 11 1 -1 421245 82 150 -1 -1 82 150 -1 -1 421163,58,11,4,1,3,2,1,0,1,0,1 -1 0,58,11,4,1,3,2,1,0,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-38-27.pcd 0.0119919 0.000622637 0.000689987 2 34,22 12,14 -1 398112 84 150 -1 -1 84 150 -1 -1 398028,59,16,2,2,1,1,1,0,0,1,0,0,0,0,0,0,1 -1 0,59,16,2,2,1,1,1,0,0,1,0,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-38-31.pcd 0.0120295 0.000598719 0.000387748 1 8 1 -1 384384 84 150 -1 -1 84 150 -1 -1 384300,55,15,4,4,3,0,2,1 -1 0,55,15,4,4,3,0,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<pfhrgb_susan_2015-05-29_10-38-35.pcd 0.00924618 0.000999067 0.00066495 1 26 18 -1 363776 92 150 -1 -1 92 150 -1 -1 363684,62,17,4,4,4,1 -1 0,62,17,4,4,4,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-38-40.pcd 0.0118476 0.000567904 0.000600938 1 6 1 -1 372438 87 150 -1 -1 87 150 -1 -1 372351,56,15,7,4,3,2 -1 0,56,15,7,4,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-38-43.pcd 0.00852863 0.00060465 0.000627048 1 35 13 -1 368676 87 150 -1 -1 87 150 -1 -1 368589,63,11,6,3,1,0,0,1,0,0,2 -1 0,63,11,6,3,1,0,0,1,0,0,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<pfhrgb_susan_2015-05-29_10-38-48.pcd 0.00989562 0.000575751 0.000572961 1 13 1 -1 369171 80 150 -1 -1 80 150 -1 -1 369091,53,14,5,2,1,2,1,0,1,0,0,0,1 -1 0,53,14,5,2,1,2,1,0,1,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-38-52.pcd 0.0117605 0.000570803 0.000573506 1 10 1 -1 380358 90 150 -1 -1 90 150 -1 -1 380268,63,15,3,5,1,1,1,0,0,1 -1 0,63,15,3,5,1,1,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-38-55.pcd 0.0117788 0.00061493 0.000368939 1 7 1 -1 376200 80 150 -1 -1 80 150 -1 -1 376120,49,12,8,6,2,2,1 -1 0,49,12,8,6,2,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_30/room_1/features/nonPlanes<pfhrgb_susan_2015-05-29_10-38-59.pcd 0.00918504 0.00108021 0.000608524 1 46 14 -1 382800 87 150 -1 -1 87 150 -1 -1 382713,54,19,8,2,1,2,0,0,1 -1 0,54,19,8,2,1,2,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_30/room_7/features/nonPlanes<pfhrgb_susan_2015-05-29_10-39-04.pcd 0.0133547 0.000587233 0.000403989 1 29 14 -1 375705 88 150 -1 -1 88 150 -1 -1 375617,53,21,8,3,0,2,1 -1 0,53,21,8,3,0,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_32/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-39-08.pcd 0.0128153 0.000581678 0.000488984 1 9 1 -1 397683 82 150 -1 -1 82 150 -1 -1 397601,54,13,8,1,2,0,1,2,1 -1 0,54,13,8,1,2,0,1,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_34/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-39-12.pcd 0.0114146 0.000678999 0.000558304 1 10 1 -1 390456 83 150 -1 -1 83 150 -1 -1 390373,55,13,7,3,2,0,1,0,1,1 -1 0,55,13,7,3,2,0,1,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_36/room_3/features/nonPlanes<pfhrgb_susan_2015-05-29_10-39-18.pcd 0.00948136 0.000780137 0.000496913 1 9 1 -1 371316 86 150 -1 -1 86 150 -1 -1 371230,55,14,13,0,1,1,0,1,1 -1 0,55,14,13,0,1,1,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_38/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-39-23.pcd 0.0130935 0.000545015 0.000552455 2 42,24 12,12 -1 378378 82 150 -1 -1 82 150 -1 -1 378296,51,19,3,1,3,2,3 -1 0,51,19,3,1,3,2,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_39/room_3/features/nonPlanes<pfhrgb_susan_2015-05-29_10-39-28.pcd 0.0121112 0.0008227 0.000589803 1 34 15 -1 385506 88 150 -1 -1 88 150 -1 -1 385418,58,16,6,3,3,1,0,0,1 -1 0,58,16,6,3,3,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_41/room_3/features/nonPlanes<pfhrgb_susan_2015-05-29_10-39-32.pcd 0.0109913 0.000722032 0.000433839 1 34 14 -1 367488 81 150 -1 -1 81 150 -1 -1 367407,53,17,3,3,2,0,1,0,0,0,0,1,1 -1 0,53,17,3,3,2,0,1,0,0,0,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_43/room_3/features/nonPlanes<pfhrgb_susan_2015-05-29_10-39-37.pcd 0.00953581 0.000608348 0.000508276 1 38 14 -1 384846 76 150 -1 -1 76 150 -1 -1 384770,40,22,5,4,0,2,1,2 -1 0,40,22,5,4,0,2,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_45/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-39-42.pcd 0.0143004 0.00143883 0.00049012 1 29 14 -1 375144 86 150 -1 -1 86 150 -1 -1 375058,56,12,9,4,3,2 -1 0,56,12,9,4,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_47/room_3/features/nonPlanes<pfhrgb_susan_2015-05-29_10-39-47.pcd 0.0113013 0.000601606 0.000468759 1 9 1 -1 380160 82 150 -1 -1 82 150 -1 -1 380078,50,14,7,9,0,1,0,0,1 -1 0,50,14,7,9,0,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140909/patrol_run_49/room_3/features/nonPlanes<pfhrgb_susan_2015-05-29_10-39-52.pcd 0.0141323 0.000570623 0.000720385 1 15 1 -1 356960 88 150 -1 -1 88 150 -1 -1 356872,58,18,6,3,1,1,0,0,0,0,0,0,0,0,1 -1 0,58,18,6,3,1,1,0,0,0,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140909/patrol_run_51/room_3/features/nonPlanes<pfhrgb_susan_2015-05-29_10-39-56.pcd 0.0133199 0.000890865 0.000740585 1 11 1 -1 378972 86 150 -1 -1 86 150 -1 -1 378886,54,19,7,3,1,0,0,0,1,0,1 -1 0,54,19,7,3,1,0,0,0,1,0,1 -1
