obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<pfh_uniform_2015-05-28_10-49-43.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__48493: 'http://tycho:48493/', host_tycho__55977: 'http://tycho:55977/'}
rosversion: '1.11.10

  '
run_id: ad550886-0726-11e5-b733-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_uniform_2015-05-29_08-52-49.pcd 0.100797 0.00101775 0.00290417 9 76,54,37,25,25,25,22,21,19 49,26,24,19,14,12,12,13,12 -1 449955 761 1070 -1 -1 400 709 -1 -1 449194,550,150,34,20,4,3 -1 0,189,150,34,20,4,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_uniform_2015-05-29_08-53-05.pcd 0.0959189 0.0014018 0.00171832 5 96,48,44,18,17 55,36,24,13,12 -1 424446 762 1070 -1 -1 400 708 -1 -1 423684,556,144,39,12,8,2,0,0,1 -1 0,194,144,39,12,8,2,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_uniform_2015-05-29_08-53-21.pcd 0.12032 0.00139559 0.00259398 5 157,25,24,22,17 100,14,13,16,13 -1 441870 760 1070 -1 -1 400 710 -1 -1 441110,544,157,40,8,7,3,1 -1 0,184,157,40,8,7,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_uniform_2015-05-29_08-53-38.pcd 0.122455 0.00121625 0.00258729 5 89,64,30,24,16 40,41,21,16,12 -1 461736 748 1070 -1 -1 400 722 -1 -1 460988,537,150,37,12,5,3,2,1,1 -1 0,189,150,37,12,5,3,2,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_uniform_2015-05-29_08-53-54.pcd 0.0673848 0.000835142 0.00231401 3 75,56,26 56,36,17 -1 404481 793 1070 -1 -1 400 677 -1 -1 403688,606,131,36,13,2,3,2 -1 0,213,131,36,13,2,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_uniform_2015-05-29_08-54-11.pcd 0.0865249 0.000844289 0.0025927 8 120,38,31,28,24,20,15,15 60,26,15,20,13,13,13,12 -1 424710 741 1070 -1 -1 400 729 -1 -1 423969,522,150,43,14,10,1,1 -1 0,181,150,43,14,10,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_uniform_2015-05-29_08-54-27.pcd 0.0952794 0.00083857 0.00227433 8 88,63,43,35,33,31,21,17 55,24,28,22,19,15,14,12 -1 456456 726 1070 -1 -1 400 744 -1 -1 455730,499,163,33,19,6,2,4 -1 0,173,163,33,19,6,2,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_uniform_2015-05-29_08-54-44.pcd 0.0943625 0.0012805 0.00170369 4 45,39,29,15 31,21,22,13 -1 449592 805 1070 -1 -1 400 665 -1 -1 448787,611,144,33,14,2,1 -1 0,206,144,33,14,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_uniform_2015-05-29_08-55-00.pcd 0.10125 0.00136979 0.00178836 9 71,50,41,37,33,32,27,21,15 40,38,22,16,22,12,15,16,12 -1 451044 745 1070 -1 -1 400 725 -1 -1 450299,532,142,43,19,5,4 -1 0,187,142,43,19,5,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_uniform_2015-05-29_08-55-17.pcd 0.0798836 0.000492649 0.00151996 6 101,68,33,28,21,18 57,45,24,17,18,12 -1 451044 779 1070 -1 -1 400 691 -1 -1 450265,559,169,35,14,0,2 -1 0,180,169,35,14,0,2 -1
