obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<pfhrgb_uniform_2015-05-28_10-51-01.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__52507: 'http://tycho:52507/', host_tycho__57083: 'http://tycho:57083/'}
rosversion: '1.11.10

  '
run_id: 72d06344-0727-11e5-a6f2-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-15-27.pcd 0.357611 0.00161753 0.00271678 8 181,129,113,61,58,38,35,27 59,44,39,21,27,16,25,13 -1 449955 502 1070 -1 -1 400 968 -1 -1 449453,257,118,51,39,14,3,5,8,2,1,1,1,1,0,0,0,1 -1 0,155,118,51,39,14,3,5,8,2,1,1,1,1,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-15-52.pcd 0.351317 0.000850657 0.00310718 7 198,174,57,43,42,41,39 64,63,19,20,18,20,15 -1 424446 509 1070 -1 -1 400 961 -1 -1 423937,272,108,58,34,11,10,4,0,4,3,2,1,1,0,0,1 -1 0,163,108,58,34,11,10,4,0,4,3,2,1,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-16-18.pcd 0.335308 0.000926559 0.0025478 11 84,81,81,69,62,61,46,46,34,26,22 27,37,26,26,15,21,19,17,14,18,13 -1 441870 512 1070 -1 -1 400 958 -1 -1 441358,305,85,46,30,12,12,5,9,0,3,0,3,1,0,0,0,0,0,1 -1 0,193,85,46,30,12,12,5,9,0,3,0,3,1,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-16-42.pcd 0.344172 0.000806784 0.00172594 10 123,80,75,61,54,43,34,33,30,26 38,35,21,27,23,18,13,14,12,12 -1 461736 443 1070 -1 -1 400 1027 -1 -1 461293,220,86,48,30,21,14,7,4,3,3,3,1,1,1,1 -1 0,177,86,48,30,21,14,7,4,3,3,3,1,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-17-06.pcd 0.37042 0.00092289 0.00277316 7 157,144,70,59,55,50,48 70,46,34,27,15,14,24 -1 404481 514 1070 -1 -1 400 956 -1 -1 403967,293,106,46,20,14,12,11,2,4,1,2,0,2,0,0,0,0,1 -1 0,179,106,46,20,14,12,11,2,4,1,2,0,2,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-17-31.pcd 0.30147 0.000785142 0.00284851 7 256,140,80,57,49,47,21 93,49,15,26,25,17,13 -1 424710 477 1070 -1 -1 400 993 -1 -1 424233,236,108,62,21,20,7,10,4,2,2,1,2,0,1,0,0,1 -1 0,159,108,62,21,20,7,10,4,2,2,1,2,0,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-17-57.pcd 0.370489 0.000631491 0.00235001 9 245,112,107,85,40,38,36,31,26 85,47,19,26,14,14,14,14,14 -1 456456 459 1070 -1 -1 400 1011 -1 -1 455997,229,97,50,29,17,9,11,5,3,4,3,1,1 -1 0,170,97,50,29,17,9,11,5,3,4,3,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-18-18.pcd 0.322287 0.000819994 0.00284969 11 111,80,79,65,62,55,46,41,31,30,27 42,40,32,28,17,26,21,12,17,16,12 -1 449592 517 1070 -1 -1 400 953 -1 -1 449075,300,96,42,32,19,10,2,6,5,0,2,0,2,1 -1 0,183,96,42,32,19,10,2,6,5,0,2,0,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-18-38.pcd 0.268375 0.00125837 0.00240451 11 125,123,72,66,54,52,45,41,39,24,19 55,53,26,19,20,12,15,18,15,14,13 -1 451044 453 1070 -1 -1 400 1017 -1 -1 450591,218,96,61,34,8,11,9,3,3,2,3,2,1,0,1,1 -1 0,165,96,61,34,8,11,9,3,3,2,3,2,1,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-29_09-18-59.pcd 0.338129 0.00165944 0.00281111 6 229,113,105,103,40,27 88,19,43,51,19,16 -1 451044 469 1070 -1 -1 400 1001 -1 -1 450575,259,87,39,34,14,8,8,7,4,3,0,1,0,1,2,2 -1 0,190,87,39,34,14,8,8,7,4,3,0,1,0,1,2,2 -1
