obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/trash_bin/features/rgb_0000_label_trash_bin<pfhrgb_susan_2015-05-28_10-56-21.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__32823: 'http://tycho:32823/', host_tycho__36470: 'http://tycho:36470/',
    host_tycho__39977: 'http://tycho:39977/', host_tycho__40798: 'http://tycho:40798/',
    host_tycho__41004: 'http://tycho:41004/', host_tycho__42222: 'http://tycho:42222/',
    host_tycho__43538: 'http://tycho:43538/', host_tycho__47962: 'http://tycho:47962/',
    host_tycho__49550: 'http://tycho:49550/', host_tycho__50735: 'http://tycho:50735/',
    host_tycho__58732: 'http://tycho:58732/'}
rosversion: '1.11.10

  '
run_id: 2f029400-0733-11e5-827f-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-07.pcd 0.0113361 0.000551968 0.00058072 1 4 1 -1 378972 106 150 -1 -1 106 150 -1 -1 378866,74,21,10,1 -1 0,74,21,10,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-12.pcd 0.0121366 0.000868632 0.000485718 1 8 1 -1 405768 109 150 -1 -1 109 150 -1 -1 405659,83,17,7,1,0,0,0,1 -1 0,83,17,7,1,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-16.pcd 0.0124361 0.000767278 0.000849437 1 18 13 -1 389400 111 150 -1 -1 111 150 -1 -1 389289,81,24,3,3 -1 0,81,24,3,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-21.pcd 0.0142089 0.000614793 0.000661398 1 9 1 -1 390456 104 150 -1 -1 104 150 -1 -1 390352,74,24,3,0,2,0,0,0,1 -1 0,74,24,3,0,2,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-25.pcd 0.0132187 0.000680054 0.000502945 1 32 18 -1 397188 112 150 -1 -1 112 150 -1 -1 397076,82,26,2,1,0,1 -1 0,82,26,2,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-31.pcd 0.0117172 0.00150097 0.000734133 1 24 17 -1 354368 109 150 -1 -1 109 150 -1 -1 354259,81,20,5,2,0,1 -1 0,81,20,5,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-36.pcd 0.0104518 0.000605274 0.00061764 1 5 1 -1 404976 101 150 -1 -1 101 150 -1 -1 404875,65,26,8,1,1 -1 0,65,26,8,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-40.pcd 0.0108918 0.000582971 0.000557587 1 4 1 -1 384087 106 150 -1 -1 106 150 -1 -1 383981,70,31,2,3 -1 0,70,31,2,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-44.pcd 0.00588401 0.00186025 0.000587885 1 49 22 -1 399960 91 150 -1 -1 91 150 -1 -1 399869,58,20,6,3,3,0,1 -1 0,58,20,6,3,3,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-46.pcd 0.008396 0.000973262 0.000515976 2 24,17 13,12 -1 389400 103 150 -1 -1 103 150 -1 -1 389297,67,27,7,2 -1 0,67,27,7,2 -1
