obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/trash_bin/features/rgb_0000_label_trash_bin<pfh_uniform_2015-05-28_10-49-37.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__43568: 'http://tycho:43568/', host_tycho__59679: 'http://tycho:59679/'}
rosversion: '1.11.10

  '
run_id: 72ad4b7e-0732-11e5-9d39-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_uniform_2015-05-29_08-52-49.pcd 0.0841875 0.00094632 0.00199625 9 60,42,32,23,22,19,17,17,16 41,30,22,18,16,13,13,13,12 -1 449955 745 970 -1 -1 400 625 -1 -1 449210,571,138,26,6,3,1 -1 0,226,138,26,6,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_uniform_2015-05-29_08-53-05.pcd 0.11554 0.000776853 0.00255857 4 92,46,31,22 65,33,21,19 -1 424446 767 970 -1 -1 400 603 -1 -1 423679,609,126,22,8,1,1 -1 0,242,126,22,8,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_uniform_2015-05-29_08-53-21.pcd 0.0437479 0.000966827 0.00249676 6 118,68,34,21,19,16 86,42,21,15,17,13 -1 441870 767 970 -1 -1 400 603 -1 -1 441103,598,144,17,7,1 -1 0,231,144,17,7,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_uniform_2015-05-29_08-53-38.pcd 0.0585123 0.00045867 0.00271264 6 120,32,20,17,15,14 78,18,13,13,13,12 -1 461736 753 970 -1 -1 400 617 -1 -1 460983,580,139,24,10 -1 0,227,139,24,10 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_uniform_2015-05-29_08-53-54.pcd 0.092037 0.000577475 0.00155814 5 99,39,27,24,14 73,29,22,18,13 -1 404481 767 970 -1 -1 400 603 -1 -1 403714,600,141,19,5,1,1 -1 0,233,141,19,5,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_uniform_2015-05-29_08-54-11.pcd 0.077978 0.000789114 0.00247599 3 172,70,37 105,54,21 -1 424710 723 970 -1 -1 400 647 -1 -1 423987,544,137,29,4,7,1,0,1 -1 0,221,137,29,4,7,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_uniform_2015-05-29_08-54-27.pcd 0.0811602 0.00126323 0.00229053 7 86,58,54,52,31,30,25 48,35,38,35,20,19,16 -1 456456 704 970 -1 -1 400 666 -1 -1 455752,511,146,29,11,6,1 -1 0,207,146,29,11,6,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_uniform_2015-05-29_08-54-44.pcd 0.110568 0.000975684 0.00264053 7 47,40,39,25,24,22,22 37,29,29,20,18,17,13 -1 449592 754 970 -1 -1 400 616 -1 -1 448838,576,151,21,3,1,2 -1 0,222,151,21,3,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_uniform_2015-05-29_08-55-00.pcd 0.0746319 0.00138189 0.00163215 5 133,38,33,25,19 97,28,26,16,14 -1 451044 732 970 -1 -1 400 638 -1 -1 450312,550,144,23,13,1,1 -1 0,218,144,23,13,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_uniform_2015-05-29_08-55-17.pcd 0.0661443 0.000797229 0.0014948 5 74,57,50,47,17 54,34,32,40,13 -1 451044 743 970 -1 -1 400 627 -1 -1 450301,567,138,29,5,4 -1 0,224,138,29,5,4 -1
