obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/backpack2/features/rgb_0003_label_backpack2<shotcolor_iss_2015-05-28_11-01-13.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33580: 'http://tycho:33580/', host_tycho__35355: 'http://tycho:35355/',
    host_tycho__39198: 'http://tycho:39198/', host_tycho__45384: 'http://tycho:45384/',
    host_tycho__53854: 'http://tycho:53854/', host_tycho__58542: 'http://tycho:58542/'}
rosversion: '1.11.10

  '
run_id: 1a04d9de-0781-11e5-8e78-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.0812372 0.00146533 0.00070281 1 5 1 0 361152 92 140 4 7 92 140 4 7 361060,60,22,6,2,2 0,1,3,0,0,0 0,60,22,6,2,2 0,1,3,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.100556 0.00061959 0.000758973 2 27,22 16,15 0,0 390080 95 140 6 10 95 140 6 10 389985,64,21,7,2,1 0,4,1,0,1,0 0,64,21,7,2,1 0,4,1,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.113198 0.000578438 0.000626008 1 29 15 0 386628 91 140 4 10 91 140 4 10 386537,60,20,6,3,2 0,1,1,1,1,0 0,60,20,6,3,2 0,1,1,1,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.0930793 0.000540144 0.000588987 1 27 13 0 368000 88 140 4 5 88 140 4 5 367912,57,16,11,3,0,1 0,3,1,0,0,0,0 0,57,16,11,3,0,1 0,3,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.0872012 0.00056819 0.000360831 1 6 1 0 382800 80 140 5 9 80 140 5 9 382720,53,9,9,4,4,1 0,3,0,2,0,0,0 0,53,9,9,4,4,1 0,3,0,2,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.0847694 0.000581918 0.000446187 1 19 13 0 353856 90 140 5 11 90 140 5 11 353766,56,21,10,3 0,2,1,1,1 0,56,21,10,3 0,2,1,1,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.106432 0.00145252 0.000527792 1 31 14 0 371200 77 140 2 2 77 140 2 2 371123,48,10,8,8,2,1 0,2,0,0,0,0,0 0,48,10,8,8,2,1 0,2,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.0859381 0.000573462 0.000542586 1 5 1 0 424320 82 140 6 7 82 140 6 7 424238,49,16,11,4,2 0,5,1,0,0,0 0,49,16,11,4,2 0,5,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.0807102 0.000572951 0.000469751 1 3 1 -1 374912 120 140 -1 -1 120 140 -1 -1 374792,101,18,1 -1 0,101,18,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-02.pcd 0.0837884 0.000589192 0.000384427 1 25 16 0 413952 92 140 3 8 92 140 3 8 413860,60,21,8,1,2 0,1,1,0,0,1 0,60,21,8,1,2 0,1,1,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-02.pcd 0.104615 0.000928046 0.000417091 1 6 1 0 347136 72 140 2 2 72 140 2 2 347064,40,13,9,5,3,2 0,2,0,0,0,0,0 0,40,13,9,5,3,2 0,2,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-02.pcd 0.0879631 0.00062259 0.000447979 1 5 1 0 442784 90 140 9 18 90 140 9 18 442694,60,16,9,4,1 0,5,0,3,1,0 0,60,16,9,4,1 0,5,0,3,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-02.pcd 0.0781824 0.000612808 0.000316984 1 46 15 0 389961 75 140 1 1 75 140 1 1 389886,44,11,9,8,3 0,1,0,0,0,0 0,44,11,9,8,3 0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-03.pcd 0.0791077 0.000566653 0.000435276 1 34 15 0 368000 87 140 4 4 87 140 4 4 367913,59,12,8,7,1 0,4,0,0,0,0 0,59,12,8,7,1 0,4,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-03.pcd 0.103525 0.000598549 0.000502656 1 34 15 0 392704 83 140 4 10 83 140 4 10 392621,51,17,7,6,2 0,2,0,0,2,0 0,51,17,7,6,2 0,2,0,0,2,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-03.pcd 0.0873153 0.000820857 0.000342633 1 5 1 0 374912 83 140 3 4 83 140 3 4 374829,51,15,10,6,1 0,2,1,0,0,0 0,51,15,10,6,1 0,2,1,0,0,0
