obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_susan,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/backpack2/features/rgb_0003_label_backpack2<shotcolor_susan_2015-05-28_11-02-40.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33580: 'http://tycho:33580/', host_tycho__34654: 'http://tycho:34654/',
    host_tycho__35355: 'http://tycho:35355/', host_tycho__39198: 'http://tycho:39198/',
    host_tycho__39374: 'http://tycho:39374/', host_tycho__40490: 'http://tycho:40490/',
    host_tycho__44183: 'http://tycho:44183/', host_tycho__45384: 'http://tycho:45384/',
    host_tycho__46954: 'http://tycho:46954/', host_tycho__53854: 'http://tycho:53854/',
    host_tycho__58542: 'http://tycho:58542/'}
rosversion: '1.11.10

  '
run_id: 1a04d9de-0781-11e5-8e78-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-02.pcd 0.11451 0.00151844 0.000772327 1 19 14 0 378972 80 110 4 4 80 110 4 4 378892,62,10,6,1,0,1 0,4,0,0,0,0,0 0,62,10,6,1,0,1 0,4,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-04.pcd 0.12662 0.00104968 0.000310155 1 5 1 0 409266 72 110 8 10 72 110 8 10 409194,48,15,5,3,1 0,6,2,0,0,0 0,48,15,5,3,1 0,6,2,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-07.pcd 0.123399 0.000955785 0.00033579 1 4 1 0 372900 80 110 5 8 80 110 5 8 372820,59,15,3,3 0,2,3,0,0 0,59,15,3,3 0,2,3,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-09.pcd 0.120188 0.000968541 0.000324302 1 7 1 0 373296 74 110 6 18 74 110 6 18 373222,57,9,3,1,3,0,1 0,1,2,1,0,2,0,0 0,57,9,3,1,3,0,1 0,1,2,1,0,2,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-11.pcd 0.124684 0.000973175 0.000286536 1 8 1 0 397188 64 110 7 13 64 110 7 13 397124,38,17,5,1,1,1,0,1 0,2,4,1,0,0,0,0,0 0,38,17,5,1,1,1,0,1 0,2,4,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-14.pcd 0.111265 0.000953343 0.00033845 1 5 1 0 371316 77 110 3 7 77 110 3 7 371239,58,11,4,2,2 0,2,0,0,0,1 0,58,11,4,2,2 0,2,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-16.pcd 0.122981 0.000998329 0.000569734 1 22 12 0 397683 77 110 7 8 77 110 7 8 397606,57,11,7,1,0,1 0,6,1,0,0,0,0 0,57,11,7,1,0,1 0,6,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-18.pcd 0.116461 0.000959731 0.000342526 1 5 1 0 364914 84 110 6 6 84 110 6 6 364830,66,13,3,1,1 0,6,0,0,0,0 0,66,13,3,1,1 0,6,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-21.pcd 0.0520798 0.000952384 0.000306163 1 5 1 -1 393294 73 110 -1 -1 73 110 -1 -1 393221,52,11,5,4,1 -1 0,52,11,5,4,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-22.pcd 0.115459 0.000602805 0.000376138 1 22 14 0 401016 80 110 4 8 80 110 4 8 400936,60,13,5,1,1 0,2,0,2,0,0 0,60,13,5,1,1 0,2,0,2,0,0
