obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_uniform,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/backpack2/features/rgb_0003_label_backpack2<shotcolor_uniform_2015-05-28_10-59-14.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__47302: 'http://tycho:47302/', host_tycho__58004: 'http://tycho:58004/'}
rosversion: '1.11.10

  '
run_id: f1dbd9c2-077f-11e5-9748-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-25.pcd 6.27733 0.00187282 0.00198791 8 56,54,34,33,26,19,15,14 32,28,28,17,18,12,14,12 0,0,0,0,0,0,0,0 453288 892 1150 36 55 400 658 11 30 452396,707,135,36,7,5,2 0,25,6,3,1,1,0 0,215,135,36,7,5,2 0,0,6,3,1,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-25.pcd 6.48202 0.000831981 0.00170432 9 72,70,64,48,35,22,18,16,15 37,43,48,32,24,15,17,14,13 0,0,0,0,0,0,0,0,0 424446 927 1150 19 29 400 623 8 18 423519,753,137,27,8,2 0,11,6,2,0,0 0,226,137,27,8,2 0,0,6,2,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-27.pcd 7.12135 0.000938864 0.00182016 6 82,81,46,44,23,14 54,47,40,30,13,12 0,0,0,0,0,0 407880 951 1150 20 31 400 599 6 17 406929,797,126,17,8,1,1,1 0,14,5,0,0,0,0,1 0,246,126,17,8,1,1,1 0,0,5,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-28.pcd 6.94763 0.000743455 0.00210041 8 97,86,64,35,27,21,17,16 75,49,38,22,19,16,16,14 0,0,0,0,0,0,0,0 461736 946 1150 26 34 400 604 6 14 460790,799,109,25,9,3,0,1 0,20,4,2,0,0,0,0 0,253,109,25,9,3,0,1 0,0,4,2,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-29.pcd 7.57714 0.000929131 0.00280071 7 99,80,61,57,30,26,24 70,47,33,39,22,15,12 0,0,0,0,0,0,0 404481 927 1150 24 31 400 623 4 11 403554,762,125,28,8,2,2 0,20,2,1,1,0,0 0,235,125,28,8,2,2 0,0,2,1,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-30.pcd 6.71984 0.000899605 0.00197218 8 80,73,58,55,29,24,18,15 40,55,40,37,18,15,12,12 0,0,0,0,0,0,0,0 424710 921 1150 18 24 400 629 5 11 423789,748,131,31,8,3 0,14,3,0,1,0 0,227,131,31,8,3 0,1,3,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-31.pcd 6.21135 0.00108774 0.002867 6 116,110,46,33,29,17 51,68,35,19,17,16 0,0,0,0,0,0 460845 884 1150 19 27 400 666 6 14 459961,703,125,38,11,5,1,0,1 0,13,4,2,0,0,0,0,0 0,219,125,38,11,5,1,0,1 0,0,4,2,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-32.pcd 6.61494 0.000857769 0.00172782 7 133,54,41,38,24,21,20 93,36,14,28,24,13,16 0,0,0,0,0,0,0 446160 960 1150 28 51 400 590 11 34 445200,827,102,20,5,1,2,2,1 0,17,7,1,1,0,1,1,0 0,267,102,20,5,1,2,2,1 0,0,7,1,1,0,1,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-33.pcd 6.57656 0.000771762 0.0016529 8 99,69,59,27,19,18,14,13 78,34,45,19,18,12,12,12 -1 451044 960 1150 -1 -1 400 590 -1 -1 450084,812,116,23,8,1 -1 0,252,116,23,8,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-34.pcd 6.27712 0.000792008 0.00179571 5 84,73,68,64,25 64,45,41,36,21 0,0,0,0,0 451044 946 1150 25 30 400 604 5 10 450098,795,121,19,6,1,2,1,1 0,20,5,0,0,0,0,0,0 0,249,121,19,6,1,2,1,1 0,0,5,0,0,0,0,0,0
