obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/chair1/features/rgb_0015_label_chair1<pfhrgb_susan_2015-05-28_11-03-58.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__50470: 'http://tycho:50470/', host_tycho__55207: 'http://tycho:55207/',
    host_tycho__60533: 'http://tycho:60533/'}
rosversion: '1.11.10

  '
run_id: 7dea0978-0778-11e5-af9e-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-20.pcd 0.0116744 0.00185087 0.000727655 1 3 1 1 378972 91 120 19 30 91 120 19 30 378881,70,13,8 0,11,5,3 0,70,13,8 0,11,5,3
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-22.pcd 0.00929549 0.00099035 0.000493204 1 13 12 0 409266 92 120 11 13 92 120 11 13 409174,73,15,1,2,0,1 0,9,2,0,0,0,0 0,73,15,1,2,0,1 0,9,2,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-24.pcd 0.0078464 0.000980237 0.000359171 1 5 1 0 372900 84 120 14 19 84 120 14 19 372816,56,23,3,1,1 0,10,3,1,0,0 0,56,23,3,1,1 0,10,3,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-25.pcd 0.008986 0.000871621 0.000364011 2 16,14 14,12 0,0 373296 88 120 8 19 88 120 8 19 373208,65,18,4,0,0,0,1 0,4,1,2,0,0,0,1 0,65,18,4,0,0,0,1 0,4,1,2,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-27.pcd 0.00992194 0.000632376 0.000608699 1 4 1 0 397188 85 120 9 13 85 120 9 13 397103,59,18,7,1 0,5,4,0,0 0,59,18,7,1 0,5,4,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-29.pcd 0.00939886 0.000568862 0.000569277 1 7 1 0 371316 76 120 3 4 76 120 3 4 371240,47,21,4,3,0,0,1 0,2,1,0,0,0,0,0 0,47,21,4,3,0,0,1 0,2,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-30.pcd 0.00811516 0.000656421 0.000378334 1 4 1 0 397683 89 120 0 0 89 120 0 0 397594,64,21,2,2 0,0,0,0,0 0,64,21,2,2 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-32.pcd 0.00939994 0.000991981 0.000504026 1 7 1 0 364914 82 120 1 1 82 120 1 1 364832,56,20,3,2,0,0,1 0,1,0,0,0,0,0,0 0,56,20,3,2,0,0,1 0,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-34.pcd 0.00468084 0.000589306 0.000390793 1 6 1 -1 393294 79 120 -1 -1 79 120 -1 -1 393215,50,22,4,2,0,1 -1 0,50,22,4,2,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-34.pcd 0.00874334 0.00096652 0.000679208 2 24,22 15,14 0,0 401016 84 120 4 5 84 120 4 5 400932,58,20,5,0,0,0,1 0,3,1,0,0,0,0,0 0,58,20,5,0,0,0,1 0,3,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-36.pcd 0.00752341 0.000572511 0.000349415 1 36 15 1 375144 72 120 17 40 72 120 17 40 375072,46,15,6,2,1,1,1 0,7,5,2,1,0,1,1 0,46,15,6,2,1,1,1 0,7,5,2,1,0,1,1
