obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/hanger_jacket/features/rgb_0002_label_hanger_jacket<shot_uniform_2015-05-28_10-59-00.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__49379: 'http://tycho:49379/', host_tycho__49996: 'http://tycho:49996/',
    host_tycho__54681: 'http://tycho:54681/', host_tycho__58666: 'http://tycho:58666/',
    host_tycho__60731: 'http://tycho:60731/'}
rosversion: '1.11.10

  '
run_id: 6a481542-0785-11e5-94f7-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_uniform_2015-05-18_21-53-23.pcd 2.23772 0.0024435 0.00301331 7 57,46,43,35,17,15,13 43,32,30,24,13,12,12 -1 453288 1066 1300 -1 -1 400 634 -1 -1 452222,884,142,30,8,2 -1 0,218,142,30,8,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_uniform_2015-05-18_21-53-24.pcd 1.95494 0.000888009 0.00223857 8 137,43,32,29,27,18,17,17 84,27,24,12,13,16,14,13 -1 424446 1030 1300 -1 -1 400 670 -1 -1 423416,819,163,39,7,2 -1 0,189,163,39,7,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_uniform_2015-05-18_21-53-25.pcd 2.28329 0.00087572 0.00170188 7 55,50,35,32,28,25,17 45,31,26,28,19,16,13 0,0,0,0,0,0,0 407880 1099 1300 11 11 400 601 0 0 406781,932,137,28,1,0,1 0,11,0,0,0,0,0 0,233,137,28,1,0,1 0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_uniform_2015-05-18_21-53-25.pcd 2.02597 0.000968016 0.00168592 6 132,43,32,32,21,16 83,31,23,22,14,14 0,0,0,0,0,0 461736 1062 1300 26 37 400 638 9 20 460674,874,152,26,7,2,1 0,17,8,0,1,0,0 0,212,152,26,7,2,1 0,0,8,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_uniform_2015-05-18_21-53-26.pcd 1.9457 0.000835389 0.00179208 8 181,43,25,24,23,23,22,15 118,30,13,13,19,18,12,14 -1 404481 1079 1300 -1 -1 400 621 -1 -1 403402,901,142,31,3,2 -1 0,222,142,31,3,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_uniform_2015-05-18_21-53-27.pcd 2.02864 0.000811531 0.00172504 6 130,43,38,32,28,23 89,24,30,18,16,18 0,0,0,0,0,0 424710 1042 1300 26 30 400 658 3 7 423668,845,153,32,7,5 0,23,2,1,0,0 0,203,153,32,7,5 0,0,2,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_uniform_2015-05-18_21-53-27.pcd 2.53785 0.00119464 0.00283304 6 133,77,54,28,25,24 81,50,30,15,16,13 0,0,0,0,0,0 460845 1001 1300 24 33 400 699 7 16 459844,779,173,33,9,4,2,0,1 0,17,5,2,0,0,0,0,0 0,178,173,33,9,4,2,0,1 0,0,5,2,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_uniform_2015-05-18_21-53-28.pcd 1.99393 0.000821915 0.00166611 3 152,27,20 104,18,14 0,0,0 446160 1071 1300 20 24 400 629 3 7 445089,883,155,28,3,1,1 0,17,2,1,0,0,0 0,212,155,28,3,1,1 0,0,2,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_uniform_2015-05-18_21-53-29.pcd 1.96779 0.000893404 0.00172083 5 132,77,43,38,26 89,51,30,24,20 -1 451044 1040 1300 -1 -1 400 660 -1 -1 450004,843,144,44,8,1 -1 0,203,144,44,8,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_uniform_2015-05-18_21-53-29.pcd 1.89744 0.000776873 0.00166709 5 137,60,58,23,14 93,36,42,15,12 0,0,0,0,0 451044 1061 1300 11 15 400 639 3 7 449983,866,159,28,8 0,8,2,1,0 0,205,159,28,8 0,0,2,1,0
