obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_uniform,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/hanger_jacket/features/rgb_0002_label_hanger_jacket<shotcolor_uniform_2015-05-28_10-59-14.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__35714: 'http://tycho:35714/', host_tycho__48526: 'http://tycho:48526/'}
rosversion: '1.11.10

  '
run_id: 610ad5ae-0786-11e5-b487-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-25.pcd 7.69759 0.00232993 0.00287343 5 56,47,39,29,14 29,34,23,23,12 -1 453288 1010 1300 -1 -1 400 690 -1 -1 452278,793,161,40,15,1 -1 0,183,161,40,15,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-25.pcd 7.32778 0.00108852 0.00296497 6 211,43,25,23,22,22 130,27,12,13,19,16 -1 424446 1007 1300 -1 -1 400 693 -1 -1 423439,806,135,47,13,5,1 -1 0,199,135,47,13,5,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-27.pcd 7.2005 0.000874374 0.00231507 4 131,38,26,15 87,23,21,15 0,0,0,0 407880 1060 1300 16 20 400 640 3 7 406820,863,162,29,4,2 0,13,2,1,0,0 0,203,162,29,4,2 0,0,2,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-28.pcd 7.76925 0.000865868 0.00163129 5 129,41,31,23,21 80,17,18,18,17 0,0,0,0,0 461736 1018 1300 32 42 400 682 7 17 460718,808,154,45,7,3,1 0,25,4,3,0,0,0 0,190,154,45,7,3,1 0,0,4,3,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-29.pcd 7.24033 0.000817214 0.00163742 5 180,53,30,27,26 118,23,21,15,19 -1 404481 1051 1300 -1 -1 400 649 -1 -1 403430,859,147,36,6,3 -1 0,208,147,36,6,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-30.pcd 7.46776 0.000943972 0.0021546 8 146,71,41,38,31,28,20,17 93,27,25,20,21,13,12,15 0,0,0,0,0,0,0,0 424710 1001 1300 37 58 400 699 10 31 423709,783,158,46,11,0,2,1 0,27,3,5,1,0,1,0 0,182,158,46,11,0,2,1 0,0,3,5,1,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-31.pcd 6.98835 0.000939749 0.00163801 7 167,66,54,47,30,16,16 90,27,36,28,15,14,13 0,0,0,0,0,0,0 460845 1006 1300 30 43 400 694 8 21 459839,793,152,48,8,3,2 0,22,5,1,2,0,0 0,187,152,48,8,3,2 0,0,5,1,2,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-32.pcd 7.40978 0.000763132 0.0017694 6 142,35,34,24,22,14 100,12,19,17,14,13 0,0,0,0,0,0 446160 1047 1300 22 26 400 653 4 8 445113,859,143,33,9,0,2,0,1 0,18,4,0,0,0,0,0,0 0,212,143,33,9,0,2,0,1 0,0,4,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-33.pcd 8.29352 0.000785239 0.0018674 7 252,118,61,56,32,22,22 86,54,26,32,19,14,13 -1 451044 811 1300 -1 -1 400 889 -1 -1 450233,543,157,56,30,12,4,3,4,2 -1 0,132,157,56,30,12,4,3,4,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-34.pcd 6.9306 0.000657805 0.00125268 5 203,67,56,34,18 123,40,26,23,13 0,0,0,0,0 451044 1003 1300 15 20 400 697 4 9 450041,785,156,48,11,3 0,11,3,1,0,0 0,182,156,48,11,3 0,0,3,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-35.pcd 6.0001 0.000873472 0.00278238 4 287,58,51,44 147,27,19,24 0,0,0,0 427977 946 1300 30 55 400 754 12 37 427031,705,168,47,16,8,0,2 0,18,5,4,2,0,0,1 0,159,168,47,16,8,0,2 0,0,5,4,2,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-36.pcd 7.12988 0.000975901 0.00168413 6 196,74,51,24,22,16 120,38,41,20,13,12 0,0,0,0,0,0 470184 1011 1300 16 26 400 689 5 15 469173,792,168,36,12,2,1 0,11,2,1,2,0,0 0,181,168,36,12,2,1 0,0,2,1,2,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-38.pcd 7.66013 0.000862504 0.00269603 13 50,48,43,37,36,35,29,27,27,26,25,20,15 25,26,18,20,21,15,12,22,17,18,18,16,13 0,0,0,0,0,0,1,0,0,0,0,0,0 453024 977 1300 30 44 400 723 9 23 452047,743,162,57,13,2 0,21,6,1,2,0 0,166,162,57,13,2 0,0,6,1,2,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-38.pcd 7.06345 0.00113356 0.0018923 6 236,31,24,24,23,21 165,15,14,13,17,13 0,1,0,0,0,0 434214 1045 1300 28 39 400 655 11 22 433169,839,165,34,6,1 0,17,11,0,0,0 0,194,165,34,6,1 0,0,11,0,0,0
