obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/laptop1/features/rgb_0012_label_laptop1<pfhrgb_iss_2015-05-28_11-02-03.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__38033: 'http://tycho:38033/', host_tycho__40959: 'http://tycho:40959/',
    host_tycho__43255: 'http://tycho:43255/', host_tycho__51066: 'http://tycho:51066/',
    host_tycho__52334: 'http://tycho:52334/', host_tycho__58044: 'http://tycho:58044/'}
rosversion: '1.11.10

  '
run_id: 48279dc2-0792-11e5-8147-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-38.pcd 0.00356304 0.000659431 0.000344728 1 5 1 0 361152 135 220 1 3 135 220 1 3 361017,83,32,11,5,4 0,0,0,1,0,0 0,83,32,11,5,4 0,0,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-39.pcd 0.00372278 0.000306903 0.000503807 1 31 17 0 390080 131 220 5 14 131 220 5 14 389949,84,24,12,5,4,2 0,1,2,1,0,0,1 0,84,24,12,5,4,2 0,1,2,1,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-40.pcd 0.00865022 0.000964014 0.000586292 1 38 17 -1 386628 136 220 -1 -1 136 220 -1 -1 386492,88,29,10,3,4,2 -1 0,88,29,10,3,4,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-41.pcd 0.0115016 0.000578257 0.000802151 1 6 1 -1 368000 140 220 -1 -1 140 220 -1 -1 367860,92,31,10,2,2,3 -1 0,92,31,10,2,2,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-42.pcd 0.0109487 0.00059744 0.000784253 2 35,24 12,13 1,0 382800 129 220 12 35 129 220 12 35 382671,89,18,10,3,4,3,1,1 0,4,2,2,1,1,2,0,0 0,89,18,10,3,4,3,1,1 0,4,2,2,1,1,2,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-43.pcd 0.00751491 0.000523245 0.000496335 1 8 1 0 353856 124 220 4 6 124 220 4 6 353732,88,16,6,2,5,3,1,3 0,2,2,0,0,0,0,0,0 0,88,16,6,2,5,3,1,3 0,2,2,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-44.pcd 0.00802473 0.000549849 0.000854636 1 7 1 0 371200 132 220 1 4 132 220 1 4 371068,83,30,6,9,2,1,1 0,0,0,0,1,0,0,0 0,83,30,6,9,2,1,1 0,0,0,0,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-45.pcd 0.00802134 0.00064137 0.000505742 1 20 14 -1 424320 132 220 -1 -1 132 220 -1 -1 424188,88,22,7,9,5,1 -1 0,88,22,7,9,5,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-46.pcd 0.00259683 0.000292044 0.000230077 2 36,30 14,20 -1 374912 115 220 -1 -1 115 220 -1 -1 374797,66,18,17,7,5,1,0,1 -1 0,66,18,17,7,5,1,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-46.pcd 0.00498714 0.000618395 0.000198901 1 9 1 0 413952 125 220 7 8 125 220 7 8 413827,83,19,9,7,2,3,1,0,1 0,6,1,0,0,0,0,0,0,0 0,83,19,9,7,2,3,1,0,1 0,6,1,0,0,0,0,0,0,0
