obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/laptop1/features/rgb_0012_label_laptop1<pfh_uniform_2015-05-28_10-59-51.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33124: 'http://tycho:33124/', host_tycho__37116: 'http://tycho:37116/',
    host_tycho__44598: 'http://tycho:44598/'}
rosversion: '1.11.10

  '
run_id: 959f3a56-078d-11e5-ae70-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_uniform_2015-05-18_22-00-52.pcd 0.0591346 0.000936882 0.00187148 8 82,54,52,49,48,36,29,22 43,28,20,21,24,18,21,13 0,0,0,0,0,0,0,1 453288 718 1100 15 22 400 782 10 17 452570,476,152,58,21,7,2,1,1 0,9,5,1,0,0,0,0,0 0,158,152,58,21,7,2,1,1 0,4,5,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_uniform_2015-05-18_22-00-57.pcd 0.0599113 0.000780057 0.00178037 6 156,148,28,25,21,20 66,83,21,15,14,15 0,0,0,0,1,0 424446 740 1100 22 28 400 760 12 18 423706,506,154,51,20,3,4,2 0,18,3,0,1,0,0,0 0,166,154,51,20,3,4,2 0,8,3,0,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_uniform_2015-05-18_22-01-02.pcd 0.08806 0.000817629 0.00291398 6 116,93,43,42,36,23 80,52,23,15,25,16 -1 407880 790 1100 -1 -1 400 710 -1 -1 407090,572,154,46,12,4,0,2 -1 0,182,154,46,12,4,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_uniform_2015-05-18_22-01-08.pcd 0.0685279 0.000830451 0.0017512 9 93,80,50,49,45,42,35,30,19 57,35,24,27,25,19,22,14,15 -1 461736 729 1100 -1 -1 400 771 -1 -1 461007,485,162,59,12,5,3,2,0,1 -1 0,156,162,59,12,5,3,2,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_uniform_2015-05-18_22-01-13.pcd 0.0598361 0.000762077 0.00228172 8 182,91,48,36,35,33,27,19 97,44,23,18,18,23,17,14 0,0,1,0,0,0,0,0 404481 753 1100 30 51 400 747 18 39 403728,516,164,49,14,7,3 0,16,9,3,2,0,0 0,163,164,49,14,7,3 0,4,9,3,2,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_uniform_2015-05-18_22-01-18.pcd 0.0280685 0.000367408 0.000796751 7 120,79,50,44,42,26,25 71,38,34,15,29,15,14 0,0,0,0,0,0,0 424710 707 1100 8 11 400 793 4 7 424003,470,150,48,20,10,7,2 0,6,1,1,0,0,0,0 0,163,150,48,20,10,7,2 0,2,1,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_uniform_2015-05-18_22-01-23.pcd 0.0581844 0.000761462 0.0016414 6 141,70,58,53,29,26 74,30,19,26,20,13 0,0,0,0,0,0 460845 677 1100 4 5 400 823 1 2 460168,435,153,46,21,10,6,0,5,0,0,1 0,3,1,0,0,0,0,0,0,0,0,0 0,158,153,46,21,10,6,0,5,0,0,1 0,0,1,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_uniform_2015-05-18_22-01-28.pcd 0.0840733 0.00106965 0.00102632 7 148,50,47,30,25,22,13 94,18,24,16,14,15,12 -1 446160 767 1100 -1 -1 400 733 -1 -1 445393,540,155,49,14,7,2 -1 0,173,155,49,14,7,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_uniform_2015-05-18_22-01-33.pcd 0.0671296 0.000607305 0.00164329 6 172,75,48,41,28,27 92,33,22,23,14,19 -1 451044 731 1100 -1 -1 400 769 -1 -1 450313,485,172,42,22,6,3,0,0,1 -1 0,154,172,42,22,6,3,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_uniform_2015-05-18_22-01-39.pcd 0.0562718 0.000835737 0.00172385 6 94,57,52,47,41,29 68,33,27,21,23,15 0,0,0,0,0,0 451044 763 1100 11 17 400 737 4 10 450281,541,145,52,18,3,2,2 0,7,3,0,1,0,0,0 0,178,145,52,18,3,2,2 0,0,3,0,1,0,0,0
