obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/trash_bin/features/rgb_0000_label_trash_bin<fpfh_iss_2015-05-28_11-01-29.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__48685: 'http://tycho:48685/', host_tycho__48803: 'http://tycho:48803/',
    host_tycho__51990: 'http://tycho:51990/', host_tycho__55250: 'http://tycho:55250/',
    host_tycho__59571: 'http://tycho:59571/'}
rosversion: '1.11.10

  '
run_id: b088cffe-077d-11e5-a4fe-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_iss_2015-05-18_22-47-17.pcd 0.000879028 0.00237584 0.000655843 1 2 1 -1 361152 84 90 -1 -1 84 90 -1 -1 361068,78,6 -1 0,78,6 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_iss_2015-05-18_22-47-18.pcd 0.000899481 0.000572293 0.000557567 1 2 1 -1 390080 84 90 -1 -1 84 90 -1 -1 389996,78,6 -1 0,78,6 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_iss_2015-05-18_22-47-19.pcd 0.00128843 0.000611522 0.000460891 1 2 1 -1 386628 87 90 -1 -1 87 90 -1 -1 386541,84,3 -1 0,84,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_iss_2015-05-18_22-47-20.pcd 0.000893648 0.00104969 0.000538851 1 3 1 -1 368000 84 90 -1 -1 84 90 -1 -1 367916,79,4,1 -1 0,79,4,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-21.pcd 0.00104813 0.00109817 0.000524275 1 2 1 -1 382800 85 90 -1 -1 85 90 -1 -1 382715,80,5 -1 0,80,5 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-22.pcd 0.00108714 0.000484374 0.000530435 1 3 1 -1 353856 84 90 -1 -1 84 90 -1 -1 353772,79,4,1 -1 0,79,4,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-23.pcd 0.000405372 0.000298333 0.000190904 1 2 1 0 371200 84 90 0 0 84 90 0 0 371116,78,6 0,0,0 0,78,6 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-24.pcd 0.000322939 0.000322935 0.000192193 1 2 1 0 424320 82 90 1 1 82 90 1 1 424238,74,8 0,1,0 0,74,8 0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_iss_2015-05-18_22-47-25.pcd 0.00030531 0.000302606 0.000250994 1 2 1 -1 374912 82 90 -1 -1 82 90 -1 -1 374830,74,8 -1 0,74,8 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-25.pcd 0.000384344 0.000348687 0.000256738 1 2 1 0 413952 81 90 1 2 81 90 1 2 413871,72,9 0,0,1 0,72,9 0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_iss_2015-05-18_22-47-26.pcd 0.000386375 0.000554097 0.000191141 1 3 1 -1 347136 83 90 -1 -1 83 90 -1 -1 347053,77,5,1 -1 0,77,5,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_iss_2015-05-18_22-47-27.pcd 0.000390155 0.000511437 0.000310519 1 3 1 0 442784 79 90 0 0 79 90 0 0 442705,69,9,1 0,0,0,0 0,69,9,1 0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-28.pcd 0.000837023 0.000897399 0.000325481 1 2 1 0 389961 83 90 0 0 83 90 0 0 389878,76,7 0,0,0 0,76,7 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-29.pcd 0.000700904 0.000504954 0.00037382 1 3 1 0 368000 84 90 3 3 84 90 3 3 367916,79,4,1 0,3,0,0 0,79,4,1 0,3,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<fpfh_iss_2015-05-18_22-47-29.pcd 0.000801697 0.000635039 0.000355475 1 2 1 0 392704 80 90 2 2 80 90 2 2 392624,70,10 0,2,0 0,70,10 0,2,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<fpfh_iss_2015-05-18_22-47-31.pcd 0.000867395 0.000632513 0.000347999 1 2 1 0 374912 82 90 1 2 82 90 1 2 374830,74,8 0,0,1 0,74,8 0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-31.pcd 0.000864913 0.0008473 0.000532864 1 3 1 -1 417252 79 90 -1 -1 79 90 -1 -1 417173,70,7,2 -1 0,70,7,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-32.pcd 0.00114324 0.000837801 0.000493949 1 2 1 0 375360 82 90 1 1 82 90 1 1 375278,74,8 0,1,0 0,74,8 0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-33.pcd 0.000936492 0.000856624 0.000560319 1 2 1 0 377600 82 90 2 2 82 90 2 2 377518,74,8 0,2,0 0,74,8 0,2,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<fpfh_iss_2015-05-18_22-47-34.pcd 0.00101371 0.00086924 0.000506778 1 2 1 0 364800 85 90 0 0 85 90 0 0 364715,80,5 0,0,0 0,80,5 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-35.pcd 0.000860797 0.000959451 0.000325036 1 3 1 1 371200 84 90 2 4 84 90 2 4 371116,79,4,1 0,1,0,1 0,79,4,1 0,1,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-36.pcd 0.000812535 0.000525874 0.000448266 1 2 1 0 374912 86 90 1 1 86 90 1 1 374826,82,4 0,1,0 0,82,4 0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<fpfh_iss_2015-05-18_22-47-37.pcd 0.000660269 0.000397394 0.00033393 1 3 1 0 363776 83 90 1 2 83 90 1 2 363693,77,5,1 0,0,1,0 0,77,5,1 0,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-38.pcd 0.000821695 0.000590999 0.000364088 1 2 1 0 398475 84 90 0 0 84 90 0 0 398391,78,6 0,0,0 0,78,6 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-39.pcd 0.000722721 0.000514165 0.000362193 1 2 1 0 364800 84 90 2 4 84 90 2 4 364716,78,6 0,0,2 0,78,6 0,0,2
