obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/trash_bin/features/rgb_0000_label_trash_bin<shot_iss_2015-05-28_11-00-48.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__51990: 'http://tycho:51990/', host_tycho__59571: 'http://tycho:59571/'}
rosversion: '1.11.10

  '
run_id: b088cffe-077d-11e5-a4fe-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_iss_2015-05-18_22-24-43.pcd 0.011758 0.00124843 0.000427639 1 2 1 -1 361152 76 80 -1 -1 76 80 -1 -1 361076,72,4 -1 0,72,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_iss_2015-05-18_22-24-47.pcd 0.0128781 0.000506644 0.000569073 1 2 1 -1 390080 79 80 -1 -1 79 80 -1 -1 390001,78,1 -1 0,78,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_iss_2015-05-18_22-24-52.pcd 0.0143205 0.000583416 0.000322992 1 1 1 -1 386628 80 80 -1 -1 80 80 -1 -1 386548,80 -1 0,80 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_iss_2015-05-18_22-24-57.pcd 0.0128579 0.000457159 0.00035613 1 2 1 -1 368000 79 80 -1 -1 79 80 -1 -1 367921,78,1 -1 0,78,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_iss_2015-05-18_22-25-02.pcd 0.0124846 0.000653597 0.000343929 1 2 1 -1 382800 78 80 -1 -1 78 80 -1 -1 382722,76,2 -1 0,76,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_iss_2015-05-18_22-25-07.pcd 0.0117268 0.000581123 0.000478056 1 2 1 -1 353856 76 80 -1 -1 76 80 -1 -1 353780,72,4 -1 0,72,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_iss_2015-05-18_22-25-12.pcd 0.0122985 0.000586786 0.000469423 1 2 1 0 371200 79 80 1 1 79 80 1 1 371121,78,1 0,1,0 0,78,1 0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_iss_2015-05-18_22-25-17.pcd 0.0123837 0.000595289 0.000300872 1 2 1 0 424320 78 80 0 0 78 80 0 0 424242,76,2 0,0,0 0,76,2 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_iss_2015-05-18_22-25-21.pcd 0.015712 0.000918525 0.000441423 1 2 1 -1 374912 77 80 -1 -1 77 80 -1 -1 374835,74,3 -1 0,74,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_iss_2015-05-18_22-25-26.pcd 0.0173453 0.000986705 0.00048428 1 2 1 0 413952 79 80 0 0 79 80 0 0 413873,78,1 0,0,0 0,78,1 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_iss_2015-05-18_22-25-31.pcd 0.0152545 0.000854927 0.000449608 1 2 1 -1 347136 75 80 -1 -1 75 80 -1 -1 347061,70,5 -1 0,70,5 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shot_iss_2015-05-18_22-25-35.pcd 0.012869 0.000578491 0.000298841 1 2 1 0 442784 79 80 0 0 79 80 0 0 442705,78,1 0,0,0 0,78,1 0,0,0
