obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/trash_bin/features/rgb_0000_label_trash_bin<pfhrgb_uniform_2015-05-28_11-00-15.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__34312: 'http://tycho:34312/', host_tycho__42536: 'http://tycho:42536/',
    host_tycho__49579: 'http://tycho:49579/', host_tycho__54264: 'http://tycho:54264/'}
rosversion: '1.11.10

  '
run_id: 08710aa4-077b-11e5-bbba-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-12.pcd 0.24774 0.000900193 0.00183741 7 84,57,49,30,22,22,19 30,29,30,25,18,12,12 -1 453288 585 950 -1 -1 400 765 -1 -1 452703,383,125,38,20,9,3,2,1,2,2 -1 0,198,125,38,20,9,3,2,1,2,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-19.pcd 0.236209 0.000918013 0.0017027 8 75,66,48,47,44,38,30,12 29,37,23,23,26,21,20,12 -1 424446 600 950 -1 -1 400 750 -1 -1 423846,388,132,45,22,9,1,1,1,1 -1 0,188,132,45,22,9,1,1,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-27.pcd 0.262664 0.00123275 0.00227328 10 106,50,42,38,37,31,29,23,18,17 50,25,14,14,15,20,18,15,15,12 -1 407880 586 950 -1 -1 400 764 -1 -1 407294,398,112,40,17,7,3,1,4,1,1,0,0,0,1,1 -1 0,212,112,40,17,7,3,1,4,1,1,0,0,0,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-37.pcd 0.250451 0.00123004 0.00181154 7 135,48,45,40,33,31,15 82,21,18,16,21,19,13 -1 461736 592 950 -1 -1 400 758 -1 -1 461144,397,115,47,14,7,4,3,1,2,2 -1 0,205,115,47,14,7,4,3,1,2,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-46.pcd 0.235604 0.000830682 0.00211953 8 134,101,47,43,27,26,22,22 46,57,30,26,14,14,20,14 -1 404481 629 950 -1 -1 400 721 -1 -1 403852,429,139,37,11,6,3,1,2,0,0,0,0,0,0,0,0,1 -1 0,200,139,37,11,6,3,1,2,0,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-54.pcd 0.227564 0.000765668 0.00162761 6 83,68,67,30,29,18 26,40,39,16,13,15 -1 424710 567 950 -1 -1 400 783 -1 -1 424143,355,136,42,12,12,3,0,3,2,0,0,0,0,1,1 -1 0,188,136,42,12,12,3,0,3,2,0,0,0,0,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-03.pcd 0.364805 0.00109148 0.00251738 6 110,43,34,27,26,22 28,27,13,14,13,18 0,0,0,0,0,0 460845 556 950 5 7 400 794 2 4 460289,353,129,36,14,7,6,4,2,1,2,0,0,1,0,0,0,0,1 0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,197,129,36,14,7,6,4,2,1,2,0,0,1,0,0,0,0,1 0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-11.pcd 0.237844 0.000789957 0.00168292 9 42,38,36,33,29,28,25,20,17 22,19,24,20,16,16,22,14,14 0,0,0,0,0,0,0,0,0 446160 644 950 7 9 400 706 1 3 445516,460,126,28,13,7,6,1,3 0,6,0,1,0,0,0,0,0 0,216,126,28,13,7,6,1,3 0,0,0,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-20.pcd 0.165081 0.000755832 0.00184091 7 193,148,123,80,74,73,22 103,64,22,25,42,37,15 -1 451044 441 950 -1 -1 400 909 -1 -1 450603,235,97,33,29,21,10,5,3,5,2,0,0,0,0,0,0,1 -1 0,194,97,33,29,21,10,5,3,5,2,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-28.pcd 0.223279 0.000809324 0.00165513 11 75,47,43,37,26,25,25,24,23,20,19 38,29,18,20,15,14,13,13,20,12,13 0,0,0,0,0,0,0,0,0,0,0 451044 632 950 15 18 400 718 1 4 450412,431,139,36,14,6,3,1,0,1,0,0,0,1 0,14,0,0,1,0,0,0,0,0,0,0,0,0 0,199,139,36,14,6,3,1,0,1,0,0,0,1 0,0,0,0,1,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-37.pcd 0.236283 0.000802324 0.00214323 6 100,95,90,33,23,23 38,35,33,13,18,15 -1 427977 543 950 -1 -1 400 807 -1 -1 427434,328,126,51,14,6,11,3,1,2,0,0,0,0,0,0,0,0,1 -1 0,185,126,51,14,6,11,3,1,2,0,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-44.pcd 0.259827 0.000908382 0.00163743 10 105,49,37,28,28,27,23,21,16,16 53,25,12,17,14,17,13,18,12,12 0,0,0,0,0,0,0,0,0,0 470184 594 950 7 14 400 756 6 13 469590,390,129,41,19,6,3,1,0,2,3 0,1,5,1,0,0,0,0,0,0,0 0,196,129,41,19,6,3,1,0,2,3 0,0,5,1,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-53.pcd 0.324946 0.000753968 0.00247193 7 130,56,54,49,41,29,23 33,29,37,18,19,17,13 0,0,0,0,0,0,0 453024 570 950 2 3 400 780 1 2 452454,378,136,17,14,6,4,3,4,1,5,1,0,0,0,0,1 0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,208,136,17,14,6,4,3,4,1,5,1,0,0,0,0,1 0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-59.pcd 0.354877 0.000767572 0.00256465 5 155,55,23,20,16 101,20,12,15,12 0,0,0,0,0 434214 610 950 10 13 400 740 3 6 433604,408,129,45,16,3,4,2,2,0,0,0,0,0,0,0,1 0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,198,129,45,16,3,4,2,2,0,0,0,0,0,0,0,1 0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-14-09.pcd 0.252813 0.000835105 0.00221065 8 38,34,29,25,20,17,17,16 18,25,16,19,15,16,13,12 0,0,0,0,0,0,0,0 434313 671 950 15 20 400 679 5 10 433642,484,126,40,14,5,1,1 0,10,5,0,0,0,0,0 0,213,126,40,14,5,1,1 0,0,5,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-14-19.pcd 0.253205 0.000894787 0.00164974 6 64,57,57,42,32,28 33,37,25,12,23,21 0,0,0,0,0,0 462264 622 950 7 11 400 728 2 6 461642,421,133,35,21,6,4,1,0,0,0,0,0,1 0,5,1,0,1,0,0,0,0,0,0,0,0,0 0,199,133,35,21,6,4,1,0,0,0,0,0,1 0,0,1,0,1,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-14-29.pcd 0.234934 0.000858793 0.001749 7 211,85,29,29,27,21,20 75,51,16,13,19,17,15 -1 473088 609 950 -1 -1 400 741 -1 -1 472479,417,128,30,14,9,6,0,3,0,1,0,0,0,0,0,1 -1 0,208,128,30,14,9,6,0,3,0,1,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-14-37.pcd 0.264259 0.000954124 0.00166146 9 85,37,34,31,24,24,23,21,21 29,22,18,21,18,13,17,18,14 0,0,0,0,0,0,0,0,0 517902 651 950 8 8 400 699 0 0 517251,462,133,28,16,5,3,2,1,1 0,8,0,0,0,0,0,0,0,0 0,211,133,28,16,5,3,2,1,1 0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-14-47.pcd 0.239149 0.00127082 0.00165165 5 75,72,52,47,46 35,38,31,22,15 0,0,0,0,0 446160 578 950 5 6 400 772 1 2 445582,388,112,41,21,3,1,5,3,0,0,1,2,0,0,0,1 0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,210,112,41,21,3,1,5,3,0,0,1,2,0,0,0,1 0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-14-56.pcd 0.322994 0.000844814 0.00270722 9 69,59,58,53,44,38,29,22,19 31,43,29,18,14,25,12,13,16 0,0,0,0,0,0,0,0,0 453024 564 950 6 7 400 786 1 2 452460,361,121,42,23,4,6,1,1,2,0,1,0,1,0,0,1 0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,197,121,42,23,4,6,1,1,2,0,1,0,1,0,0,1 0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-15-06.pcd 0.348097 0.000744062 0.00264111 8 65,63,62,46,38,29,27,23 39,16,12,16,19,18,17,14 0,0,0,0,0,0,0,0 419265 548 950 7 8 400 802 1 2 418717,360,110,34,18,11,6,2,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1 0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,212,110,34,18,11,6,2,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1 0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
