obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_uniform,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/trash_bin/features/rgb_0000_label_trash_bin<shotcolor_uniform_2015-05-28_10-59-15.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__43660: 'http://tycho:43660/', host_tycho__45167: 'http://tycho:45167/'}
rosversion: '1.11.10

  '
run_id: 2d6eccbc-0779-11e5-8a10-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-25.pcd 5.04166 0.00165806 0.00180911 6 71,55,49,41,35,20 56,39,34,33,26,15 -1 453288 775 920 -1 -1 400 545 -1 -1 452513,654,100,18,3 -1 0,279,100,18,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-25.pcd 5.74948 0.000794787 0.00173433 6 129,68,27,26,22,15 112,48,23,16,22,12 -1 424446 806 920 -1 -1 400 514 -1 -1 423640,714,74,16,0,2 -1 0,308,74,16,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-27.pcd 8.36289 0.000743631 0.00299146 10 81,57,33,32,29,26,20,16,15,14 69,37,31,29,23,21,15,14,14,13 -1 407880 818 920 -1 -1 400 502 -1 -1 407062,728,79,10,1 -1 0,310,79,10,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-28.pcd 6.86939 0.000759761 0.00174635 8 88,59,36,28,28,18,17,14 75,42,30,25,20,14,17,12 -1 461736 799 920 -1 -1 400 521 -1 -1 460937,705,74,15,3,2 -1 0,306,74,15,3,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-29.pcd 4.23985 0.000859433 0.00170759 6 79,36,30,29,26,26 68,29,29,21,22,22 -1 404481 794 920 -1 -1 400 526 -1 -1 403687,694,81,14,4,0,1 -1 0,300,81,14,4,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-30.pcd 4.60098 0.000904896 0.00165346 6 162,37,36,24,22,17 123,27,22,21,17,14 -1 424710 787 920 -1 -1 400 533 -1 -1 423923,683,81,18,4,1 -1 0,296,81,18,4,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-31.pcd 4.56517 0.000880585 0.00177916 5 150,62,41,37,17 115,38,26,31,13 0,0,0,0,0 460845 772 920 4 4 400 548 0 0 460073,652,94,24,2 0,4,0,0,0 0,280,94,24,2 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-32.pcd 4.79208 0.000390818 0.000815944 6 133,40,37,24,22,16 118,31,32,15,19,16 0,0,0,0,0,0 446160 816 920 10 10 400 504 0 0 445344,727,77,9,3 0,10,0,0,0 0,311,77,9,3 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-33.pcd 6.08233 0.00107772 0.00252446 6 73,44,42,36,36,27 43,34,31,34,24,22 -1 451044 753 920 -1 -1 400 567 -1 -1 450291,622,104,20,5,2 -1 0,269,104,20,5,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-34.pcd 4.46692 0.000785069 0.00180932 7 99,76,44,29,21,20,19 79,48,37,21,16,18,15 0,0,0,0,0,0,0 451044 789 920 4 5 400 531 1 2 450255,683,86,15,5 0,3,1,0,0 0,294,86,15,5 0,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-35.pcd 4.23206 0.000767689 0.00183744 6 178,32,29,29,27,26 139,25,22,22,19,17 -1 427977 786 920 -1 -1 400 534 -1 -1 427191,680,81,22,3 -1 0,294,81,22,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-36.pcd 5.50899 0.00111912 0.00270703 7 114,73,57,37,18,17,16 93,57,41,24,15,16,16 0,0,0,0,0,0,0 470184 775 920 5 7 400 545 2 4 469409,659,92,20,3,1 0,3,2,0,0,0 0,284,92,20,3,1 0,0,2,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-38.pcd 3.34984 0.000523217 0.000738957 9 94,62,46,31,27,19,18,16,15 75,43,39,21,18,18,18,14,15 0,0,0,0,0,0,0,0,0 453024 787 920 6 6 400 533 0 0 452237,679,87,17,4 0,6,0,0,0 0,292,87,17,4 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-38.pcd 4.61354 0.000423831 0.000926129 4 161,57,18,16 131,42,13,12 0,0,0,0 434214 776 920 6 9 400 544 3 6 433438,659,93,21,3 0,3,3,0,0 0,283,93,21,3 0,0,3,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-39.pcd 5.87674 0.000825621 0.00165164 5 88,53,49,24,20 69,43,39,20,16 0,0,0,0,0 434313 813 920 9 9 400 507 0 0 433500,722,78,10,3 0,9,0,0,0 0,309,78,10,3 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-41.pcd 4.3187 0.00108414 0.00184714 7 70,54,38,38,32,21,19 55,39,32,26,30,17,13 0,0,0,0,0,0,0 462264 789 920 4 5 400 531 1 2 461475,681,92,9,7 0,3,1,0,0 0,292,92,9,7 0,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-42.pcd 4.67456 0.000401978 0.000763216 5 141,55,23,16,15 116,34,19,16,12 -1 473088 789 920 -1 -1 400 531 -1 -1 472299,678,96,11,3,1 -1 0,289,96,11,3,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-43.pcd 6.41697 0.00111736 0.00259183 7 60,50,48,29,22,19,16 45,43,42,26,15,13,12 0,0,0,0,0,0,0 517902 804 920 8 8 400 516 0 0 517098,715,70,15,1,2,1 0,8,0,0,0,0,0 0,311,70,15,1,2,1 0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-44.pcd 4.79488 0.000878641 0.0029436 7 114,64,43,41,31,20,18 89,46,36,32,21,17,13 0,0,0,0,0,0,0 446160 771 920 10 13 400 549 3 6 445389,644,107,18,2 0,7,3,0,0 0,273,107,18,2 0,0,3,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-45.pcd 5.73019 0.00100684 0.00307265 6 145,44,35,34,23,21 116,33,24,24,23,19 0,0,0,0,0,0 453024 794 920 11 11 400 526 1 1 452230,691,87,11,3,2 0,11,0,0,0,0 0,297,87,11,3,2 0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-47.pcd 4.98734 0.00086664 0.00230058 7 165,42,34,31,26,19,15 129,31,28,21,16,16,13 0,0,0,0,0,0,0 419265 783 920 10 12 400 537 2 4 418482,674,91,11,5,1,1 0,8,2,0,0,0,0 0,291,91,11,5,1,1 0,0,2,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-48.pcd 4.94913 0.000770271 0.00196191 6 137,51,33,27,24,21 115,43,23,18,18,12 0,0,0,0,0,0 463320 782 920 6 7 400 538 1 2 462538,667,96,15,4 0,5,1,0,0 0,285,96,15,4 0,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<shotcolor_uniform_2015-05-18_21-54-49.pcd 4.69047 0.000723386 0.00271531 7 135,51,35,33,20,18,17 112,41,25,24,12,13,15 0,0,0,0,0,0,0 407286 782 920 6 7 400 538 1 2 406504,666,100,10,6 0,5,1,0,0 0,284,100,10,6 0,0,1,0,0
