obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<pfh_susan_2015-05-26_15-09-11.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__46587: 'http://tycho:46587/'}
rosversion: '1.11.10

  '
run_id: 710c8c28-0780-11e5-b880-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_susan_2015-05-22_05-32-06.pcd 0.0060975 0.00155485 0.00046198 1 10 1 0 367488 99 160 7 12 99 160 7 12 367389,63,27,3,1,4,0,0,0,0,1 0,5,1,0,0,1,0,0,0,0,0 0,63,27,3,1,4,0,0,0,0,1 0,5,1,0,0,1,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_susan_2015-05-22_05-32-21.pcd 0.00250284 0.00057237 0.000343451 1 10 1 1 405768 95 160 5 20 95 160 5 20 405673,65,20,2,1,4,1,0,0,1,1 0,1,2,0,0,1,0,0,0,0,1 0,65,20,2,1,4,1,0,0,1,1 0,1,2,0,0,1,0,0,0,0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_susan_2015-05-22_05-32-32.pcd 0.00233366 0.000577277 0.000500651 1 8 1 0 350526 98 160 4 16 98 160 4 16 350428,66,21,2,4,3,0,1,1 0,1,0,1,0,1,0,1,0 0,66,21,2,4,3,0,1,1 0,1,0,1,0,1,0,1,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_susan_2015-05-22_05-32-50.pcd 0.00437807 0.000575691 0.000383566 1 6 1 0 380358 97 160 5 8 97 160 5 8 380261,60,25,4,3,4,1 0,2,3,0,0,0,0 0,60,25,4,3,4,1 0,2,3,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_susan_2015-05-22_05-33-18.pcd 0.00241683 0.000586007 0.000395509 1 15 1 0 385152 97 160 2 6 97 160 2 6 385055,71,18,1,0,4,0,1,1,0,0,0,0,0,0,1 0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0 0,71,18,1,0,4,0,1,1,0,0,0,0,0,0,1 0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_susan_2015-05-22_05-33-30.pcd 0.00196495 0.000436739 0.000542489 1 19 1 0 375144 93 160 2 4 93 160 2 4 375051,67,16,3,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1 0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,67,16,3,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1 0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_susan_2015-05-22_05-33-44.pcd 0.0019535 0.000483365 0.000402394 1 13 1 0 411840 97 160 0 0 97 160 0 0 411743,72,14,2,2,4,1,1,0,0,0,0,0,1 0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,72,14,2,2,4,1,1,0,0,0,0,0,1 0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_susan_2015-05-22_05-34-06.pcd 0.0028903 0.000568504 0.000675006 1 8 1 0 357984 101 160 0 0 101 160 0 0 357883,70,21,1,3,5,0,0,1 0,0,0,0,0,0,0,0,0 0,70,21,1,3,5,0,0,1 0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_susan_2015-05-22_05-34-20.pcd 0.00226673 0.000629429 0.000407643 1 10 1 -1 396627 89 160 -1 -1 89 160 -1 -1 396538,56,18,5,3,5,1,0,0,0,1 -1 0,56,18,5,3,5,1,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_susan_2015-05-22_05-34-24.pcd 0.00222983 0.000587084 0.000373145 1 13 1 0 393294 98 160 2 3 98 160 2 3 393196,73,9,11,2,1,0,0,0,0,1,0,0,1 0,1,1,0,0,0,0,0,0,0,0,0,0,0 0,73,9,11,2,1,0,0,0,0,1,0,0,1 0,1,1,0,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfh_susan_2015-05-22_05-34-35.pcd 0.00245925 0.000567209 0.000378919 1 10 1 0 375144 101 160 3 3 101 160 3 3 375043,75,15,1,3,6,0,0,0,0,1 0,3,0,0,0,0,0,0,0,0,0 0,75,15,1,3,6,0,0,0,0,1 0,3,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<pfh_susan_2015-05-22_05-34-55.pcd 0.0021198 0.000557931 0.000453878 1 6 1 0 392700 101 160 4 12 101 160 4 12 392599,71,18,2,4,5,1 0,1,1,0,1,1,0 0,71,18,2,4,5,1 0,1,1,0,1,1,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<pfh_susan_2015-05-22_05-35-07.pcd 0.00288063 0.000479637 0.000410076 1 9 1 0 401082 96 160 0 0 96 160 0 0 400986,62,22,2,6,3,0,0,0,1 0,0,0,0,0,0,0,0,0,0 0,62,22,2,6,3,0,0,0,1 0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<pfh_susan_2015-05-22_05-35-30.pcd 0.00187241 0.000446014 0.000334635 1 9 1 0 374400 90 160 1 1 90 160 1 1 374310,58,22,1,1,4,1,1,0,2 0,1,0,0,0,0,0,0,0,0 0,58,22,1,1,4,1,1,0,2 0,1,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<pfh_susan_2015-05-22_05-35-56.pcd 0.00329693 0.000592936 0.000544046 1 11 1 0 408408 94 160 1 1 94 160 1 1 408314,60,24,2,2,4,0,1,0,0,0,1 0,1,0,0,0,0,0,0,0,0,0,0 0,60,24,2,2,4,0,1,0,0,0,1 0,1,0,0,0,0,0,0,0,0,0,0
