obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<shot_susan_2015-05-26_15-07-46.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__47302: 'http://tycho:47302/'}
rosversion: '1.11.10

  '
run_id: f1dbd9c2-077f-11e5-9748-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_susan_2015-05-22_05-05-12.pcd 0.0548063 0.00145628 0.00052359 1 6 1 0 367488 93 140 11 14 93 140 11 14 367395,68,13,7,2,1,2 0,9,1,1,0,0,0 0,68,13,7,2,1,2 0,9,1,1,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_susan_2015-05-22_05-05-26.pcd 0.0517711 0.000620489 0.000406133 1 7 1 0 405768 95 140 3 7 95 140 3 7 405673,78,5,4,3,3,1,1 0,2,0,0,0,1,0,0 0,78,5,4,3,3,1,1 0,2,0,0,0,1,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_susan_2015-05-22_05-05-46.pcd 0.0519862 0.000420225 0.000379503 1 6 1 0 350526 97 140 5 7 97 140 5 7 350429,74,14,2,4,2,1 0,3,2,0,0,0,0 0,74,14,2,4,2,1 0,3,2,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_susan_2015-05-22_05-06-06.pcd 0.0542967 0.000442652 0.000377391 1 9 1 0 380358 99 140 5 6 99 140 5 6 380259,79,10,4,5,0,0,0,0,1 0,4,1,0,0,0,0,0,0,0 0,79,10,4,5,0,0,0,0,1 0,4,1,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_susan_2015-05-22_05-06-30.pcd 0.0559717 0.000595185 0.000410791 1 6 1 0 385152 103 140 3 4 103 140 3 4 385049,80,15,5,1,1,1 0,2,1,0,0,0,0 0,80,15,5,1,1,1 0,2,1,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_susan_2015-05-22_05-06-52.pcd 0.0496389 0.0015236 0.000415502 1 6 1 0 375144 98 140 3 4 98 140 3 4 375046,74,16,3,2,1,2 0,2,1,0,0,0,0 0,74,16,3,2,1,2 0,2,1,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_susan_2015-05-22_05-07-07.pcd 0.0538046 0.000689262 0.000558502 1 8 1 0 411840 92 140 1 1 92 140 1 1 411748,68,13,6,2,1,0,1,1 0,1,0,0,0,0,0,0,0 0,68,13,6,2,1,0,1,1 0,1,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_susan_2015-05-22_05-07-16.pcd 0.0513733 0.000607693 0.00041223 1 5 1 0 357984 97 140 0 0 97 140 0 0 357887,75,9,8,2,3 0,0,0,0,0,0 0,75,9,8,2,3 0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_susan_2015-05-22_05-07-25.pcd 0.0254274 0.00149789 0.000530084 1 6 1 -1 396627 97 140 -1 -1 97 140 -1 -1 396530,77,8,5,4,2,1 -1 0,77,8,5,4,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_susan_2015-05-22_05-07-43.pcd 0.0508109 0.000982386 0.000368862 1 5 1 0 393294 98 140 5 7 98 140 5 7 393196,75,11,8,1,3 0,4,0,1,0,0 0,75,11,8,1,3 0,4,0,1,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_susan_2015-05-22_05-07-51.pcd 0.0583023 0.000969203 0.000511485 1 8 1 0 375144 95 140 5 6 95 140 5 6 375049,75,5,10,3,1,0,0,1 0,4,1,0,0,0,0,0,0 0,75,5,10,3,1,0,0,1 0,4,1,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shot_susan_2015-05-22_05-08-10.pcd 0.0548857 0.000591513 0.000385416 1 11 1 0 392700 94 140 1 1 94 140 1 1 392606,78,8,0,2,3,2,0,0,0,0,1 0,1,0,0,0,0,0,0,0,0,0,0 0,78,8,0,2,3,2,0,0,0,0,1 0,1,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shot_susan_2015-05-22_05-08-19.pcd 0.0528373 0.000627141 0.000515982 1 7 1 0 401082 101 140 1 4 101 140 1 4 400981,78,15,4,2,1,0,1 0,0,0,0,1,0,0,0 0,78,15,4,2,1,0,1 0,0,0,0,1,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shot_susan_2015-05-22_05-08-38.pcd 0.0555482 0.000612471 0.000614178 1 5 1 0 374400 100 140 1 1 100 140 1 1 374300,78,11,6,3,2 0,1,0,0,0,0 0,78,11,6,3,2 0,1,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shot_susan_2015-05-22_05-08-55.pcd 0.058363 0.000644419 0.000463597 1 5 1 0 408408 99 140 1 4 99 140 1 4 408309,79,8,5,5,2 0,0,0,0,1,0 0,79,8,5,5,2 0,0,0,0,1,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shot_susan_2015-05-22_05-09-17.pcd 0.0617852 0.000612131 0.000404664 1 7 1 0 390456 98 140 5 12 98 140 5 12 390358,81,8,2,3,1,1,2 0,3,1,0,0,0,0,1 0,81,8,2,3,1,1,2 0,3,1,0,0,0,0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shot_susan_2015-05-22_05-09-39.pcd 0.0519027 0.00157225 0.000595685 1 6 1 0 424710 92 140 3 3 92 140 3 3 424618,69,11,5,3,2,2 0,3,0,0,0,0,0 0,69,11,5,3,2,2 0,3,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shot_susan_2015-05-22_05-09-57.pcd 0.0545471 0.000655234 0.000421535 1 6 1 1 398112 103 140 7 14 103 140 7 14 398009,84,8,6,4,0,1 0,5,0,1,0,0,1 0,84,8,6,4,0,1 0,5,0,1,0,0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<shot_susan_2015-05-22_05-10-11.pcd 0.0492984 0.000616975 0.00049753 1 5 1 0 384087 94 140 3 3 94 140 3 3 383993,71,9,9,1,4 0,3,0,0,0,0 0,71,9,9,1,4 0,3,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<shot_susan_2015-05-22_05-10-33.pcd 0.0508017 0.000599232 0.000379871 1 7 1 0 340659 99 140 3 4 99 140 3 4 340560,79,10,6,1,1,0,2 0,2,1,0,0,0,0,0 0,79,10,6,1,1,0,2 0,2,1,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<shot_susan_2015-05-22_05-10-55.pcd 0.0531274 0.000650758 0.000401182 1 10 1 0 395010 96 140 5 5 96 140 5 5 394914,77,9,6,1,0,1,1,0,0,1 0,5,0,0,0,0,0,0,0,0,0 0,77,9,6,1,0,1,1,0,0,1 0,5,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<shot_susan_2015-05-22_05-11-18.pcd 0.0509537 0.000611843 0.000451779 1 7 1 1 382239 99 140 6 15 99 140 6 15 382140,76,13,6,2,1,0,1 0,4,0,0,1,0,0,1 0,76,13,6,2,1,0,1 0,4,0,0,1,0,0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<shot_susan_2015-05-22_05-11-38.pcd 0.0504879 0.000623065 0.000442229 1 5 1 0 380358 89 140 7 10 89 140 7 10 380269,64,11,6,4,4 0,6,0,0,1,0 0,64,11,6,4,4 0,6,0,0,1,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<shot_susan_2015-05-22_05-11-58.pcd 0.0513167 0.000617689 0.000389921 1 6 1 0 387486 99 140 5 10 99 140 5 10 387387,76,12,7,2,1,1 0,2,1,2,0,0,0 0,76,12,7,2,1,1 0,2,1,2,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<shot_susan_2015-05-22_05-12-06.pcd 0.052879 0.000596876 0.000398694 1 9 1 0 376200 94 140 3 7 94 140 3 7 376106,75,6,7,3,1,1,0,0,1 0,1,0,2,0,0,0,0,0,0 0,75,6,7,3,1,1,0,0,1 0,1,0,2,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_30/room_1/features/nonPlanes<shot_susan_2015-05-22_05-12-26.pcd 0.0545461 0.00060898 0.000400614 1 6 1 1 386628 96 140 6 16 96 140 6 16 386532,71,13,8,2,1,1 0,3,0,1,1,0,1 0,71,13,8,2,1,1 0,3,0,1,1,0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_30/room_7/features/nonPlanes<shot_susan_2015-05-22_05-12-46.pcd 0.0513512 0.0005942 0.000431814 1 4 1 0 369171 104 140 5 6 104 140 5 6 369067,80,14,8,2 0,4,1,0,0 0,80,14,8,2 0,4,1,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140908/patrol_run_32/room_2/features/nonPlanes<shot_susan_2015-05-22_05-13-05.pcd 0.0587682 0.000648105 0.000375403 1 6 1 0 401082 97 140 7 15 97 140 7 15 400985,74,13,6,0,2,2 0,4,0,2,0,1,0 0,74,13,6,0,2,2 0,4,0,2,0,1,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140908/patrol_run_34/room_2/features/nonPlanes<shot_susan_2015-05-22_05-13-16.pcd 0.0554055 0.000612487 0.000404945 1 5 1 0 386100 97 140 11 21 97 140 11 21 386003,69,20,3,3,2 0,5,4,1,0,1 0,69,20,3,3,2 0,5,4,1,0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140908/patrol_run_36/room_3/features/nonPlanes<shot_susan_2015-05-22_05-13-38.pcd 0.0516969 0.000646411 0.000575934 1 5 1 0 371316 97 140 4 4 97 140 4 4 371219,73,12,7,3,2 0,4,0,0,0,0 0,73,12,7,3,2 0,4,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140908/patrol_run_38/room_2/features/nonPlanes<shot_susan_2015-05-22_05-13-47.pcd 0.0516883 0.000592001 0.000369427 1 8 1 0 371910 92 140 5 8 92 140 5 8 371818,70,10,5,3,3,0,0,1 0,4,0,0,1,0,0,0,0 0,70,10,5,3,3,0,0,1 0,4,0,0,1,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140908/patrol_run_39/room_3/features/nonPlanes<shot_susan_2015-05-22_05-13-55.pcd 0.0508044 0.00129748 0.00044318 1 5 1 0 374517 96 140 1 2 96 140 1 2 374421,73,11,6,3,3 0,0,1,0,0,0 0,73,11,6,3,3 0,0,1,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140908/patrol_run_41/room_3/features/nonPlanes<shot_susan_2015-05-22_05-14-16.pcd 0.0513366 0.000602342 0.000343055 1 7 1 0 378972 95 140 1 1 95 140 1 1 378877,73,11,5,3,1,1,1 0,1,0,0,0,0,0,0 0,73,11,5,3,1,1,1 0,1,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140908/patrol_run_43/room_3/features/nonPlanes<shot_susan_2015-05-22_05-14-33.pcd 0.0596427 0.000582395 0.000392018 1 6 1 1 364320 95 140 6 14 95 140 6 14 364225,76,6,7,1,3,2 0,3,1,1,0,0,1 0,76,6,7,1,3,2 0,3,1,1,0,0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140908/patrol_run_45/room_2/features/nonPlanes<shot_susan_2015-05-22_05-14-59.pcd 0.0554579 0.000611773 0.000530835 1 5 1 0 378378 99 140 5 11 99 140 5 11 378279,76,13,5,2,3 0,2,1,1,1,0 0,76,13,5,2,3 0,2,1,1,1,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140908/patrol_run_47/room_3/features/nonPlanes<shot_susan_2015-05-22_05-15-12.pcd 0.0581018 0.00063716 0.000508805 1 7 1 0 380160 99 140 4 7 99 140 4 7 380061,81,8,4,3,1,0,2 0,3,0,0,1,0,0,0 0,81,8,4,3,1,0,2 0,3,0,0,1,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140909/patrol_run_49/room_3/features/nonPlanes<shot_susan_2015-05-22_05-15-29.pcd 0.0486584 0.00118302 0.000553534 1 7 1 0 375144 94 140 5 7 94 140 5 7 375050,77,6,3,3,2,1,2 0,3,2,0,0,0,0,0 0,77,6,3,3,2,1,2 0,3,2,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140909/patrol_run_51/room_3/features/nonPlanes<shot_susan_2015-05-22_05-15-39.pcd 0.0552751 0.000507069 0.000340895 1 9 1 0 378972 92 140 5 8 92 140 5 8 378880,71,12,3,0,3,2,0,0,1 0,3,1,1,0,0,0,0,0,0 0,71,12,3,0,3,2,0,0,1 0,3,1,1,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140909/patrol_run_53/room_3/features/nonPlanes<shot_susan_2015-05-22_05-15-59.pcd 0.0504098 0.00123875 0.000430655 1 10 1 0 386100 97 140 4 6 97 140 4 6 386003,74,14,4,4,0,0,0,0,0,1 0,3,0,1,0,0,0,0,0,0,0 0,74,14,4,4,0,0,0,0,0,1 0,3,0,1,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140909/patrol_run_55/room_3/features/nonPlanes<shot_susan_2015-05-22_05-16-08.pcd 0.0574242 0.000665702 0.000553206 1 6 1 0 382800 98 140 7 8 98 140 7 8 382702,76,13,3,2,3,1 0,6,1,0,0,0,0 0,76,13,3,2,3,1 0,6,1,0,0,0,0
