obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_uniform,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<shotcolor_uniform_2015-05-26_14-46-03.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__54664: 'http://tycho:54664/'}
rosversion: '1.11.10

  '
run_id: e1b364d6-076e-11e5-ae87-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_uniform_2015-05-21_19-15-45.pcd 28.8626 0.00121763 0.00178276 10 233,139,130,113,106,105,89,85,64,64 38,21,27,19,19,17,14,16,15,12 0,0,0,0,0,1,0,0,0,0 449955 1808 3720 70 191 400 1992 23 136 448147,1088,340,130,93,47,26,23,16,14,6,11,2,4,3,2,0,1,0,2 0,39,8,5,4,3,1,6,1,1,0,1,0,0,1,0,0,0,0,0 0,0,20,130,93,47,26,23,16,14,6,11,2,4,3,2,0,1,0,2 0,0,0,5,4,3,1,6,1,1,0,1,0,0,1,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_uniform_2015-05-21_19-15-48.pcd 28.4492 0.00115615 0.00180587 8 380,225,149,130,125,98,81,67 56,39,30,30,24,14,19,12 1,0,0,0,0,0,0,0 424446 1879 3720 96 428 400 1899 54 368 422567,1137,378,146,76,38,27,19,16,14,11,5,2,4,0,1,1,1,1,1,1 0,24,20,4,14,7,6,1,3,5,6,1,0,3,0,0,0,0,0,1,1 0,0,36,146,76,38,27,19,16,14,11,5,2,4,0,1,1,1,1,1,1 0,0,2,4,14,7,6,1,3,5,6,1,0,3,0,0,0,0,0,1,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_uniform_2015-05-21_19-15-50.pcd 28.7628 0.00163828 0.00186663 7 438,248,191,103,72,58,55 57,50,37,17,16,12,12 0,0,0,0,0,0,0 445269 1871 3720 64 109 400 1955 12 45 443398,1177,319,141,77,45,35,20,20,10,7,5,4,3,1,1,4,0,0,1,0,0,0,0,0,1 0,40,12,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,25,141,77,45,35,20,20,10,7,5,4,3,1,1,4,0,0,1,0,0,0,0,0,1 0,0,0,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_uniform_2015-05-21_19-15-52.pcd 30.4587 0.00127406 0.00184937 9 413,175,161,154,115,98,92,92,71 41,36,21,28,25,26,18,14,20 0,0,0,1,0,0,0,0,0 461736 1818 3720 60 165 400 2038 26 125 459918,1154,294,154,74,37,23,18,14,13,8,5,4,4,1,2,1,1,3,3,1,0,2,0,1,0,0,0,0,0,0,1 0,28,10,9,2,3,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,30,154,74,37,23,18,14,13,8,5,4,4,1,2,1,1,3,3,1,0,2,0,1,0,0,0,0,0,0,1 0,0,4,9,2,3,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_uniform_2015-05-21_19-15-55.pcd 33.0625 0.000966924 0.00193356 8 572,251,127,95,94,83,69,49 83,40,22,15,16,17,12,14 1,0,0,0,0,0,0,0 404481 1777 3720 125 554 400 2077 66 478 402704,1111,295,122,77,49,27,22,18,13,14,7,6,6,4,3,1,0,0,1,1 0,42,17,12,10,7,6,5,5,3,5,1,2,4,3,2,0,0,0,0,1 0,0,29,122,77,49,27,22,18,13,14,7,6,6,4,3,1,0,0,1,1 0,0,0,12,10,7,6,5,5,3,5,1,2,4,3,2,0,0,0,0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_uniform_2015-05-21_19-15-56.pcd 29.8872 0.00103684 0.00259048 9 517,118,99,91,90,74,67,63,55 61,21,20,18,19,18,17,17,12 1,0,0,0,0,0,0,0,0 424710 1861 3720 101 578 400 1985 63 525 422849,1187,322,122,67,53,35,17,13,10,9,5,8,1,2,1,2,1,1,3,0,1,0,0,0,1 0,23,15,8,5,8,8,6,4,4,4,1,5,1,1,0,2,1,1,3,0,1,0,0,0,0 0,0,48,122,67,53,35,17,13,10,9,5,8,1,2,1,2,1,1,3,0,1,0,0,0,1 0,0,0,8,5,8,8,6,4,4,4,1,5,1,1,0,2,1,1,3,0,1,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_uniform_2015-05-21_19-15-57.pcd 25.7325 0.0011258 0.000779851 8 543,418,134,121,72,59,57,55 63,55,21,20,12,14,14,12 0,0,0,0,0,0,0,0 456456 1615 3720 6 10 400 2284 1 4 454841,994,272,115,65,41,30,15,14,11,9,6,7,6,4,5,2,6,3,2,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,1 0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,51,115,65,41,30,15,14,11,9,6,7,6,4,5,2,6,3,2,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,1 0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_uniform_2015-05-21_19-15-59.pcd 31.7988 0.00137698 0.00266422 11 250,172,155,112,97,94,73,71,60,59,54 25,22,17,28,18,13,13,19,13,15,12 1,0,0,0,0,0,0,0,0,0,0 449592 1874 3720 29 248 400 1980 22 238 447718,1208,333,124,69,38,32,19,10,5,4,4,2,5,3,2,3,4,3,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1 0,4,4,2,2,0,1,2,3,1,0,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 0,0,67,124,69,38,32,19,10,5,4,4,2,5,3,2,3,4,3,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1 0,0,1,2,2,0,1,2,3,1,0,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_uniform_2015-05-21_19-16-00.pcd 25.8041 0.000956614 0.00260283 3 441,115,72 119,30,19 -1 451044 2345 3720 -1 -1 400 1422 -1 -1 448699,1592,433,160,79,47,21,6,3,3,0,0,1 -1 0,0,80,160,79,47,21,6,3,3,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_uniform_2015-05-21_19-16-02.pcd 26.2146 0.0023696 0.00298197 7 518,385,88,86,71,61,53 76,61,19,13,15,14,14 1,0,0,0,0,0,0 451044 1836 3720 114 541 400 2000 71 485 449208,1152,312,157,63,41,26,27,15,7,9,8,4,4,1,2,1,2,0,0,2,0,1,0,0,1,0,0,0,1 0,30,15,22,2,11,3,11,6,2,2,4,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1 0,0,28,157,63,41,26,27,15,7,9,8,4,4,1,2,1,2,0,0,2,0,1,0,0,1,0,0,0,1 0,0,2,22,2,11,3,11,6,2,2,4,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
