obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/hanger_jacket/features/rgb_0002_label_hanger_jacket<fpfh_iss_2015-05-26_14-59-03.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__58956: 'http://tycho:58956/'}
rosversion: '1.11.10

  '
run_id: 00e0906c-07a7-11e5-be47-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_iss_2015-05-22_03-05-17.pcd 0.0135614 0.00128192 0.0017701 5 121,35,28,27,20 82,18,15,16,15 -1 386100 510 750 -1 -1 400 640 -1 -1 385590,366,95,30,9,2,3,2,2,0,1 -1 0,256,95,30,9,2,3,2,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_iss_2015-05-22_03-05-28.pcd 0.0121112 0.000608081 0.00160545 7 111,43,40,38,24,18,14 59,29,30,21,15,12,14 -1 413127 516 750 -1 -1 400 634 -1 -1 412611,370,93,30,17,3,0,3 -1 0,254,93,30,17,3,0,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_iss_2015-05-22_03-05-38.pcd 0.0135741 0.000700687 0.00156941 7 93,35,31,24,22,20,19 39,22,15,17,13,13,13 0,0,1,0,0,0,0 400554 493 750 14 25 400 657 13 24 400061,338,102,32,11,2,5,1,1,0,0,0,0,1 0,7,4,2,1,0,0,0,0,0,0,0,0,0 0,245,102,32,11,2,5,1,1,0,0,0,0,1 0,6,4,2,1,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_iss_2015-05-22_03-05-50.pcd 0.0134017 0.00175472 0.0015741 7 50,41,34,32,29,19,17 29,27,17,22,16,14,12 0,0,1,0,0,0,0 394284 498 750 17 33 400 652 15 31 393786,342,103,32,11,5,0,3,2 0,11,3,1,0,1,0,0,1 0,244,103,32,11,5,0,3,2 0,9,3,1,0,1,0,0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_iss_2015-05-22_03-06-01.pcd 0.0128291 0.000724058 0.0015537 8 44,42,40,29,27,22,21,19 30,24,28,16,19,15,14,12 -1 393822 504 750 -1 -1 400 646 -1 -1 393318,348,104,30,11,7,3,1 -1 0,244,104,30,11,7,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_iss_2015-05-22_03-06-12.pcd 0.0124716 0.00069761 0.0022189 6 41,31,30,28,27,14 14,15,21,19,20,12 0,1,0,0,0,0 371910 490 750 12 23 400 660 11 22 371420,335,94,38,11,7,2,2,1 0,5,4,2,1,0,0,0,0 0,245,94,38,11,7,2,2,1 0,4,4,2,1,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_iss_2015-05-22_03-06-22.pcd 0.0114742 0.000527091 0.00157205 5 98,60,51,31,24 38,39,27,20,13 0,0,0,0,0 408408 482 750 13 31 400 668 12 30 407926,311,114,38,9,5,2,2,0,0,1 0,5,3,3,1,0,0,1,0,0,0 0,229,114,38,9,5,2,2,0,0,1 0,4,3,3,1,0,0,1,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_iss_2015-05-22_03-06-34.pcd 0.0125033 0.000524161 0.00155332 9 47,47,33,26,25,23,22,21,15 24,24,23,13,13,14,19,12,12 1,0,0,0,0,0,0,0,0 392704 503 750 22 44 400 647 22 44 392201,350,96,31,18,5,3 0,13,2,3,3,0,1 0,247,96,31,18,5,3 0,13,2,3,3,0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_iss_2015-05-22_03-06-45.pcd 0.0129192 0.000545369 0.00217298 6 71,52,34,25,20,15 31,29,24,16,13,14 -1 399960 498 750 -1 -1 400 652 -1 -1 399462,338,106,33,11,5,3,2 -1 0,240,106,33,11,5,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_iss_2015-05-22_03-06-56.pcd 0.0138518 0.000510824 0.00177346 5 68,56,41,37,19 37,37,18,19,16 0,0,0,0,0 378972 493 750 7 12 400 657 7 12 378479,339,101,30,11,7,3,1,0,0,0,0,0,0,0,1 0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0 0,246,101,30,11,7,3,1,0,0,0,0,0,0,0,1 0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
