obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/hanger_jacket/features/rgb_0002_label_hanger_jacket<fpfh_susan_2015-05-26_15-08-29.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__37123: 'http://tycho:37123/'}
rosversion: '1.11.10

  '
run_id: 83893af8-07a9-11e5-b3f7-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_susan_2015-05-22_05-55-25.pcd 0.00441353 0.00236334 0.00133368 2 25,24 12,12 -1 367488 195 320 -1 -1 195 320 -1 -1 367293,126,40,17,4,7,0,0,0,0,0,0,1 -1 0,126,40,17,4,7,0,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_susan_2015-05-22_05-55-29.pcd 0.00361766 0.00139405 0.00102179 3 31,30,29 14,14,20 -1 405768 207 320 -1 -1 207 320 -1 -1 405561,133,50,14,6,3,1 -1 0,133,50,14,6,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_susan_2015-05-22_05-55-33.pcd 0.00265697 0.000620345 0.000853621 2 38,22 12,14 0,0 350526 193 320 0 0 193 320 0 0 350333,115,51,16,7,1,0,2,1 0,0,0,0,0,0,0,0,0 0,115,51,16,7,1,0,2,1 0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_susan_2015-05-22_05-55-38.pcd 0.00283983 0.00145189 0.000888857 2 39,14 23,12 0,0 380358 220 320 0 0 220 320 0 0 380138,153,46,12,7,1,1 0,0,0,0,0,0,0 0,153,46,12,7,1,1 0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-55-44.pcd 0.00311224 0.000735303 0.00117846 1 10 1 -1 385152 206 320 -1 -1 206 320 -1 -1 384946,139,47,8,7,2,0,1,1,0,1 -1 0,139,47,8,7,2,0,1,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-55-50.pcd 0.00380532 0.000639569 0.00110363 1 39 20 0 375144 192 320 0 0 192 320 0 0 374952,121,39,20,4,3,5 0,0,0,0,0,0,0 0,121,39,20,4,3,5 0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-55-56.pcd 0.00397959 0.000587311 0.000702215 1 55 20 0 411840 186 320 0 0 186 320 0 0 411654,118,37,18,6,1,3,1,1,0,0,0,1 0,0,0,0,0,0,0,0,0,0,0,0,0 0,118,37,18,6,1,3,1,1,0,0,0,1 0,0,0,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-56-01.pcd 0.00341862 0.000982737 0.00123895 1 36 15 0 357984 192 320 0 0 192 320 0 0 357792,115,47,15,10,4,1 0,0,0,0,0,0,0 0,115,47,15,10,4,1 0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_susan_2015-05-22_05-56-07.pcd 0.00184064 0.000833017 0.000722817 3 28,27,18 17,14,12 -1 396627 182 320 -1 -1 182 320 -1 -1 396445,105,45,17,6,7,0,1,1 -1 0,105,45,17,6,7,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-56-11.pcd 0.00252468 0.00101672 0.0010623 1 6 1 0 393294 198 320 0 0 198 320 0 0 393096,128,45,8,11,2,4 0,0,0,0,0,0,0 0,128,45,8,11,2,4 0,0,0,0,0,0,0
