obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/hanger_jacket/features/rgb_0002_label_hanger_jacket<fpfh_uniform_2015-05-26_14-46-13.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__51846: 'http://tycho:51846/'}
rosversion: '1.11.10

  '
run_id: a2d5340a-07a1-11e5-aa64-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_uniform_2015-05-21_21-20-52.pcd 0.0497329 0.000769052 0.00178697 7 45,43,36,33,31,26,22 28,20,18,16,21,14,15 -1 449955 1057 1430 -1 -1 400 773 -1 -1 448898,800,176,60,14,2,3,2 -1 0,143,176,60,14,2,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-06.pcd 0.0506002 0.000706538 0.0024457 7 63,61,55,45,32,28,16 37,36,25,21,15,12,14 -1 424446 1028 1430 -1 -1 400 802 -1 -1 423418,748,199,55,17,5,3,0,1 -1 0,120,199,55,17,5,3,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-19.pcd 0.0406772 0.000360293 0.000727718 6 58,31,28,27,21,19 27,13,17,15,13,12 0,0,0,0,0,0 445269 1037 1430 19 29 400 793 6 16 444232,761,198,55,13,8,1,0,0,0,1 0,13,3,2,1,0,0,0,0,0,0 0,124,198,55,13,8,1,0,0,0,1 0,0,3,2,1,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-31.pcd 0.035743 0.000556836 0.00170766 5 52,51,50,42,31 20,27,21,22,25 0,0,0,0,0 461736 1036 1430 18 30 400 794 11 23 460700,766,187,53,23,4,2,1 0,7,10,1,0,0,0,0 0,130,187,53,23,4,2,1 0,0,10,1,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-44.pcd 0.0564141 0.000855007 0.00271104 6 70,29,25,23,20,15 33,12,14,12,18,12 -1 404481 1070 1430 -1 -1 400 760 -1 -1 403411,831,167,46,16,6,2,0,0,0,1,1 -1 0,161,167,46,16,6,2,0,0,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-56.pcd 0.0464977 0.000700681 0.00154383 6 47,42,41,25,24,18 19,20,21,16,14,13 0,0,0,0,0,0 424710 1021 1430 19 30 400 809 7 18 423689,734,200,65,15,3,3,0,1 0,12,4,2,1,0,0,0,0 0,113,200,65,15,3,3,0,1 0,0,4,2,1,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-09.pcd 0.0242327 0.000404184 0.00153984 6 82,44,37,37,35,28 33,21,28,23,19,12 0,0,0,0,0,0 456456 1021 1430 22 37 400 809 8 23 455435,752,181,60,16,5,5,0,1,1 0,14,4,2,1,1,0,0,0,0 0,131,181,60,16,5,5,0,1,1 0,0,4,2,1,1,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-20.pcd 0.0458198 0.000726008 0.000906033 4 40,39,25,25 25,31,20,12 0,0,0,0 449592 1092 1430 25 27 400 738 2 4 448500,841,188,44,16,2,0,1 0,23,2,0,0,0,0,0 0,149,188,44,16,2,0,1 0,0,2,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-33.pcd 0.0477086 0.000673556 0.00153152 6 86,35,30,24,20,18 45,18,23,16,13,12 -1 451044 1032 1430 -1 -1 400 798 -1 -1 450012,756,193,61,12,5,4,0,1 -1 0,124,193,61,12,5,4,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-46.pcd 0.0440877 0.000978908 0.00170411 7 61,45,40,33,30,28,22 29,25,23,20,19,16,15 0,0,0,0,0,0,0 451044 1042 1430 14 17 400 788 2 5 450002,765,196,58,18,4,0,1 0,12,1,1,0,0,0,0 0,123,196,58,18,4,0,1 0,0,1,1,0,0,0,0
