obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/laptop1/features/rgb_0012_label_laptop1<shotcolor_iss_2015-05-26_14-58-46.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__40378: 'http://tycho:40378/'}
rosversion: '1.11.10

  '
run_id: b6dc08a8-07b9-11e5-95cf-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-45.pcd 2.80839 0.00190864 0.00211024 13 109,59,51,48,44,34,31,24,24,23,17,13,13 40,39,30,37,30,19,20,19,13,14,13,12,12 0,0,0,0,0,0,0,0,0,0,0,0,0 386100 491 720 18 31 400 629 18 31 385609,358,81,28,15,5,1,1,0,2 0,12,2,2,1,1,0,0,0,0 0,267,81,28,15,5,1,1,0,2 0,12,2,2,1,1,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-47.pcd 2.73868 0.000799324 0.00181328 9 83,68,57,35,34,33,32,27,21 37,46,35,15,23,23,17,21,18 0,0,0,1,0,0,0,0,0 413127 472 720 15 35 400 648 15 35 412655,332,91,26,7,7,6,0,0,1,2 0,6,5,3,0,0,0,0,0,0,1 0,260,91,26,7,7,6,0,0,1,2 0,6,5,3,0,0,0,0,0,0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-48.pcd 2.66498 0.00477864 0.00214072 7 121,86,68,46,37,25,17 66,46,30,30,25,15,12 -1 400554 495 720 -1 -1 400 625 -1 -1 400059,351,94,37,5,4,2,0,1,0,1 -1 0,256,94,37,5,4,2,0,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-50.pcd 2.87817 0.00107153 0.0022248 7 134,80,80,39,35,27,23 48,59,35,28,20,12,17 -1 394284 469 720 -1 -1 400 651 -1 -1 393815,335,76,35,11,2,5,2,0,2,0,0,1 -1 0,266,76,35,11,2,5,2,0,2,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-52.pcd 2.61196 0.000631648 0.00199334 10 125,90,61,43,33,28,23,23,22,20 31,64,21,30,16,15,21,17,16,13 0,0,0,0,0,1,0,0,0,0 393822 441 720 15 28 400 679 15 28 393381,309,71,31,11,6,5,2,2,3,0,0,0,0,0,1 0,8,5,0,1,0,1,0,0,0,0,0,0,0,0,0 0,268,71,31,11,6,5,2,2,3,0,0,0,0,0,1 0,8,5,0,1,0,1,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-52.pcd 2.89568 0.000623452 0.00257778 11 88,75,68,64,42,38,28,26,22,19,17 43,47,18,42,32,17,13,21,19,14,12 0,0,1,0,0,0,0,0,0,0,0 371910 455 720 18 68 400 665 18 68 371455,315,80,26,14,14,2,3,1 0,1,5,2,3,4,2,1,0 0,260,80,26,14,14,2,3,1 0,1,5,2,3,4,2,1,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-53.pcd 2.42692 0.000738798 0.00214075 8 125,84,71,65,65,44,28,14 32,55,26,44,39,18,23,12 0,0,0,0,0,1,0,0 408408 429 720 12 35 400 691 12 35 407979,295,87,20,10,1,5,2,3,1,0,1,0,1,1,1,1 0,2,5,2,1,0,1,1,0,0,0,0,0,0,0,0,0 0,266,87,20,10,1,5,2,3,1,0,1,0,1,1,1,1 0,2,5,2,1,0,1,1,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-54.pcd 2.86502 0.0011041 0.00287056 7 122,96,54,54,44,30,22 32,70,41,12,14,14,15 -1 392704 449 720 -1 -1 400 671 -1 -1 392255,325,70,22,12,6,6,2,2,0,0,3,1 -1 0,276,70,22,12,6,6,2,2,0,0,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-56.pcd 3.66891 0.000991266 0.00286258 7 135,57,50,45,37,36,22 56,24,32,25,15,29,20 -1 399960 479 720 -1 -1 400 641 -1 -1 399481,338,92,26,11,5,4,0,2,0,0,1 -1 0,259,92,26,11,5,4,0,2,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-57.pcd 2.54161 0.00144311 0.00303361 9 138,59,49,37,34,34,27,25,21 53,33,38,25,24,20,16,21,12 0,0,0,0,0,0,1,0,0 378972 466 720 13 22 400 654 13 22 378506,331,79,30,7,11,3,2,2,0,1 0,9,2,1,0,0,1,0,0,0,0 0,265,79,30,7,11,3,2,2,0,1 0,9,2,1,0,0,1,0,0,0,0
