obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/laptop1/features/rgb_0012_label_laptop1<fpfh_susan_2015-05-26_15-08-33.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__42897: 'http://tycho:42897/'}
rosversion: '1.11.10

  '
run_id: f8a79446-07be-11e5-9c75-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_susan_2015-05-22_05-55-25.pcd 0.00187456 0.00164665 0.00045801 1 3 1 0 367488 56 70 0 0 56 70 0 0 367432,45,8,3 0,0,0,0 0,45,8,3 0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_susan_2015-05-22_05-55-29.pcd 0.00175389 0.00128385 0.000284408 1 4 1 0 405768 58 70 2 2 58 70 2 2 405710,49,7,1,1 0,2,0,0,0 0,49,7,1,1 0,2,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_susan_2015-05-22_05-55-33.pcd 0.00128246 0.00057649 0.000297699 1 3 1 -1 350526 57 70 -1 -1 57 70 -1 -1 350469,45,11,1 -1 0,45,11,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_susan_2015-05-22_05-55-38.pcd 0.00168087 0.00159024 0.000312558 1 4 1 -1 380358 57 70 -1 -1 57 70 -1 -1 380301,46,10,0,1 -1 0,46,10,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-55-44.pcd 0.00137404 0.000591807 0.000305051 1 5 1 0 385152 52 70 0 0 52 70 0 0 385100,41,8,1,0,2 0,0,0,0,0,0 0,41,8,1,0,2 0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-55-50.pcd 0.00152931 0.000669644 0.000281956 1 2 1 0 375144 54 70 0 0 54 70 0 0 375090,38,16 0,0,0 0,38,16 0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-55-56.pcd 0.00134872 0.000624962 0.000268054 1 4 1 0 411840 56 70 0 0 56 70 0 0 411784,46,8,0,2 0,0,0,0,0 0,46,8,0,2 0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-56-01.pcd 0.00131872 0.000636859 0.00038519 1 4 1 -1 357984 56 70 -1 -1 56 70 -1 -1 357928,47,5,3,1 -1 0,47,5,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_susan_2015-05-22_05-56-07.pcd 0.000995375 0.000600039 0.000291574 1 3 1 -1 396627 58 70 -1 -1 58 70 -1 -1 396569,47,10,1 -1 0,47,10,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-56-11.pcd 0.00136774 0.000632583 0.000206531 1 7 1 0 393294 48 70 2 2 48 70 2 2 393246,38,5,2,1,1,0,1 0,2,0,0,0,0,0,0 0,38,5,2,1,1,0,1 0,2,0,0,0,0,0,0
