obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/laptop1/features/rgb_0012_label_laptop1<shot_susan_2015-05-26_15-07-36.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__35746: 'http://tycho:35746/'}
rosversion: '1.11.10

  '
run_id: 4b33f0e8-07be-11e5-98f6-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_susan_2015-05-22_05-05-12.pcd 0.027616 0.0015584 0.00038991 1 2 1 0 367488 66 70 0 0 66 70 0 0 367422,62,4 0,0,0 0,62,4 0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_susan_2015-05-22_05-05-26.pcd 0.0293627 0.00126176 0.000421829 1 2 1 0 405768 66 70 1 1 66 70 1 1 405702,62,4 0,1,0 0,62,4 0,1,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_susan_2015-05-22_05-05-46.pcd 0.0368758 0.000515959 0.000382412 1 2 1 -1 350526 63 70 -1 -1 63 70 -1 -1 350463,56,7 -1 0,56,7 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_susan_2015-05-22_05-06-06.pcd 0.033088 0.00106668 0.000409882 1 2 1 -1 380358 66 70 -1 -1 66 70 -1 -1 380292,62,4 -1 0,62,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_susan_2015-05-22_05-06-30.pcd 0.0285646 0.000978731 0.000299265 1 2 1 0 385152 69 70 0 0 69 70 0 0 385083,68,1 0,0,0 0,68,1 0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_susan_2015-05-22_05-06-52.pcd 0.0291399 0.000569423 0.000440625 1 2 1 0 375144 67 70 1 1 67 70 1 1 375077,64,3 0,1,0 0,64,3 0,1,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_susan_2015-05-22_05-07-07.pcd 0.0286806 0.000975383 0.000286178 1 2 1 0 411840 67 70 0 0 67 70 0 0 411773,64,3 0,0,0 0,64,3 0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_susan_2015-05-22_05-07-16.pcd 0.0272182 0.000569521 0.000358877 1 3 1 -1 357984 64 70 -1 -1 64 70 -1 -1 357920,59,4,1 -1 0,59,4,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_susan_2015-05-22_05-07-25.pcd 0.0192413 0.000520246 0.000413934 1 2 1 -1 396627 68 70 -1 -1 68 70 -1 -1 396559,66,2 -1 0,66,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_susan_2015-05-22_05-07-43.pcd 0.0267766 0.000573817 0.000308051 1 2 1 0 393294 64 70 2 2 64 70 2 2 393230,58,6 0,2,0 0,58,6 0,2,0
