obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<fpfh_uniform_2015-05-26_14-46-24.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__53177: 'http://tycho:53177/'}
rosversion: '1.11.10

  '
run_id: 825dee6a-0765-11e5-a3b4-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_uniform_2015-05-21_21-20-52.pcd 0.0392835 0.000897373 0.00187072 6 79,53,26,25,20,19 50,26,17,19,16,17 -1 449955 887 1150 -1 -1 400 663 -1 -1 449068,685,158,34,5,3,2 -1 0,198,158,34,5,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-06.pcd 0.0368744 0.00124715 0.00209842 8 108,48,47,31,23,23,19,19 56,27,30,25,19,15,18,16 -1 424446 911 1150 -1 -1 400 639 -1 -1 423535,724,145,34,7,0,1 -1 0,213,145,34,7,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-19.pcd 0.0350106 0.000944095 0.00165771 8 31,31,30,29,27,20,18,17 16,14,23,21,18,14,17,14 -1 445269 904 1150 -1 -1 400 646 -1 -1 444365,718,144,30,8,2,2 -1 0,214,144,30,8,2,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-31.pcd 0.042081 0.000665411 0.00195275 6 50,46,33,24,22,17 34,32,22,13,16,13 -1 461736 891 1150 -1 -1 400 659 -1 -1 460845,700,144,35,7,2,2,1 -1 0,209,144,35,7,2,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-44.pcd 0.038204 0.00131036 0.00270077 7 48,28,24,18,17,15,13 34,15,20,16,13,12,12 -1 404481 913 1150 -1 -1 400 637 -1 -1 403568,730,147,25,8,1,0,2 -1 0,217,147,25,8,1,0,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-56.pcd 0.0367357 0.00139372 0.0019788 6 73,34,32,27,26,19 50,27,13,18,17,13 -1 424710 885 1150 -1 -1 400 665 -1 -1 423825,678,164,32,7,4 -1 0,193,164,32,7,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-09.pcd 0.0318417 0.00102713 0.00210683 3 58,37,23 32,21,17 -1 456456 856 1150 -1 -1 400 694 -1 -1 455600,655,141,38,15,4,2,1 -1 0,199,141,38,15,4,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-20.pcd 0.0426225 0.000657467 0.00176845 4 47,38,28,23 29,29,24,17 -1 449592 908 1150 -1 -1 400 642 -1 -1 448684,714,153,35,5,1 -1 0,206,153,35,5,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-33.pcd 0.0391369 0.00075759 0.00158372 6 58,33,27,26,23,16 32,26,22,19,17,12 -1 451044 880 1150 -1 -1 400 670 -1 -1 450164,691,129,48,6,5,0,0,1 -1 0,211,129,48,6,5,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-46.pcd 0.0350625 0.000836889 0.00270525 8 45,37,36,35,27,27,25,16 30,26,27,30,20,13,17,13 -1 451044 899 1150 -1 -1 400 651 -1 -1 450145,700,155,36,8 -1 0,201,155,36,8 -1
