obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<pfhrgb_uniform_2015-05-26_14-52-55.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__45239: 'http://tycho:45239/'}
rosversion: '1.11.10

  '
run_id: 29771b86-0766-11e5-95be-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-39-02.pcd 0.489204 0.00145897 0.00323551 6 158,140,114,104,98,33 48,46,55,46,46,15 -1 449955 598 1150 -1 -1 400 952 -1 -1 449357,345,136,44,33,12,11,8,4,2,1,0,0,1,1 -1 0,147,136,44,33,12,11,8,4,2,1,0,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-42-25.pcd 0.416771 0.000832246 0.00298157 8 157,100,65,51,43,36,30,24 54,44,22,19,15,15,17,12 -1 424446 588 1150 -1 -1 400 962 -1 -1 423858,343,123,51,29,13,14,2,5,4,0,2,0,0,0,1,1 -1 0,155,123,51,29,13,14,2,5,4,0,2,0,0,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-43-51.pcd 0.423841 0.00120271 0.00173744 13 61,58,51,48,47,45,44,42,35,34,32,28,28 14,21,19,18,23,15,16,20,13,18,15,18,17 -1 445269 601 1150 -1 -1 400 949 -1 -1 444668,351,120,60,30,19,6,5,5,2,1,0,1,1 -1 0,150,120,60,30,19,6,5,5,2,1,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-46-06.pcd 0.530778 0.00122648 0.00186782 7 197,116,45,45,44,38,27 75,39,21,16,18,17,16 -1 461736 556 1150 -1 -1 400 994 -1 -1 461180,324,109,44,35,16,8,7,3,0,1,2,1,3,1,0,1,0,0,0,0,0,1 -1 0,168,109,44,35,16,8,7,3,0,1,2,1,3,1,0,1,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-48-05.pcd 0.366973 0.00146219 0.00230714 5 210,91,58,52,33 75,47,19,22,16 -1 404481 584 1150 -1 -1 400 966 -1 -1 403897,316,141,58,34,11,7,7,4,2,2,1,0,0,0,1 -1 0,132,141,58,34,11,7,7,4,2,2,1,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-50-17.pcd 0.354642 0.000850965 0.0022848 6 328,101,81,57,55,36 131,34,16,23,30,16 -1 424710 572 1150 -1 -1 400 978 -1 -1 424138,318,119,55,35,17,14,6,3,1,1,2,0,1 -1 0,146,119,55,35,17,14,6,3,1,1,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-52-28.pcd 0.360826 0.000839669 0.00193531 8 264,103,86,69,69,49,36,29 91,49,34,15,12,17,15,20 -1 456456 533 1150 -1 -1 400 1017 -1 -1 455923,287,117,52,25,16,7,9,10,2,4,1,1,1,1 -1 0,154,117,52,25,16,7,9,10,2,4,1,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-54-39.pcd 0.384409 0.000784023 0.00287186 7 306,72,69,61,50,42,25 132,28,42,28,12,14,13 -1 449592 620 1150 -1 -1 400 930 -1 -1 448972,363,137,45,34,25,8,6,0,0,0,0,0,1,1 -1 0,143,137,45,34,25,8,6,0,0,0,0,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-57-11.pcd 0.371643 0.00076803 0.0017427 10 132,120,87,83,48,39,34,33,28,23 45,30,25,33,20,19,19,14,16,17 -1 451044 523 1150 -1 -1 400 1027 -1 -1 450521,271,126,48,30,13,10,10,2,2,3,2,2,1,1,1,1 -1 0,148,126,48,30,13,10,10,2,2,3,2,2,1,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-59-20.pcd 0.329509 0.000830879 0.00303637 7 252,98,66,64,51,44,41 92,18,20,21,23,25,21 -1 451044 533 1150 -1 -1 400 1017 -1 -1 450511,270,129,54,32,10,14,13,3,4,1,1,0,2 -1 0,137,129,54,32,10,14,13,3,4,1,1,0,2 -1
