obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/trash_bin/features/rgb_0000_label_trash_bin<shot_iss_2015-05-26_14-57-56.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__44638: 'http://tycho:44638/'}
rosversion: '1.11.10

  '
run_id: fd3e18fe-0787-11e5-a94f-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_iss_2015-05-22_01-16-34.pcd 0.28129 0.00172546 0.00138058 2 36,19 33,16 -1 386100 322 350 -1 -1 322 350 -1 -1 385778,296,24,2 -1 0,296,24,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_iss_2015-05-22_01-17-02.pcd 0.27172 0.000707847 0.00131641 1 27 26 -1 413127 323 350 -1 -1 323 350 -1 -1 412804,296,27 -1 0,296,27 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_iss_2015-05-22_01-17-20.pcd 0.265315 0.000701813 0.00134833 1 15 15 -1 400554 333 350 -1 -1 333 350 -1 -1 400221,316,17 -1 0,316,17 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_iss_2015-05-22_01-17-30.pcd 0.269463 0.00068867 0.00174895 1 3 1 -1 394284 326 350 -1 -1 326 350 -1 -1 393958,303,22,1 -1 0,303,22,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_iss_2015-05-22_01-18-03.pcd 0.29602 0.00172808 0.00200725 2 21,15 20,15 -1 393822 325 350 -1 -1 325 350 -1 -1 393497,302,21,2 -1 0,302,21,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_iss_2015-05-22_01-18-30.pcd 0.260763 0.000708388 0.00125901 1 19 17 -1 371910 328 350 -1 -1 328 350 -1 -1 371582,306,22 -1 0,306,22 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_iss_2015-05-22_01-18-58.pcd 0.237495 0.00076477 0.00125303 4 21,20,18,12 20,15,16,12 0,0,0,0 408408 325 350 2 2 325 350 2 2 408083,301,23,1 0,2,0,0 0,301,23,1 0,2,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_iss_2015-05-22_01-19-25.pcd 0.137311 0.000444256 0.00125225 5 19,16,15,14,12 16,14,13,13,12 0,0,0,0,0 392704 327 350 2 2 327 350 2 2 392377,305,21,1 0,2,0,0 0,305,21,1 0,2,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_iss_2015-05-22_01-19-53.pcd 0.230699 0.000548159 0.00172463 3 16,16,13 16,15,12 -1 399960 334 350 -1 -1 334 350 -1 -1 399626,318,16 -1 0,318,16 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_iss_2015-05-22_01-20-09.pcd 0.252049 0.000493712 0.00156113 4 21,16,14,13 16,14,14,12 0,0,0,0 378972 320 350 3 3 320 350 3 3 378652,291,28,1 0,3,0,0 0,291,28,1 0,3,0,0
