obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/trash_bin/features/rgb_0000_label_trash_bin<pfhrgb_uniform_2015-05-26_14-52-08.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__56133: 'http://tycho:56133/'}
rosversion: '1.11.10

  '
run_id: 15e56070-0787-11e5-9385-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-39-02.pcd 0.299118 0.00124816 0.00180817 6 69,53,49,49,40,33 30,25,20,19,25,16 -1 449955 539 1010 -1 -1 400 871 -1 -1 449416,327,117,41,23,13,2,4,4,1,1,0,3,0,3 -1 0,188,117,41,23,13,2,4,4,1,1,0,3,0,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-42-25.pcd 0.26524 0.00107341 0.00171632 6 103,95,32,30,26,25 48,22,21,25,19,16 -1 424446 614 1010 -1 -1 400 796 -1 -1 423832,397,132,46,24,5,3,2,1,2,0,0,0,0,0,0,2 -1 0,183,132,46,24,5,3,2,1,2,0,0,0,0,0,0,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-43-51.pcd 0.300465 0.00085459 0.00172348 7 125,113,24,22,22,17,15 61,38,15,13,12,12,13 -1 445269 572 1010 -1 -1 400 838 -1 -1 444697,361,126,32,27,11,3,4,1,1,0,1,2,2,1 -1 0,189,126,32,27,11,3,4,1,1,0,1,2,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-46-06.pcd 0.278311 0.000625865 0.0017243 8 120,110,49,44,34,26,19,14 53,38,12,17,20,12,12,12 -1 461736 601 1010 -1 -1 400 809 -1 -1 461135,394,116,46,18,10,8,3,2,3,0,0,1 -1 0,193,116,46,18,10,8,3,2,3,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-48-05.pcd 0.403401 0.00207689 0.00249229 7 96,90,39,36,29,27,20 52,28,20,14,16,17,16 -1 404481 621 1010 -1 -1 400 789 -1 -1 403860,420,126,30,19,9,6,8,1,0,0,0,0,1,1 -1 0,199,126,30,19,9,6,8,1,0,0,0,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-50-17.pcd 0.355221 0.000771969 0.000683897 7 55,37,34,30,24,24,19 35,16,18,14,15,12,12 -1 424710 573 1010 -1 -1 400 837 -1 -1 424137,350,139,34,28,10,4,2,0,1,1,0,1,1,0,1,0,0,0,0,0,1 -1 0,177,139,34,28,10,4,2,0,1,1,0,1,1,0,1,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-52-28.pcd 0.207956 0.000531038 0.0016837 8 73,40,38,36,30,29,26,24 18,16,28,13,15,14,16,12 0,0,0,0,0,0,0,0 456456 534 1010 5 6 400 876 1 2 455922,322,107,47,25,12,7,2,3,3,4,1,0,0,0,1 0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0 0,188,107,47,25,12,7,2,3,3,4,1,0,0,0,1 0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-54-39.pcd 0.172987 0.000395522 0.000889687 5 80,63,61,46,20 41,18,32,19,16 0,0,0,0,0 449592 605 1010 3 5 400 805 2 4 448987,395,120,38,20,18,7,7 0,1,2,0,0,0,0,0 0,190,120,38,20,18,7,7 0,0,2,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-57-11.pcd 0.237509 0.000852261 0.0018558 8 164,157,108,76,72,45,40,31 67,68,27,23,38,22,12,13 -1 451044 441 1010 -1 -1 400 969 -1 -1 450603,223,96,53,21,15,5,11,6,4,1,2,2,0,0,2 -1 0,182,96,53,21,15,5,11,6,4,1,2,2,0,0,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-59-20.pcd 0.255995 0.000834684 0.00168691 6 89,83,74,32,21,19 34,36,31,22,12,13 0,0,0,0,0,0 451044 601 1010 8 15 400 809 6 13 450443,390,124,39,23,11,5,4,2,2,0,0,0,0,0,0,1 0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0 0,189,124,39,23,11,5,4,2,2,0,0,0,0,0,0,1 0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
