obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/backpack2/features/rgb_0003_label_backpack2<pfhrgb_iss_2015-05-26_15-02-55.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__43901: 'http://tycho:43901/'}
rosversion: '1.11.10

  '
run_id: f1c2174a-0715-11e5-8e91-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_iss_2015-05-21_14-06-46.pcd 0.0507751 0.00133465 0.00155162 6 150,83,37,37,35,33 35,44,20,13,17,12 1,0,0,0,0,0 1114084 283 630 31 137 283 630 31 137 1113801,136,68,31,17,13,8,4,3,2,0,0,0,0,1 0,1,10,4,1,5,5,1,3,0,0,0,0,0,1 0,136,68,31,17,13,8,4,3,2,0,0,0,0,1 0,1,10,4,1,5,5,1,3,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_iss_2015-05-21_14-07-41.pcd 0.0403203 0.00214483 0.00175651 4 82,81,26,21 44,28,12,14 0,0,0,0 1112412 278 630 14 23 278 630 14 23 1112134,130,68,30,19,15,3,8,2,1,0,0,2 0,9,2,2,1,0,0,0,0,0,0,0,0 0,130,68,30,19,15,3,8,2,1,0,0,2 0,9,2,2,1,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_iss_2015-05-21_14-08-36.pcd 0.0556319 0.00132298 0.00179997 2 190,54 42,23 1,0 1205512 237 630 30 143 237 630 30 143 1205275,116,40,22,17,14,10,6,4,3,0,2,0,0,0,2,0,1 0,6,3,5,4,2,2,3,2,1,0,0,0,0,0,1,0,1 0,116,40,22,17,14,10,6,4,3,0,2,0,0,0,2,0,1 0,6,3,5,4,2,2,3,2,1,0,0,0,0,0,1,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_iss_2015-05-21_14-09-05.pcd 0.0503431 0.00161064 0.00127965 6 101,81,49,48,32,21 33,32,20,14,18,12 1,0,0,0,0,0 1096908 287 630 24 76 287 630 24 76 1096621,148,64,24,18,14,8,6,2,0,0,2,1 0,8,4,3,2,4,2,0,0,0,0,1,0 0,148,64,24,18,14,8,6,2,0,0,2,1 0,8,4,3,2,4,2,0,0,0,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_iss_2015-05-21_14-10-14.pcd 0.0641794 0.000762363 0.000896694 4 151,33,26,24 53,13,13,18 1,0,0,0 1072170 262 630 25 97 262 630 25 97 1071908,120,62,26,15,14,11,9,3,0,1,0,0,0,0,1 0,4,5,3,3,3,3,3,1,0,0,0,0,0,0,0 0,120,62,26,15,14,11,9,3,0,1,0,0,0,0,1 0,4,5,3,3,3,3,3,1,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_iss_2015-05-21_14-10-50.pcd 0.0806789 0.00201742 0.00166781 5 59,56,52,49,42 13,23,17,19,12 0,0,1,0,0 1205360 243 630 15 48 243 630 15 48 1205117,113,39,32,18,16,10,4,3,4,3,0,0,1 0,5,1,3,1,3,1,1,0,0,0,0,0,0 0,113,39,32,18,16,10,4,3,4,3,0,0,1 0,5,1,3,1,3,1,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_iss_2015-05-21_14-11-15.pcd 0.0518845 0.00127787 0.00117362 3 135,64,41 43,28,14 1,0,0 1169792 256 630 26 90 256 630 26 90 1169536,119,45,37,19,10,10,10,4,1,0,0,0,1 0,8,4,4,4,1,1,2,1,0,0,0,0,1 0,119,45,37,19,10,10,10,4,1,0,0,0,1 0,8,4,4,4,1,1,2,1,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_iss_2015-05-21_14-11-52.pcd 0.0579406 0.00143573 0.0011767 6 64,61,58,35,24,15 14,21,17,17,16,14 -1 1120164 285 630 -1 -1 285 630 -1 -1 1119879,155,58,30,14,13,2,3,3,1,1,0,3,0,0,0,0,1,0,1 -1 0,155,58,30,14,13,2,3,3,1,1,0,3,0,0,0,0,1,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_iss_2015-05-21_14-13-00.pcd 0.0460615 0.00196683 0.00138424 4 221,63,56,51 62,28,20,19 1,0,0,0 1030788 267 630 34 148 267 630 34 148 1030521,125,51,30,29,13,10,6,2,0,0,0,0,0,1 0,5,4,2,9,5,3,4,1,0,0,0,0,0,1 0,125,51,30,29,13,10,6,2,0,0,0,0,0,1 0,5,4,2,9,5,3,4,1,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfhrgb_iss_2015-05-21_14-13-46.pcd 0.0762069 0.00113254 0.00178663 6 142,91,65,44,43,28 42,22,24,12,13,12 0,1,0,0,0,0 1020376 235 630 19 85 235 630 19 85 1020141,101,43,35,13,15,11,7,5,0,2,1,1,1 0,4,3,3,2,1,3,0,0,0,1,0,1,1 0,101,43,35,13,15,11,7,5,0,2,1,1,1 0,4,3,3,2,1,3,0,0,0,1,0,1,1
