obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/backpack2/features/rgb_0003_label_backpack2<pfhrgb_uniform_2015-05-26_14-51-16.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__41508: 'http://tycho:41508/'}
rosversion: '1.11.10

  '
run_id: 0af975ec-0710-11e5-a01d-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-21-27.pcd 0.19647 0.00153065 0.00352331 8 341,145,86,69,56,49,43,36 76,60,32,40,14,13,27,15 1,0,0,0,0,0,0,0 1139050 460 1260 55 290 400 1200 55 290 1138590,201,100,62,16,25,21,11,9,2,3,2,2,0,0,0,1,0,2,0,1,1,1 0,8,13,6,3,5,5,3,3,0,2,2,1,0,0,0,1,0,2,0,1,0,0 0,141,100,62,16,25,21,11,9,2,3,2,2,0,0,0,1,0,2,0,1,1,1 0,8,13,6,3,5,5,3,3,0,2,2,1,0,0,0,1,0,2,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-23-53.pcd 0.217568 0.0017053 0.00258942 6 195,152,151,59,32,30 74,51,33,20,13,14 0,0,0,0,0,0 1240738 519 1260 31 95 400 1141 24 88 1240219,235,130,62,40,15,13,3,5,3,3,2,1,2,1,2,0,0,0,1,0,0,0,0,0,1 0,9,10,4,3,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0 0,116,130,62,40,15,13,3,5,3,3,2,1,2,1,2,0,0,0,1,0,0,0,0,0,1 0,2,10,4,3,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-27-00.pcd 0.22921 0.00524152 0.00330134 7 407,166,79,50,34,27,23 103,41,23,22,13,13,12 1,0,0,0,0,0,0 1240624 429 1260 66 298 400 1231 66 298 1240195,172,76,65,32,23,22,17,7,4,1,1,2,2,3,0,0,0,0,1,0,0,0,1 0,10,9,12,6,7,9,4,2,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0 0,143,76,65,32,23,22,17,7,4,1,1,2,2,3,0,0,0,0,1,0,0,0,1 0,10,9,12,6,7,9,4,2,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-29-05.pcd 0.210983 0.00150484 0.00286546 8 223,125,93,79,57,45,39,23 57,45,43,26,12,26,12,14 1,0,0,0,0,0,0,0 1135060 552 1260 47 188 400 1108 42 183 1134508,263,130,60,38,27,12,8,6,2,0,3,1,1,0,0,0,0,1 0,11,8,6,7,4,3,2,1,1,0,3,0,1,0,0,0,0,0 0,111,130,60,38,27,12,8,6,2,0,3,1,1,0,0,0,0,1 0,6,8,6,7,4,3,2,1,1,0,3,0,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-33-01.pcd 0.214891 0.00147754 0.0022488 6 380,203,75,43,38,33 111,83,17,19,16,15 0,0,0,0,0,0 1094400 561 1260 49 192 400 1099 42 185 1093839,278,126,63,34,21,15,7,5,6,2,2,1,1 0,15,5,7,3,7,4,1,2,1,2,1,1,0 0,117,126,63,34,21,15,7,5,6,2,2,1,1 0,8,5,7,3,7,4,1,2,1,2,1,1,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-35-28.pcd 0.253684 0.00190194 0.00211504 11 128,114,114,94,88,83,65,58,52,33,18 46,30,25,26,27,24,13,13,13,12,16 0,0,1,0,0,0,0,0,0,0,0 1264640 440 1260 22 107 400 1220 22 107 1264200,197,86,46,31,28,9,12,7,3,5,3,3,1,2,5,1,1 0,1,4,3,7,2,0,1,1,0,1,1,0,0,0,1,0,0 0,157,86,46,31,28,9,12,7,3,5,3,3,1,2,5,1,1 0,1,4,3,7,2,0,1,1,0,1,1,0,0,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-36-59.pcd 0.223895 0.00146662 0.00280424 7 246,104,77,67,54,31,29 74,30,24,25,27,16,12 1,0,0,0,0,0,0 1201408 547 1260 53 151 400 1113 38 136 1200861,263,113,65,43,22,21,8,6,3,1,0,1,0,0,1 0,18,9,12,6,4,2,0,1,0,0,0,0,0,0,1 0,116,113,65,43,22,21,8,6,3,1,0,1,0,0,1 0,3,9,12,6,4,2,0,1,0,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-39-34.pcd 0.248083 0.00152159 0.0019206 7 146,103,82,80,70,51,17 40,26,21,32,38,17,12 -1 1186056 484 1260 -1 -1 400 1176 -1 -1 1185572,224,94,56,36,25,14,9,7,7,6,0,1,2,1,0,1,1 -1 0,140,94,56,36,25,14,9,7,7,6,0,1,2,1,0,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-43-14.pcd 0.208331 0.00140714 0.0023789 5 445,77,73,66,57 105,37,29,27,21 0,0,0,0,0 1120164 538 1260 60 273 400 1122 48 261 1119626,257,123,60,31,25,16,9,5,4,4,1,0,2,0,0,1 0,13,10,6,4,7,7,3,1,2,4,0,0,2,0,0,1 0,119,123,60,31,25,16,9,5,4,4,1,0,2,0,0,1 0,1,10,6,4,7,7,3,1,2,4,0,0,2,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-46-07.pcd 0.231044 0.001422 0.00306145 8 354,138,121,71,54,43,26,16 94,42,52,20,14,15,13,12 0,1,0,0,0,0,0,0 1060884 439 1260 37 127 400 1221 37 127 1060445,190,82,53,28,27,16,13,8,5,3,6,2,3,2,0,0,1 0,14,5,6,4,2,1,1,2,0,0,0,0,1,0,0,0,1 0,151,82,53,28,27,16,13,8,5,3,6,2,3,2,0,0,1 0,14,5,6,4,2,1,1,2,0,0,0,0,1,0,0,0,1
