obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<pfh_iss_2015-05-26_15-01-37.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__37702: 'http://tycho:37702/', host_tycho__40811: 'http://tycho:40811/'}
rosversion: '1.11.10

  '
run_id: 05e513e0-06f2-11e5-9426-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_iss_2015-05-21_13-00-27.pcd 0.0404671 0.00156315 0.00224457 6 232,193,108,83,60,52 74,54,37,31,23,15 0,0,1,0,0,0 1114084 932 1760 76 147 400 1213 36 106 1113152,517,211,102,53,22,10,8,5,3,1 0,39,19,9,6,0,2,1,0,0,0 0,0,196,102,53,22,10,8,5,3,1 0,0,18,9,6,0,2,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_iss_2015-05-21_13-01-01.pcd 0.0462585 0.00171764 0.00181668 6 265,130,104,49,44,34 87,43,34,16,15,12 0,1,0,0,0,0 1112412 1014 1760 72 157 400 1144 41 126 1111398,612,216,105,42,22,7,6,2,0,0,1,1 0,31,25,3,5,4,2,1,1,0,0,0,0 0,0,214,105,42,22,7,6,2,0,0,1,1 0,0,25,3,5,4,2,1,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_iss_2015-05-21_13-01-35.pcd 0.0406184 0.00213958 0.00291191 5 262,107,103,99,29 88,38,34,29,12 0,0,0,0,0 1205512 987 1760 26 54 400 1168 13 41 1204525,582,218,93,55,22,5,3,3,3,2,1 0,13,5,4,2,1,1,0,0,0,0,0 0,0,213,93,55,22,5,3,3,3,2,1 0,0,5,4,2,1,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_iss_2015-05-21_13-01-53.pcd 0.0489719 0.00152714 0.00294142 4 289,251,92,46 99,76,31,17 0,0,1,0 1096908 943 1760 70 155 400 1206 40 125 1095965,532,203,99,63,20,16,5,3,2 0,30,18,10,4,5,3,0,0,0 0,0,192,99,63,20,16,5,3,2 0,0,18,10,4,5,3,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_iss_2015-05-21_13-02-36.pcd 0.0401519 0.00108306 0.00166955 4 335,183,101,56 106,59,28,17 0,0,1,0 1072170 913 1760 51 130 400 1229 31 108 1071257,495,190,128,58,19,10,6,1,3,0,1,1,0,1 0,18,15,9,2,3,0,2,0,2,0,0,0,0,0 0,0,172,128,58,19,10,6,1,3,0,1,1,0,1 0,0,13,9,2,3,0,2,0,2,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_iss_2015-05-21_13-02-58.pcd 0.0353445 0.00137164 0.00294611 5 280,166,147,60,45 78,48,39,16,12 0,0,0,0,0 1205360 793 1760 7 26 400 1367 6 25 1204567,393,155,94,71,37,20,10,7,2,2,2 0,1,1,2,2,0,0,0,0,1,0,0 0,0,155,94,71,37,20,10,7,2,2,2 0,0,1,2,2,0,0,0,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_iss_2015-05-21_13-03-14.pcd 0.042396 0.00141234 0.00289931 4 333,182,57,55 105,57,13,17 0,0,0,0 1169792 914 1760 5 13 400 1223 2 9 1168878,491,217,106,53,19,10,9,2,3,1,2,1 0,2,2,0,0,0,0,1,0,0,0,0,0 0,0,194,106,53,19,10,9,2,3,1,2,1 0,0,1,0,0,0,0,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_iss_2015-05-21_13-03-37.pcd 0.0493075 0.0019705 0.00191555 5 362,150,75,39,34 110,46,23,13,12 -1 1120164 919 1760 -1 -1 400 1241 -1 -1 1119245,524,177,106,54,28,16,5,5,3,1 -1 0,5,177,106,54,28,16,5,5,3,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_iss_2015-05-21_13-04-21.pcd 0.0410697 0.00155732 0.00166194 7 170,122,94,62,54,50,43 50,42,29,20,18,17,12 0,0,1,0,0,0,0 1030788 959 1760 63 129 400 1199 30 96 1029829,557,195,99,58,32,11,4,2,0,0,0,0,0,1 0,33,12,6,7,4,1,0,0,0,0,0,0,0,0 0,0,193,99,58,32,11,4,2,0,0,0,0,0,1 0,0,12,6,7,4,1,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfh_iss_2015-05-21_13-04-51.pcd 0.0383767 0.00141068 0.00183063 5 227,223,66,49,43 73,73,22,15,14 0,0,1,0,0 1020376 940 1760 48 91 400 1199 23 66 1019436,519,211,111,59,18,12,4,2,1,1,0,1,1 0,25,15,3,1,1,3,0,0,0,0,0,0,0 0,0,190,111,59,18,12,4,2,1,1,0,1,1 0,0,15,3,1,1,3,0,0,0,0,0,0,0
