obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<shot_susan_2015-05-26_15-07-46.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__34058: 'http://tycho:34058/', host_tycho__51957: 'http://tycho:51957/'}
rosversion: '1.11.10

  '
run_id: 252a632a-06f4-11e5-8ba8-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_susan_2015-05-21_15-09-26.pcd 0.0517269 0.00249429 0.000702695 1 7 1 0 665754 95 140 1 3 95 140 1 3 665659,73,10,6,4,0,1,1 0,0,0,1,0,0,0,0 0,73,10,6,4,0,1,1 0,0,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_susan_2015-05-21_15-09-38.pcd 0.0626477 0.00224335 0.000582514 1 6 1 0 908656 105 140 9 17 105 140 9 17 908551,88,9,4,1,0,3 0,5,3,0,0,0,1 0,88,9,4,1,0,3 0,5,3,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_susan_2015-05-21_15-09-50.pcd 0.0573049 0.000951927 0.00039288 1 6 1 0 853128 95 140 3 3 95 140 3 3 853033,70,12,9,2,1,1 0,3,0,0,0,0,0 0,70,12,9,2,1,1 0,3,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_susan_2015-05-21_15-09-58.pcd 0.0850837 0.00134386 0.000569695 1 10 1 0 988788 98 140 7 11 98 140 7 11 988690,77,12,5,2,0,1,0,0,0,1 0,5,1,0,1,0,0,0,0,0,0 0,77,12,5,2,0,1,0,0,0,1 0,5,1,0,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_susan_2015-05-21_15-10-12.pcd 0.0559062 0.00107685 0.000663262 1 6 1 0 889644 104 140 5 6 104 140 5 6 889540,81,15,5,2,0,1 0,4,1,0,0,0,0 0,81,15,5,2,0,1 0,4,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_susan_2015-05-21_15-10-21.pcd 0.0499087 0.00116294 0.000533352 1 11 1 0 1095570 90 140 3 3 90 140 3 3 1095480,74,4,5,1,2,3,0,0,0,0,1 0,3,0,0,0,0,0,0,0,0,0,0 0,74,4,5,1,2,3,0,0,0,0,1 0,3,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_susan_2015-05-21_15-10-28.pcd 0.0515308 0.00124916 0.000627365 1 5 1 0 797810 97 140 1 1 97 140 1 1 797713,71,16,5,3,2 0,1,0,0,0,0 0,71,16,5,3,2 0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_susan_2015-05-21_15-10-37.pcd 0.0384952 0.00168768 0.000487287 1 8 1 -1 809919 87 140 -1 -1 87 140 -1 -1 809832,70,5,3,2,2,3,1,1 -1 0,70,5,3,2,2,3,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_susan_2015-05-21_15-10-49.pcd 0.0536392 0.00105952 0.000632395 1 6 1 0 861300 97 140 3 3 97 140 3 3 861203,75,10,6,4,1,1 0,3,0,0,0,0,0 0,75,10,6,4,1,1 0,3,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_susan_2015-05-21_15-10-59.pcd 0.0634146 0.00138653 0.000407383 1 5 1 1 548856 101 140 5 10 101 140 5 10 548755,79,10,9,1,2 0,3,1,0,0,1 0,79,10,9,1,2 0,3,1,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shot_susan_2015-05-21_15-11-10.pcd 0.053794 0.000731333 0.000407778 1 6 1 0 544500 94 140 1 1 94 140 1 1 544406,73,9,6,0,5,1 0,1,0,0,0,0,0 0,73,9,6,0,5,1 0,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shot_susan_2015-05-21_15-11-19.pcd 0.0502998 0.00098108 0.000579225 1 5 1 0 879002 94 140 1 3 94 140 1 3 878908,66,17,6,3,2 0,0,0,1,0,0 0,66,17,6,3,2 0,0,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shot_susan_2015-05-21_15-11-28.pcd 0.0547193 0.00135534 0.000417977 1 5 1 0 795300 99 140 1 1 99 140 1 1 795201,74,14,7,3,1 0,1,0,0,0,0 0,74,14,7,3,1 0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shot_susan_2015-05-21_15-11-36.pcd 0.0563203 0.000953698 0.000645813 1 5 1 0 858000 101 140 0 0 101 140 0 0 857899,79,9,10,2,1 0,0,0,0,0,0 0,79,9,10,2,1 0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shot_susan_2015-05-21_15-11-46.pcd 0.0560876 0.00171854 0.000613277 1 7 1 0 892296 101 140 9 16 101 140 9 16 892195,81,11,4,3,0,1,1 0,6,2,0,0,0,1,0 0,81,11,4,3,0,1,1 0,6,2,0,0,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shot_susan_2015-05-21_15-11-54.pcd 0.0624913 0.000933425 0.00053522 1 6 1 0 733260 97 140 1 2 97 140 1 2 733163,75,11,6,1,3,1 0,0,1,0,0,0,0 0,75,11,6,1,3,1 0,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shot_susan_2015-05-21_15-12-03.pcd 0.0498083 0.00085946 0.000407684 1 5 1 0 628056 95 140 5 5 95 140 5 5 627961,73,8,8,3,3 0,5,0,0,0,0 0,73,8,8,3,3 0,5,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<shot_susan_2015-05-21_15-12-12.pcd 0.0479356 0.000812715 0.000418315 1 5 1 0 683199 101 140 6 7 101 140 6 7 683098,78,11,9,2,1 0,5,1,0,0,0 0,78,11,9,2,1 0,5,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<shot_susan_2015-05-21_15-12-22.pcd 0.050979 0.000682349 0.000381735 1 7 1 0 541926 97 140 5 9 97 140 5 9 541829,76,11,5,1,2,1,1 0,2,2,1,0,0,0,0 0,76,11,5,1,2,1,1 0,2,2,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<shot_susan_2015-05-21_15-12-31.pcd 0.0624088 0.000940635 0.000519621 1 13 1 0 866250 90 140 3 3 90 140 3 3 866160,71,9,3,3,2,0,1,0,0,0,0,0,1 0,3,0,0,0,0,0,0,0,0,0,0,0,0 0,71,9,3,3,2,0,1,0,0,0,0,0,1 0,3,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<shot_susan_2015-05-21_15-12-42.pcd 0.0609113 0.00103269 0.000470857 1 7 1 0 565488 95 140 4 6 95 140 4 6 565393,70,17,3,2,0,2,1 0,2,2,0,0,0,0,0 0,70,17,3,2,0,2,1 0,2,2,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<shot_susan_2015-05-21_15-12-55.pcd 0.0496812 0.000881732 0.000457917 1 6 1 0 638112 99 140 8 9 99 140 8 9 638013,77,12,5,2,2,1 0,7,1,0,0,0,0 0,77,12,5,2,2,1 0,7,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<shot_susan_2015-05-21_15-13-05.pcd 0.0397208 0.000789332 0.000424055 1 7 1 0 565760 86 140 6 14 86 140 6 14 565674,66,8,4,0,4,2,2 0,3,1,1,0,0,1,0 0,66,8,4,0,4,2,2 0,3,1,1,0,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<shot_susan_2015-05-21_15-13-11.pcd 0.0439817 0.00128567 0.000338687 1 8 1 0 821700 86 140 2 2 86 140 2 2 821614,67,5,6,1,3,3,0,1 0,2,0,0,0,0,0,0,0 0,67,5,6,1,3,3,0,1 0,2,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_30/room_1/features/nonPlanes<shot_susan_2015-05-21_15-13-17.pcd 0.0616339 0.000713012 0.00051638 1 7 1 1 516186 99 140 9 22 99 140 9 22 516087,79,9,5,4,1,0,1 0,4,2,1,1,0,0,1 0,79,9,5,4,1,0,1 0,4,2,1,1,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_30/room_7/features/nonPlanes<shot_susan_2015-05-21_15-13-32.pcd 0.055341 0.00080885 0.000513367 1 5 1 0 614686 97 140 4 6 97 140 4 6 614589,72,12,9,3,1 0,2,2,0,0,0 0,72,12,9,3,1 0,2,2,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_32/room_2/features/nonPlanes<shot_susan_2015-05-21_15-13-39.pcd 0.0605553 0.000788626 0.000653651 1 7 1 0 675886 94 140 3 5 94 140 3 5 675792,72,11,5,3,0,2,1 0,2,0,1,0,0,0,0 0,72,11,5,3,0,2,1 0,2,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_34/room_2/features/nonPlanes<shot_susan_2015-05-21_15-13-54.pcd 0.0521742 0.000765935 0.000587013 1 6 1 0 571200 96 140 10 20 96 140 10 20 571104,73,12,6,2,1,2 0,7,0,1,1,0,1 0,73,12,6,2,1,2 0,7,0,1,1,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_36/room_3/features/nonPlanes<shot_susan_2015-05-21_15-14-03.pcd 0.067489 0.000713476 0.000500497 1 5 1 0 531366 97 140 1 1 97 140 1 1 531269,71,16,4,5,1 0,1,0,0,0,0 0,71,16,4,5,1 0,1,0,0,0,0
