obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<pfhrgb_uniform_2015-05-26_14-54-07.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__38119: 'http://tycho:38119/', host_tycho__39404: 'http://tycho:39404/'}
rosversion: '1.11.10

  '
run_id: 6fefbf0c-06ec-11e5-8651-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-21-27.pcd 1.2137 0.0014553 0.00216639 7 767,376,238,138,128,124,105 63,49,33,25,18,12,14 1,0,0,0,0,0,0 1139050 979 4060 82 690 400 3263 53 651 1138071,385,170,104,56,50,33,40,25,25,13,14,10,6,3,4,3,6,9,2,2,2,2,0,1,1,0,0,1,0,2,0,0,0,0,1,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,20,8,5,4,5,7,8,2,3,2,1,1,1,1,1,1,3,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,0,0,80,56,50,33,40,25,25,13,14,10,6,3,4,3,6,9,2,2,2,2,0,1,1,0,0,1,0,2,0,0,0,0,1,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,0,0,4,4,5,7,8,2,3,2,1,1,1,1,1,1,3,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-23-53.pcd 1.11837 0.00188293 0.00192752 7 562,345,287,186,100,65,58 53,42,34,29,19,12,12 0,0,0,0,1,0,0 1240738 1111 4060 42 137 400 3072 21 106 1239627,456,233,110,72,52,28,42,16,10,11,11,7,5,9,5,7,6,2,5,4,0,2,2,2,1,3,1,0,1,1,0,0,2,1,2,0,0,1,1 0,11,10,7,1,5,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,0,88,72,52,28,42,16,10,11,11,7,5,9,5,7,6,2,5,4,0,2,2,2,1,3,1,0,1,1,0,0,2,1,2,0,0,1,1 0,0,0,7,1,5,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-27-00.pcd 0.998314 0.00419608 0.00280099 8 1130,432,143,117,115,87,73,66 101,35,27,16,15,14,15,14 0,1,0,0,0,0,0,0 1240624 1018 4060 69 581 400 3239 44 545 1239606,437,159,111,73,35,47,36,18,18,8,9,8,5,3,10,4,3,2,5,4,2,2,2,3,1,0,0,0,1,0,1,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1 0,15,9,6,6,2,1,2,3,1,2,3,3,1,0,4,1,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0 0,0,0,89,73,35,47,36,18,18,8,9,8,5,3,10,4,3,2,5,4,2,2,2,3,1,0,0,0,1,0,1,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1 0,0,0,5,6,2,1,2,3,1,2,3,3,1,0,4,1,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-29-05.pcd 1.28239 0.00208423 0.00168029 9 311,279,262,217,194,156,124,88,66 46,30,40,19,19,19,13,15,13 0,0,1,0,0,0,0,0,0 1135060 1110 4060 82 315 400 3059 38 247 1133950,453,223,109,86,50,30,42,16,14,16,13,8,3,2,6,0,6,4,2,2,5,4,2,1,0,0,3,0,0,1,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,25,14,15,6,4,3,2,3,2,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,0,75,86,50,30,42,16,14,16,13,8,3,2,6,0,6,4,2,2,5,4,2,1,0,0,3,0,0,1,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,0,0,10,6,4,3,2,3,2,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-33-01.pcd 0.984659 0.00163922 0.00168074 11 247,236,205,140,137,124,122,103,74,66,55 24,35,37,12,16,13,13,12,12,12,12 0,1,0,0,0,0,0,0,0,0,0 1094400 1156 4060 78 302 400 2999 36 240 1093244,500,207,118,77,68,32,34,14,20,11,9,16,6,10,4,5,3,1,1,4,2,2,2,0,1,0,0,0,0,1,0,1,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,27,10,13,3,10,3,2,2,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,0,69,77,68,32,34,14,20,11,9,16,6,10,4,5,3,1,1,4,2,2,2,0,1,0,0,0,0,1,0,1,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,0,0,8,3,10,3,2,2,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-35-28.pcd 0.956235 0.00151049 0.00200568 8 344,310,294,241,200,198,168,76 38,41,33,20,30,31,24,14 0,0,0,0,0,0,0,0 1264640 971 4060 4 8 400 3175 1 4 1263669,333,162,120,82,49,46,45,22,19,13,16,8,7,7,5,8,5,2,1,1,1,3,2,1,1,2,4,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,0,44,82,49,46,45,22,19,13,16,8,7,7,5,8,5,2,1,1,1,3,2,1,1,2,4,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-36-59.pcd 1.27967 0.00209476 0.00289153 6 319,304,198,127,123,115 39,36,18,13,21,16 0,0,0,0,0,0 1201408 1104 4060 14 64 400 3079 8 55 1200304,459,213,105,71,46,34,43,19,12,18,11,15,11,11,5,1,3,3,7,1,0,1,1,3,2,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1 0,3,3,0,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,0,73,71,46,34,43,19,12,18,11,15,11,11,5,1,3,3,7,1,0,1,1,3,2,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1 0,0,0,0,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-39-34.pcd 1.14141 0.00139647 0.00250985 7 388,359,354,129,109,99,97 50,39,55,19,20,15,13 -1 1186056 1193 4060 -1 -1 400 2956 -1 -1 1184863,516,243,124,67,50,32,34,23,17,15,9,7,8,8,6,7,3,3,5,1,1,2,1,2,0,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1 -1 0,0,0,90,67,50,32,34,23,17,15,9,7,8,8,6,7,3,3,5,1,1,2,1,2,0,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-43-14.pcd 1.18874 0.00126899 0.00185191 7 728,323,270,130,115,101,87 73,45,21,15,13,13,14 1,0,0,0,0,0,0 1120164 1034 4060 108 742 400 3154 63 671 1119130,405,186,114,65,45,46,31,24,20,22,14,12,7,2,6,4,5,3,3,3,2,0,1,3,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,23,18,15,7,7,3,5,4,4,6,1,1,0,0,1,0,3,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,0,0,71,65,45,46,31,24,20,22,14,12,7,2,6,4,5,3,3,3,2,0,1,3,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,0,0,11,7,7,3,5,4,4,6,1,1,0,0,1,0,3,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-46-07.pcd 1.30815 0.0017675 0.00291559 6 994,582,168,154,145,96 85,76,23,13,15,16 1,0,0,0,0,0 1060884 806 4060 92 902 400 3475 71 870 1060078,252,129,82,58,44,56,31,37,17,14,11,8,7,6,2,4,6,6,5,1,3,4,3,4,1,1,0,0,2,0,1,0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1 0,11,9,11,7,4,7,4,3,3,3,2,2,2,2,1,0,3,3,0,1,1,2,2,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1 0,0,0,57,58,44,56,31,37,17,14,11,8,7,6,2,4,6,6,5,1,3,4,3,4,1,1,0,0,2,0,1,0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1 0,0,0,10,7,4,7,4,3,3,3,2,2,2,2,1,0,3,3,0,1,1,2,2,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
