obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_uniform,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<shotcolor_uniform_2015-05-26_14-46-03.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__50449: 'http://tycho:50449/', host_tycho__57236: 'http://tycho:57236/'}
rosversion: '1.11.10

  '
run_id: 04ec35c4-06e1-11e5-ab5e-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_uniform_2015-05-20_21-36-39.pcd 31.363 0.00403398 0.00294658 10 410,228,119,106,85,84,77,61,57,56 57,45,20,16,14,21,23,15,13,13 1,0,0,0,0,0,0,0,0,0 1139050 1927 3720 95 460 400 1882 59 417 1137123,1216,360,138,75,34,30,24,9,7,11,9,2,5,2,1,0,1,1,0,1,1 0,29,9,6,12,5,7,8,2,3,3,3,2,3,1,0,0,0,0,0,1,1 0,0,49,138,75,34,30,24,9,7,11,9,2,5,2,1,0,1,1,0,1,1 0,0,2,6,12,5,7,8,2,3,3,3,2,3,1,0,0,0,0,0,1,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_uniform_2015-05-20_21-36-43.pcd 38.338 0.00166828 0.00182924 6 325,179,122,92,90,80 51,39,25,23,15,17 0,0,0,0,0,0 1240738 2095 3720 50 78 400 1721 11 35 1238643,1391,378,131,75,35,27,16,12,10,5,4,4,2,3,0,1,0,0,1 0,35,7,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,74,131,75,35,27,16,12,10,5,4,4,2,3,0,1,0,0,1 0,0,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_uniform_2015-05-20_21-36-48.pcd 30.2643 0.00137267 0.00148883 11 451,188,140,138,105,104,58,55,51,46,39 44,22,43,24,18,23,15,14,15,12,12 0,0,0,1,0,0,0,0,0,0,0 1240624 1951 3720 58 166 400 1920 25 125 1238673,1302,343,134,45,32,23,13,16,5,9,3,5,2,4,0,1,3,1,0,2,3,0,0,1,1,2,0,0,0,0,0,0,0,1 0,25,10,11,1,2,4,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,94,134,45,32,23,13,16,5,9,3,5,2,4,0,1,3,1,0,2,3,0,0,1,1,2,0,0,0,0,0,0,0,1 0,0,2,11,1,2,4,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_uniform_2015-05-20_21-36-50.pcd 39.1283 0.00251352 0.00187653 7 515,236,155,106,90,76,75 80,40,25,26,14,14,15 1,0,0,0,0,0,0 1135060 1894 3720 117 533 400 1949 69 470 1133166,1217,335,124,71,39,22,21,13,11,15,5,4,5,5,4,1,1,0,1 0,33,16,13,11,9,7,7,4,2,4,0,0,3,3,3,1,1,0,0 0,0,58,124,71,39,22,21,13,11,15,5,4,5,5,4,1,1,0,1 0,0,1,13,11,9,7,7,4,2,4,0,0,3,3,3,1,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_uniform_2015-05-20_21-36-55.pcd 37.5006 0.00103717 0.000923326 7 498,145,134,131,101,84,61 66,22,33,26,17,16,15 1,0,0,0,0,0,0 1094400 2009 3720 111 561 400 1859 69 507 1092391,1357,335,123,62,35,22,18,12,5,17,6,4,3,2,0,3,1,1,1,0,0,1,0,0,0,0,1 0,30,15,11,7,9,7,6,4,4,4,3,2,2,2,0,1,1,1,1,0,0,1,0,0,0,0,0 0,0,83,123,62,35,22,18,12,5,17,6,4,3,2,0,3,1,1,1,0,0,1,0,0,0,0,1 0,0,3,11,7,9,7,6,4,4,4,3,2,2,2,0,1,1,1,1,0,0,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_uniform_2015-05-20_21-36-59.pcd 27.2662 0.142782 0.00187172 7 597,413,87,85,82,80,56 66,55,12,18,14,16,17 0,0,0,0,0,0,0 1264640 1775 3720 9 12 400 2150 1 4 1262865,1180,273,124,60,32,27,14,6,5,5,15,3,1,3,4,1,6,2,1,1,1,2,1,0,3,0,3,0,1,0,0,0,0,0,0,0,1 0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,78,124,60,32,27,14,6,5,5,15,3,1,3,4,1,6,2,1,1,1,2,1,0,3,0,3,0,1,0,0,0,0,0,0,0,1 0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_uniform_2015-05-20_21-37-02.pcd 35.7602 0.00329399 0.00215399 8 269,187,183,135,125,67,47,29 26,18,21,25,14,15,13,12 1,0,0,0,0,0,0,0 1201408 1978 3720 30 267 400 1935 24 260 1199430,1371,302,129,51,37,25,13,7,6,2,6,2,5,3,2,3,2,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1 0,5,3,2,2,1,1,2,2,0,1,1,0,2,1,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0 0,0,95,129,51,37,25,13,7,6,2,6,2,5,3,2,3,2,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1 0,0,2,2,2,1,1,2,2,0,1,1,0,2,1,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_uniform_2015-05-20_21-37-05.pcd 41.7487 0.00369734 0.00164613 6 225,190,74,64,48,46 70,52,19,14,19,16 -1 1186056 2497 3720 -1 -1 400 1326 -1 -1 1183559,1800,414,157,65,31,14,9,5,1,1 -1 0,0,117,157,65,31,14,9,5,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_uniform_2015-05-20_21-37-10.pcd 38.7012 0.00276042 0.00198878 7 477,344,159,76,60,51,40 71,55,32,13,16,17,13 1,0,0,0,0,0,0 1120164 1970 3720 115 527 400 1899 69 469 1118194,1319,312,148,58,40,18,21,9,13,9,3,3,0,4,5,1,2,0,0,2,0,0,1,0,0,0,2 0,34,16,18,4,9,5,11,3,5,3,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,2 0,0,61,148,58,40,18,21,9,13,9,3,3,0,4,5,1,2,0,0,2,0,0,1,0,0,0,2 0,0,4,18,4,9,5,11,3,5,3,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,2
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_uniform_2015-05-20_21-37-14.pcd 35.3778 0.00387211 0.00331497 9 150,142,108,104,95,92,92,85,54 27,31,21,20,17,21,20,12,12 0,0,0,0,0,0,0,0,0 1060884 2020 3720 50 103 400 1776 13 56 1058864,1296,380,149,71,33,23,21,14,6,11,5,5,1,1,0,3,1 0,27,14,4,1,1,0,1,0,0,2,0,0,0,0,0,0,0 0,0,56,149,71,33,23,21,14,6,11,5,5,1,1,0,3,1 0,0,4,4,1,1,0,1,0,0,2,0,0,0,0,0,0,0
