obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/hanger_jacket/features/rgb_0002_label_hanger_jacket<pfhrgb_iss_2015-05-26_15-03-02.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__55977: 'http://tycho:55977/'}
rosversion: '1.11.10

  '
run_id: ad550886-0726-11e5-b733-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_iss_2015-05-21_14-06-46.pcd 0.147969 0.00142041 0.00179888 10 76,46,36,35,31,28,26,23,17,14 30,18,13,12,13,20,13,17,14,12 -1 1114084 416 750 -1 -1 400 734 -1 -1 1113668,250,95,28,18,10,6,5,3,1 -1 0,234,95,28,18,10,6,5,3,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_iss_2015-05-21_14-07-41.pcd 0.157255 0.00335902 0.00156809 7 52,42,41,36,28,23,21 16,17,17,21,17,15,13 0,0,0,0,0,0,0 1112412 401 750 2 3 400 749 2 3 1112011,249,75,29,18,14,7,3,1,2,1,1,1 0,1,1,0,0,0,0,0,0,0,0,0,0 0,248,75,29,18,14,7,3,1,2,1,1,1 0,1,1,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_iss_2015-05-21_14-08-36.pcd 0.116374 0.00167012 0.00110305 4 246,48,34,29 89,27,12,20 0,0,0,0 1205512 383 750 47 169 383 750 47 169 1205129,227,74,34,19,10,6,6,3,2,1,0,0,0,0,0,0,1 0,15,9,7,1,4,2,4,2,2,0,0,0,0,0,0,0,1 0,227,74,34,19,10,6,6,3,2,1,0,0,0,0,0,0,1 0,15,9,7,1,4,2,4,2,2,0,0,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_iss_2015-05-21_14-09-05.pcd 0.113599 0.00123672 0.0015875 6 55,44,29,27,22,17 32,24,13,13,14,13 -1 1096908 450 750 -1 -1 400 700 -1 -1 1096458,290,96,30,14,8,6,3,2,1 -1 0,240,96,30,14,8,6,3,2,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_iss_2015-05-21_14-10-14.pcd 0.11501 0.00153523 0.00156171 5 128,70,51,29,23 36,42,15,16,14 1,0,0,0,0 1072170 377 750 24 91 377 750 24 91 1071793,212,86,30,20,9,7,6,3,0,2,1,1 0,5,6,2,4,1,2,2,0,0,1,1,0 0,212,86,30,20,9,7,6,3,0,2,1,1 0,5,6,2,4,1,2,2,0,0,1,1,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_iss_2015-05-21_14-10-50.pcd 0.113508 0.00132873 0.00226786 4 133,75,38,24 41,33,28,13 1,0,0,0 1205360 388 750 24 80 388 750 24 80 1204972,230,80,28,20,12,7,5,4,0,0,1,0,0,0,0,1 0,10,4,2,3,0,1,2,1,0,0,0,0,0,0,0,1 0,230,80,28,20,12,7,5,4,0,0,1,0,0,0,0,1 0,10,4,2,3,0,1,2,1,0,0,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_iss_2015-05-21_14-11-15.pcd 0.115601 0.00138512 0.00164453 8 87,63,35,30,26,26,21,21 28,33,23,18,17,15,15,13 0,0,0,0,0,0,0,0 1169792 392 750 8 35 392 750 8 35 1169400,235,79,33,15,11,8,6,1,1,1,0,1,0,1 0,2,1,0,2,1,1,0,0,0,0,0,1,0,0 0,235,79,33,15,11,8,6,1,1,1,0,1,0,1 0,2,1,0,2,1,1,0,0,0,0,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_iss_2015-05-21_14-11-52.pcd 0.072534 0.0011847 0.00124268 7 246,76,65,58,48,38,17 67,25,17,21,17,16,14 -1 1120164 294 750 -1 -1 294 750 -1 -1 1119870,141,60,34,20,9,7,10,1,0,3,3,1,4,0,1 -1 0,141,60,34,20,9,7,10,1,0,3,3,1,4,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_iss_2015-05-21_14-13-00.pcd 0.131295 0.00144839 0.0016554 7 104,60,56,43,34,27,18 38,31,28,20,18,20,14 1,0,0,0,0,0,0 1030788 419 750 19 66 400 731 19 66 1030369,261,84,37,16,7,3,5,2,2,1,0,0,0,1 0,6,4,3,2,1,0,1,0,1,0,0,0,0,1 0,242,84,37,16,7,3,5,2,2,1,0,0,0,1 0,6,4,3,2,1,0,1,0,1,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfhrgb_iss_2015-05-21_14-13-46.pcd 0.119312 0.00122068 0.0016184 4 167,52,49,30 40,18,26,20 1,0,0,0 1020376 353 750 30 119 353 750 30 119 1020023,205,62,33,22,7,6,10,2,0,1,0,2,0,2,1 0,7,5,5,5,1,2,3,0,0,0,0,0,0,1,1 0,205,62,33,22,7,6,10,2,0,1,0,2,0,2,1 0,7,5,5,5,1,2,3,0,0,0,0,0,0,1,1
