obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_susan,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/hanger_jacket/features/rgb_0002_label_hanger_jacket<shotcolor_susan_2015-05-26_15-08-12.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__41703: 'http://tycho:41703/'}
rosversion: '1.11.10

  '
run_id: c7ee2d84-0727-11e5-8587-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-38.pcd 0.504088 0.00228576 0.00108055 2 58,43 27,24 -1 665754 180 320 -1 -1 180 320 -1 -1 665574,111,31,25,5,5,2,0,0,0,0,0,0,0,0,1 -1 0,111,31,25,5,5,2,0,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-38.pcd 0.679437 0.0011226 0.00121609 6 71,50,34,29,25,24 25,20,21,20,19,12 0,0,0,0,0,0 908656 180 320 0 0 180 320 0 0 908476,111,39,12,9,3,3,1,0,1,1 0,0,0,0,0,0,0,0,0,0,0 0,111,39,12,9,3,3,1,0,1,1 0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-40.pcd 0.493271 0.000961221 0.000825723 3 102,52,37 38,28,16 0,0,0 853128 175 320 1 1 175 320 1 1 852953,111,30,14,10,2,2,4,1,1 0,1,0,0,0,0,0,0,0,0 0,111,30,14,10,2,2,4,1,1 0,1,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-40.pcd 0.784826 0.00113567 0.00131756 5 60,41,36,26,22 35,25,18,14,13 -1 988788 205 320 -1 -1 205 320 -1 -1 988583,135,43,14,9,3,1 -1 0,135,43,14,9,3,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-41.pcd 0.480488 0.000974171 0.000726971 2 52,26 13,17 0,0 889644 179 320 2 6 179 320 2 6 889465,123,22,13,9,6,0,4,1,0,0,0,1 0,1,0,0,0,1,0,0,0,0,0,0,0 0,123,22,13,9,6,0,4,1,0,0,0,1 0,1,0,0,0,1,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-42.pcd 0.472346 0.000943591 0.000900302 3 60,52,31 20,12,18 0,0,0 1095570 164 320 0 0 164 320 0 0 1095406,98,38,10,5,4,3,2,0,1,0,2,0,1 0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,98,38,10,5,4,3,2,0,1,0,2,0,1 0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-43.pcd 0.439242 0.000924431 0.000954653 2 122,42 61,28 0,0 797810 189 320 0 0 189 320 0 0 797621,124,37,11,5,6,4,1,1 0,0,0,0,0,0,0,0,0 0,124,37,11,5,6,4,1,1 0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-44.pcd 0.330621 0.000925172 0.00063304 3 137,84,18 46,29,15 -1 809919 131 320 -1 -1 131 320 -1 -1 809788,71,18,15,11,4,2,2,4,2,0,0,1,0,0,0,1 -1 0,71,18,15,11,4,2,2,4,2,0,0,1,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-45.pcd 0.624346 0.000944944 0.00112316 3 96,64,28 29,38,18 0,0,0 861300 190 320 0 0 190 320 0 0 861110,129,30,14,9,3,2,1,0,1,1 0,0,0,0,0,0,0,0,0,0,0 0,129,30,14,9,3,2,1,0,1,1 0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-45.pcd 0.703721 0.000693679 0.00125412 4 60,43,40,38 33,19,18,18 0,0,0,0 548856 188 320 0 0 188 320 0 0 548668,126,30,12,7,9,3,1 0,0,0,0,0,0,0,0 0,126,30,12,7,9,3,1 0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-46.pcd 0.578125 0.000766724 0.00118946 5 43,40,33,31,24 12,13,18,17,13 0,0,0,0,0 544500 186 320 4 9 186 320 4 9 544314,119,37,15,7,4,2,0,0,0,1,0,1 0,2,0,1,1,0,0,0,0,0,0,0,0 0,119,37,15,7,4,2,0,0,0,1,0,1 0,2,0,1,1,0,0,0,0,0,0,0,0
