obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/hanger_jacket/features/rgb_0002_label_hanger_jacket<pfhrgb_uniform_2015-05-26_14-51-30.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__48291: 'http://tycho:48291/'}
rosversion: '1.11.10

  '
run_id: a0c6bfa6-0721-11e5-ba91-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-21-27.pcd 0.53383 0.00135489 0.00177358 6 89,81,58,48,43,24 22,17,24,13,16,12 -1 1139050 736 1430 -1 -1 400 1094 -1 -1 1138314,455,145,49,34,17,8,9,7,5,2,0,0,0,1,0,2,0,0,1,1 -1 0,119,145,49,34,17,8,9,7,5,2,0,0,0,1,0,2,0,0,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-23-53.pcd 0.573616 0.0013624 0.00159136 7 127,124,48,40,38,38,20 42,32,18,14,22,16,13 0,0,0,0,0,0,0 1240738 763 1430 7 16 400 1067 4 13 1239975,440,172,70,36,20,8,9,5,0,0,0,0,1,2 0,3,2,1,0,0,1,0,0,0,0,0,0,0,0 0,77,172,70,36,20,8,9,5,0,0,0,0,1,2 0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-27-00.pcd 0.472783 0.0205559 0.00181138 4 380,59,59,27 89,22,18,13 1,0,0,0 1240624 694 1430 53 301 400 1136 44 292 1239930,414,149,48,26,17,5,8,7,5,4,3,0,3,0,2,0,0,2,0,1 0,12,9,5,4,3,0,2,5,3,1,2,0,2,0,2,0,0,2,0,1 0,120,149,48,26,17,5,8,7,5,4,3,0,3,0,2,0,0,2,0,1 0,3,9,5,4,3,0,2,5,3,1,2,0,2,0,2,0,0,2,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-29-05.pcd 0.564297 0.00119178 0.00229073 7 47,42,34,30,28,25,24 21,18,16,12,18,12,17 -1 1135060 888 1430 -1 -1 400 942 -1 -1 1134172,596,169,62,28,17,9,2,1,3,1 -1 0,108,169,62,28,17,9,2,1,3,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-33-01.pcd 0.455416 0.00125238 0.0017003 5 341,53,31,31,27 69,33,18,12,16 1,0,0,0,0 1094400 763 1430 55 278 400 1067 43 266 1093637,474,148,64,28,21,8,5,4,3,2,0,0,2,2,0,1,0,0,1 0,13,8,2,9,4,4,4,1,2,2,0,0,2,2,0,1,0,0,1 0,111,148,64,28,21,8,5,4,3,2,0,0,2,2,0,1,0,0,1 0,1,8,2,9,4,4,4,1,2,2,0,0,2,2,0,1,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-35-28.pcd 0.485856 0.00137774 0.00163747 5 219,85,58,41,24 43,29,23,14,12 1,0,0,0,0 1264640 705 1430 48 206 400 1125 33 191 1263935,391,169,66,27,16,12,6,3,2,1,4,2,4,1,1 0,15,8,6,4,3,0,4,1,0,0,1,2,2,1,1 0,86,169,66,27,16,12,6,3,2,1,4,2,4,1,1 0,0,8,6,4,3,0,4,1,0,0,1,2,2,1,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-36-59.pcd 0.487597 0.0012151 0.00167821 7 76,70,68,61,57,57,31 21,28,22,17,20,14,16 0,0,0,0,0,1,0 1201408 765 1430 15 42 400 1065 11 38 1200643,453,161,69,41,14,11,4,3,3,3,0,1,1,1 0,4,3,5,2,0,0,0,0,1,0,0,0,0,0 0,88,161,69,41,14,11,4,3,3,3,0,1,1,1 0,0,3,5,2,0,0,0,0,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-39-34.pcd 0.459407 0.0013032 0.00173014 7 425,111,104,95,49,48,34 102,28,34,37,17,23,13 -1 1186056 590 1430 -1 -1 400 1240 -1 -1 1185466,291,128,72,32,14,10,11,11,6,4,3,1,2,3,0,0,0,1,1 -1 0,101,128,72,32,14,10,11,11,6,4,3,1,2,3,0,0,0,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-43-14.pcd 0.516013 0.00113097 0.00170179 5 216,111,38,31,29 56,43,20,17,14 0,0,0,0,0 1120164 808 1430 26 117 400 1022 19 110 1119356,525,151,56,37,11,10,5,5,2,0,1,2,1,1,0,0,1 0,7,5,2,3,0,2,2,2,1,0,0,0,0,1,0,0,1 0,117,151,56,37,11,10,5,5,2,0,1,2,1,1,0,0,1 0,0,5,2,3,0,2,2,2,1,0,0,0,0,1,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-21_09-46-07.pcd 0.469206 0.00118659 0.00245859 6 265,80,49,42,37,32 61,18,23,13,18,16 1,0,0,0,0,0 1060884 753 1430 56 217 400 1077 43 204 1060131,452,139,74,32,22,18,5,6,4,0,0,0,1 0,13,7,9,6,5,8,4,2,1,0,0,0,1 0,99,139,74,32,22,18,5,6,4,0,0,0,1 0,0,7,9,6,5,8,4,2,1,0,0,0,1
