obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/hanger_jacket/features/rgb_0002_label_hanger_jacket<shot_uniform_2015-05-26_14-45-47.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__38453: 'http://tycho:38453/'}
rosversion: '1.11.10

  '
run_id: 38d91d24-0719-11e5-9c81-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_uniform_2015-05-20_21-31-52.pcd 3.26345 0.0037453 0.00182987 6 67,29,25,25,24,23 51,18,20,16,19,18 -1 1139050 1190 1410 -1 -1 400 620 -1 -1 1137860,1006,153,26,5 -1 0,216,153,26,5 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_uniform_2015-05-20_21-31-55.pcd 2.90449 0.000801242 0.000919618 8 84,36,30,28,20,19,18,13 65,26,22,20,18,16,14,12 0,0,0,0,0,0,0,0 1240738 1217 1410 16 21 400 593 4 9 1239521,1054,136,24,3 0,12,3,1,0 0,237,136,24,3 0,0,3,1,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_uniform_2015-05-20_21-31-59.pcd 3.09409 0.00129588 0.00091092 8 82,47,35,35,28,26,20,15 63,18,25,23,19,16,16,12 0,1,0,0,0,0,0,0 1240624 1171 1410 32 60 400 639 17 45 1239453,973,163,30,4,1 0,15,9,6,1,1 0,202,163,30,4,1 0,0,9,6,1,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-02.pcd 3.78151 0.0040279 0.00177382 6 54,45,36,27,19,17 46,33,24,23,16,15 -1 1135060 1229 1410 -1 -1 400 581 -1 -1 1133831,1078,130,15,3,3 -1 0,249,130,15,3,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-06.pcd 2.82568 0.00147377 0.000932654 7 60,59,22,17,16,16,16 47,52,19,15,13,12,12 0,0,0,0,0,0,0 1094400 1233 1410 20 27 400 577 7 14 1093167,1082,130,17,3,1 0,13,7,0,0,0 0,249,130,17,3,1 0,0,7,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-09.pcd 2.32135 0.00212278 0.00168347 7 169,67,31,27,23,21,20 104,37,19,18,16,13,13 0,0,0,0,0,0,0 1264640 1124 1410 20 23 400 686 2 5 1263516,912,154,46,9,2,1 0,18,1,1,0,0,0 0,188,154,46,9,2,1 0,0,1,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-11.pcd 2.20146 0.0014534 0.00166599 6 65,43,24,23,17,15 47,35,21,19,14,12 0,0,0,0,0,0 1201408 1198 1410 23 30 400 612 6 13 1200210,1016,158,19,4,1 0,17,5,1,0,0 0,218,158,19,4,1 0,0,5,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_uniform_2015-05-20_21-32-13.pcd 4.24339 0.00176409 0.00268585 7 62,25,19,19,17,16,15 44,20,16,15,12,13,13 -1 1186056 1199 1410 -1 -1 400 611 -1 -1 1184857,1025,145,24,2,3 -1 0,226,145,24,2,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-17.pcd 2.3952 0.000951552 0.000929798 9 85,50,41,40,29,25,24,22,12 67,42,18,29,17,21,15,19,12 0,0,0,0,0,0,0,0,0 1120164 1225 1410 6 6 400 585 0 0 1118939,1073,123,25,4 0,6,0,0,0 0,248,123,25,4 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_uniform_2015-05-20_21-32-20.pcd 2.61006 0.00296487 0.00208508 5 83,40,30,28,17 62,27,23,16,17 0,0,0,0,0 1060884 1198 1410 22 24 400 612 2 4 1059686,1017,154,24,2,1 0,20,2,0,0,0 0,219,154,24,2,1 0,0,2,0,0,0
