obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_uniform,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/laptop1/features/rgb_0012_label_laptop1<shotcolor_uniform_2015-05-26_14-46-00.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__38071: 'http://tycho:38071/'}
rosversion: '1.11.10

  '
run_id: d8cf23de-072b-11e5-81b4-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_uniform_2015-05-20_21-36-39.pcd 12.3899 0.00192585 0.00192083 9 91,49,39,34,31,29,26,19,14 49,32,15,17,15,16,20,14,12 0,0,0,1,0,0,0,0,0 1139050 985 1280 26 43 400 695 17 34 1138065,798,119,45,12,6,4,1 0,18,3,3,1,0,1,0 0,213,119,45,12,6,4,1 0,9,3,3,1,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_uniform_2015-05-20_21-36-43.pcd 11.8886 0.00270878 0.00167336 5 70,62,53,46,37 41,43,34,32,21 -1 1240738 1033 1280 -1 -1 400 647 -1 -1 1239705,845,141,36,10,1 -1 0,212,141,36,10,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_uniform_2015-05-20_21-36-48.pcd 12.1249 0.00334628 0.00240831 7 88,52,48,45,41,35,25 50,28,13,21,25,23,16 -1 1240624 977 1280 -1 -1 400 703 -1 -1 1239647,777,136,44,10,6,1,1,2 -1 0,200,136,44,10,6,1,1,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_uniform_2015-05-20_21-36-50.pcd 12.5803 0.00169386 0.001679 8 89,69,37,36,30,26,21,16 40,40,25,22,20,16,18,13 0,0,0,0,0,0,0,0 1135060 1017 1280 7 7 400 663 0 0 1134043,844,119,35,10,4,3,1,1 0,7,0,0,0,0,0,0,0 0,227,119,35,10,4,3,1,1 0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_uniform_2015-05-20_21-36-55.pcd 10.4872 0.00165826 0.00176246 8 89,59,58,45,39,30,23,20 43,47,34,16,27,15,14,12 0,0,0,0,0,0,0,0 1094400 1032 1280 13 16 400 648 3 6 1093368,861,124,28,13,3,2,0,1 0,10,3,0,0,0,0,0,0 0,229,124,28,13,3,2,0,1 0,0,3,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_uniform_2015-05-20_21-36-59.pcd 9.86255 0.00289359 0.00178492 7 123,107,89,49,29,29,20 42,49,54,29,22,14,17 0,0,0,0,0,0,0 1264640 906 1280 13 17 400 774 4 8 1263734,692,124,56,17,8,5,1,1,1,1 0,9,4,0,0,0,0,0,0,0,0 0,186,124,56,17,8,5,1,1,1,1 0,0,4,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_uniform_2015-05-20_21-37-02.pcd 9.91126 0.00163978 0.00167157 7 62,45,36,34,29,19,18 34,32,26,18,15,16,13 -1 1201408 1015 1280 -1 -1 400 665 -1 -1 1200393,830,138,28,12,4,2,0,0,0,1 -1 0,215,138,28,12,4,2,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_uniform_2015-05-20_21-37-05.pcd 12.1669 0.0031175 0.00243627 5 113,61,32,20,15 46,31,19,18,13 -1 1186056 1005 1280 -1 -1 400 675 -1 -1 1185051,829,123,27,14,7,2,3 -1 0,224,123,27,14,7,2,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_uniform_2015-05-20_21-37-10.pcd 10.3976 0.00198333 0.000874012 5 71,67,51,48,16 40,32,30,35,15 0,0,0,0,0 1120164 1023 1280 26 35 400 657 6 15 1119141,844,129,34,11,3,1,0,0,0,0,1 0,20,4,1,1,0,0,0,0,0,0,0 0,221,129,34,11,3,1,0,0,0,0,1 0,0,4,1,1,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_uniform_2015-05-20_21-37-14.pcd 14.194 0.00161035 0.00244556 6 56,51,33,31,29,23 35,35,23,13,20,15 -1 1060884 1038 1280 -1 -1 400 642 -1 -1 1059846,866,123,32,13,4 -1 0,228,123,32,13,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shotcolor_uniform_2015-05-20_21-37-18.pcd 9.28732 0.00284219 0.00162545 8 86,50,38,30,30,22,19,16 42,24,16,28,16,12,13,12 0,0,0,0,0,0,0,0 1165840 986 1280 16 26 400 694 7 17 1164854,789,133,42,15,4,2,1 0,9,4,3,0,0,0,0 0,203,133,42,15,4,2,1 0,0,4,3,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shotcolor_uniform_2015-05-20_21-37-21.pcd 9.19701 0.00295856 0.000959159 9 116,41,28,27,27,21,17,15,13 55,29,17,18,18,16,15,14,12 -1 1150032 995 1280 -1 -1 400 685 -1 -1 1149037,800,131,46,13,3,1,1 -1 0,205,131,46,13,3,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shotcolor_uniform_2015-05-20_21-37-24.pcd 11.3248 0.00142169 0.00163159 7 83,68,48,30,30,20,20 60,42,23,26,21,16,15 -1 1093032 1027 1280 -1 -1 400 653 -1 -1 1092005,840,140,33,11,1,2 -1 0,213,140,33,11,1,2 -1
