obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_sift, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/pillow/features/rgb_0003_label_pillow<pfh_sift_2015-05-26_15-11-50.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__49154: 'http://tycho:49154/'}
rosversion: '1.11.10

  '
run_id: 16cc9638-074c-11e5-a930-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_sift_2015-05-21_16-25-16.pcd 0.00029461 0.00308455 0.000269036 1 5 1 -1 1098900 42 70 -1 -1 42 70 -1 -1 1098858,26,10,2,2,2 -1 0,26,10,2,2,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_sift_2015-05-21_16-25-18.pcd 0.000333376 0.000914663 0.000229192 1 3 1 -1 1112412 52 70 -1 -1 52 70 -1 -1 1112360,36,14,2 -1 0,36,14,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_sift_2015-05-21_16-25-22.pcd 0.000371091 0.0032654 0.000202873 1 3 1 -1 1139924 47 70 -1 -1 47 70 -1 -1 1139877,33,5,9 -1 0,33,5,9 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_sift_2015-05-21_16-25-24.pcd 0.000304816 0.00284671 0.000200815 1 3 1 0 1096908 52 70 2 2 52 70 2 2 1096856,39,8,5 0,2,0,0 0,39,8,5 0,2,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_sift_2015-05-21_16-25-27.pcd 0.000375928 0.000998185 0.000201844 1 5 1 -1 1079694 52 70 -1 -1 52 70 -1 -1 1079642,42,5,3,1,1 -1 0,42,5,3,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_sift_2015-05-21_16-25-29.pcd 0.000303087 0.00319163 0.000222989 1 4 1 -1 1205360 44 70 -1 -1 44 70 -1 -1 1205316,29,8,3,4 -1 0,29,8,3,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_sift_2015-05-21_16-25-29.pcd 0.000394389 0.00349424 0.00018535 1 5 1 -1 1185942 47 70 -1 -1 47 70 -1 -1 1185895,33,8,4,1,1 -1 0,33,8,4,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_sift_2015-05-21_16-25-32.pcd 0.00031033 0.00317438 0.000185035 1 5 1 -1 1155238 47 70 -1 -1 47 70 -1 -1 1155191,31,12,2,1,1 -1 0,31,12,2,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_sift_2015-05-21_16-25-34.pcd 0.000371806 0.00108872 0.000203849 1 4 1 -1 1101506 50 70 -1 -1 50 70 -1 -1 1101456,36,9,4,1 -1 0,36,9,4,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfh_sift_2015-05-21_16-25-37.pcd 0.0003446 0.00301936 0.000252793 1 4 1 0 1057122 50 70 2 3 50 70 2 3 1057072,38,7,2,3 0,1,1,0,0 0,38,7,2,3 0,1,1,0,0
