obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_sift, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/pillow/features/rgb_0003_label_pillow<shot_sift_2015-05-26_15-10-09.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__45874: 'http://tycho:45874/'}
rosversion: '1.11.10

  '
run_id: c6d9c222-074b-11e5-879a-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_sift_2015-05-21_16-18-09.pcd 0.00499089 0.00332867 0.000308389 1 2 1 -1 1098900 55 70 -1 -1 55 70 -1 -1 1098845,40,15 -1 0,40,15 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_sift_2015-05-21_16-18-15.pcd 0.00662693 0.00103417 0.000228644 1 4 1 -1 1112412 54 70 -1 -1 54 70 -1 -1 1112358,40,13,0,1 -1 0,40,13,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_sift_2015-05-21_16-18-21.pcd 0.00500329 0.00302443 0.000233131 1 4 1 -1 1139924 53 70 -1 -1 53 70 -1 -1 1139871,38,14,0,1 -1 0,38,14,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_sift_2015-05-21_16-18-26.pcd 0.00533545 0.00286638 0.000197701 1 4 1 0 1096908 53 70 0 0 53 70 0 0 1096855,38,14,0,1 0,0,0,0,0 0,38,14,0,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_sift_2015-05-21_16-18-32.pcd 0.00470555 0.00103121 0.000233615 1 2 1 -1 1079694 53 70 -1 -1 53 70 -1 -1 1079641,36,17 -1 0,36,17 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_sift_2015-05-21_16-18-35.pcd 0.00422606 0.00366892 0.000267774 1 2 1 -1 1205360 55 70 -1 -1 55 70 -1 -1 1205305,40,15 -1 0,40,15 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_sift_2015-05-21_16-18-39.pcd 0.00519327 0.00320949 0.000250023 1 4 1 -1 1185942 55 70 -1 -1 55 70 -1 -1 1185887,42,12,0,1 -1 0,42,12,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_sift_2015-05-21_16-18-43.pcd 0.00488832 0.00315352 0.000211473 1 3 1 -1 1155238 57 70 -1 -1 57 70 -1 -1 1155181,45,11,1 -1 0,45,11,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_sift_2015-05-21_16-18-50.pcd 0.0046458 0.000920355 0.000252679 1 4 1 -1 1101506 51 70 -1 -1 51 70 -1 -1 1101455,35,14,1,1 -1 0,35,14,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_sift_2015-05-21_16-18-55.pcd 0.00466936 0.00307485 0.000199485 1 4 1 0 1057122 52 70 1 2 52 70 1 2 1057070,37,13,1,1 0,0,1,0,0 0,37,13,1,1 0,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shot_sift_2015-05-21_16-19-00.pcd 0.00443216 0.00290588 0.000215448 1 4 1 0 1143420 58 70 0 0 58 70 0 0 1143362,48,9,0,1 0,0,0,0,0 0,48,9,0,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shot_sift_2015-05-21_16-19-05.pcd 0.00440922 0.00347401 0.000212044 1 2 1 -1 1150032 55 70 -1 -1 55 70 -1 -1 1149977,40,15 -1 0,40,15 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shot_sift_2015-05-21_16-19-10.pcd 0.00439778 0.00292247 0.000261346 1 2 1 -1 1070802 61 70 -1 -1 61 70 -1 -1 1070741,52,9 -1 0,52,9 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shot_sift_2015-05-21_16-19-16.pcd 0.00488969 0.00319838 0.000245049 1 2 1 -1 1150678 54 70 -1 -1 54 70 -1 -1 1150624,38,16 -1 0,38,16 -1
