obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/pillow/features/rgb_0003_label_pillow<pfhrgb_susan_2015-05-26_15-09-32.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__36923: 'http://tycho:36923/'}
rosversion: '1.11.10

  '
run_id: 9887b44c-074b-11e5-9e00-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_susan_2015-05-21_15-44-15.pcd 0.000608598 0.00242783 0.000254379 1 1 1 -1 665754 10 10 -1 -1 10 10 -1 -1 665744,10 -1 0,10 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_susan_2015-05-21_15-44-32.pcd 0.000702006 0.00101893 0.000111699 1 2 1 -1 908656 9 10 -1 -1 9 10 -1 -1 908647,8,1 -1 0,8,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_susan_2015-05-21_15-44-51.pcd 0.000572183 0.000926657 9.872e-05 1 2 1 -1 853128 9 10 -1 -1 9 10 -1 -1 853119,8,1 -1 0,8,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_susan_2015-05-21_15-45-04.pcd 0.000629048 0.00146871 9.1418e-05 1 2 1 0 988788 9 10 0 0 9 10 0 0 988779,8,1 0,0,0 0,8,1 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_susan_2015-05-21_15-45-30.pcd 0.000436038 0.00130343 0.000114973 1 1 1 -1 889644 10 10 -1 -1 10 10 -1 -1 889634,10 -1 0,10 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_susan_2015-05-21_15-45-43.pcd 0.000695716 0.00104245 9.732e-05 1 2 1 -1 1095570 9 10 -1 -1 9 10 -1 -1 1095561,8,1 -1 0,8,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_susan_2015-05-21_15-45-53.pcd 0.000466367 0.000936147 8.8611e-05 1 2 1 -1 797810 8 10 -1 -1 8 10 -1 -1 797802,6,2 -1 0,6,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_susan_2015-05-21_15-46-08.pcd 0.000305137 0.000849799 8.8925e-05 1 1 1 -1 809919 10 10 -1 -1 10 10 -1 -1 809909,10 -1 0,10 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_susan_2015-05-21_15-46-22.pcd 0.000467616 0.00116989 8.6459e-05 1 2 1 -1 861300 8 10 -1 -1 8 10 -1 -1 861292,6,2 -1 0,6,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfhrgb_susan_2015-05-21_15-46-37.pcd 0.000692722 0.00119514 0.000101373 1 2 1 0 548856 9 10 0 0 9 10 0 0 548847,8,1 0,0,0 0,8,1 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<pfhrgb_susan_2015-05-21_15-46-56.pcd 0.00049174 0.00112251 0.00011021 1 1 1 0 544500 10 10 0 0 10 10 0 0 544490,10 0,0 0,10 0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<pfhrgb_susan_2015-05-21_15-47-11.pcd 0.000659902 0.000959698 9.9265e-05 1 3 1 -1 879002 8 10 -1 -1 8 10 -1 -1 878994,7,0,1 -1 0,7,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<pfhrgb_susan_2015-05-21_15-47-26.pcd 0.000569002 0.00117653 9.9432e-05 1 1 1 -1 795300 10 10 -1 -1 10 10 -1 -1 795290,10 -1 0,10 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<pfhrgb_susan_2015-05-21_15-47-40.pcd 0.000336589 0.00116635 0.000106361 1 2 1 -1 858000 9 10 -1 -1 9 10 -1 -1 857991,8,1 -1 0,8,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<pfhrgb_susan_2015-05-21_15-47-57.pcd 0.000442168 0.000973943 0.000113601 1 1 1 0 892296 10 10 0 0 10 10 0 0 892286,10 0,0 0,10 0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<pfhrgb_susan_2015-05-21_15-48-08.pcd 0.0010956 0.00167368 0.000106769 1 2 1 -1 733260 9 10 -1 -1 9 10 -1 -1 733251,8,1 -1 0,8,1 -1
