obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/pillow/features/rgb_0003_label_pillow<pfh_uniform_2015-05-26_14-47-26.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__38809: 'http://tycho:38809/'}
rosversion: '1.11.10

  '
run_id: 145bb0d6-0743-11e5-b34e-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_uniform_2015-05-20_21-41-25.pcd 0.0443577 0.00155682 0.00268699 7 166,68,60,44,42,36,23 74,28,21,15,14,17,12 -1 1139050 825 1380 -1 -1 400 955 -1 -1 1138225,526,172,67,25,21,4,5,3,1,0,0,1 -1 0,101,172,67,25,21,4,5,3,1,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_uniform_2015-05-20_21-43-42.pcd 0.0514138 0.00367052 0.00198647 3 229,104,77 90,51,26 -1 1240738 892 1380 -1 -1 400 888 -1 -1 1239846,602,167,79,26,12,1,3,2 -1 0,110,167,79,26,12,1,3,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_uniform_2015-05-20_21-46-22.pcd 0.0489927 0.00163098 0.00269922 5 166,158,50,29,21 57,78,16,14,13 -1 1240624 861 1380 -1 -1 400 919 -1 -1 1239763,560,183,67,26,12,7,4,1,0,0,1 -1 0,99,183,67,26,12,7,4,1,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_uniform_2015-05-20_21-47-59.pcd 0.0519189 0.00122218 0.00173303 5 135,87,43,41,27 62,34,25,16,17 1,0,0,0,0 1135060 922 1380 48 90 400 858 38 80 1134138,643,172,63,30,8,3,1,1,0,0,1 0,24,15,7,0,0,0,1,1,0,0,0 0,121,172,63,30,8,3,1,1,0,0,1 0,14,15,7,0,0,0,1,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_uniform_2015-05-20_21-51-13.pcd 0.0382444 0.00143774 0.00164282 8 145,81,71,46,41,38,35,17 60,41,26,18,21,13,14,12 -1 1094400 859 1380 -1 -1 400 921 -1 -1 1093541,580,166,55,22,18,8,5,3,2 -1 0,121,166,55,22,18,8,5,3,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_uniform_2015-05-20_21-53-07.pcd 0.040595 0.00164553 0.00180749 7 123,91,59,48,38,32,16 47,38,27,17,15,12,12 -1 1264640 760 1380 -1 -1 400 1020 -1 -1 1263880,466,141,72,32,25,14,6,1,2,0,1 -1 0,106,141,72,32,25,14,6,1,2,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_uniform_2015-05-20_21-54-18.pcd 0.0397218 0.00160763 0.00187744 4 165,76,41,37 69,32,23,18 -1 1201408 869 1380 -1 -1 400 911 -1 -1 1200539,583,170,53,38,12,7,4,2 -1 0,114,170,53,38,12,7,4,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_uniform_2015-05-20_21-56-06.pcd 0.0502373 0.00154461 0.0018977 6 107,70,62,55,49,19 35,31,27,23,14,12 -1 1186056 827 1380 -1 -1 400 953 -1 -1 1185229,532,159,66,41,18,6,2,0,2,1 -1 0,105,159,66,41,18,6,2,0,2,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_uniform_2015-05-20_21-58-56.pcd 0.0420486 0.0014435 0.00168055 5 124,111,74,34,26 47,51,32,20,13 -1 1120164 864 1380 -1 -1 400 916 -1 -1 1119300,582,156,68,27,19,8,1,3 -1 0,118,156,68,27,19,8,1,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfh_uniform_2015-05-20_22-00-52.pcd 0.0405931 0.00127743 0.000802076 8 99,88,81,57,41,36,28,24 34,33,32,23,19,16,13,12 0,0,0,0,0,0,0,0 1060884 786 1380 28 71 400 994 19 62 1060098,504,142,63,31,22,10,8,3,2,0,1 0,9,6,7,4,0,1,1,0,0,0,0 0,118,142,63,31,22,10,8,3,2,0,1 0,0,6,7,4,0,1,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<pfh_uniform_2015-05-20_22-02-43.pcd 0.0464411 0.00124436 0.00204952 5 152,68,45,45,34 48,30,24,14,20 0,0,0,0,0 1165840 764 1380 25 78 400 1016 17 70 1165076,461,160,59,39,19,19,2,3,1,1 0,8,7,0,3,1,4,1,1,0,0 0,97,160,59,39,19,19,2,3,1,1 0,0,7,0,3,1,4,1,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<pfh_uniform_2015-05-20_22-04-23.pcd 0.0376652 0.00201769 0.00091442 6 195,76,64,38,37,30 74,28,28,15,19,19 -1 1150032 797 1380 -1 -1 400 983 -1 -1 1149235,520,131,62,39,25,11,8,0,1 -1 0,123,131,62,39,25,11,8,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<pfh_uniform_2015-05-20_22-05-58.pcd 0.0400132 0.00160292 0.00204102 6 99,49,36,35,32,25 34,16,13,19,12,12 -1 1093032 776 1380 -1 -1 400 1004 -1 -1 1092256,496,144,53,42,15,10,8,4,0,1,1,1,1 -1 0,120,144,53,42,15,10,8,4,0,1,1,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<pfh_uniform_2015-05-20_22-07-44.pcd 0.0386105 0.00148551 0.00228054 6 132,80,54,43,43,28 45,28,22,23,12,13 -1 1236064 788 1380 -1 -1 400 992 -1 -1 1235276,511,137,60,37,21,8,9,0,2,1,1,1 -1 0,123,137,60,37,21,8,9,0,2,1,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<pfh_uniform_2015-05-20_22-10-08.pcd 0.0381305 0.00148363 0.00176902 4 250,93,87,54 88,42,34,15 0,0,0,0 1119404 836 1380 23 52 400 944 14 43 1118568,543,163,74,22,16,10,6,1,0,0,1 0,9,7,3,2,0,2,0,0,0,0,0 0,107,163,74,22,16,10,6,1,0,0,1 0,0,7,3,2,0,2,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<pfh_uniform_2015-05-20_22-12-07.pcd 0.043598 0.00128171 0.00249695 4 191,93,62,44 73,37,27,21 -1 1234240 816 1380 -1 -1 400 964 -1 -1 1233424,529,161,63,29,15,6,8,0,0,1,2,1,1 -1 0,113,161,63,29,15,6,8,0,0,1,2,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<pfh_uniform_2015-05-20_22-14-06.pcd 0.0374857 0.00178186 0.00251413 6 161,101,72,71,34,29 66,35,28,28,20,13 -1 1260004 838 1380 -1 -1 400 942 -1 -1 1259166,549,154,65,46,12,6,4,0,0,2 -1 0,111,154,65,46,12,6,4,0,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<pfh_uniform_2015-05-20_22-15-47.pcd 0.0443109 0.00177954 0.000834356 8 135,111,100,49,46,40,40,27 56,34,51,17,22,15,12,13 -1 1161888 804 1380 -1 -1 400 976 -1 -1 1161084,527,154,50,32,8,15,9,8,0,1 -1 0,123,154,50,32,8,15,9,8,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<pfh_uniform_2015-05-20_22-17-51.pcd 0.0385677 0.00139669 0.00185167 9 105,103,46,46,44,42,41,39,30 39,42,27,14,16,16,17,19,15 -1 1118416 810 1380 -1 -1 400 970 -1 -1 1117606,520,148,62,45,21,7,5,2 -1 0,110,148,62,45,21,7,5,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<pfh_uniform_2015-05-20_22-19-38.pcd 0.0391301 0.00196281 0.00170836 5 150,91,69,68,58 62,24,35,27,23 -1 1181040 768 1380 -1 -1 400 1012 -1 -1 1180272,492,130,55,42,26,13,3,1,3,2,1 -1 0,124,130,55,42,26,13,3,1,3,2,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<pfh_uniform_2015-05-20_22-21-36.pcd 0.0397216 0.00164002 0.000944188 9 186,110,55,53,48,47,47,37,35 58,39,19,20,21,23,18,18,16 -1 1000688 744 1380 -1 -1 400 1036 -1 -1 999944,444,151,66,37,20,14,4,4,1,0,1,2 -1 0,100,151,66,37,20,14,4,4,1,0,1,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<pfh_uniform_2015-05-20_22-24-11.pcd 0.0369786 0.00172128 0.000705824 8 121,89,82,73,55,44,38,32 50,31,30,25,24,20,17,19 -1 1075896 792 1380 -1 -1 400 988 -1 -1 1075104,510,141,66,36,14,13,5,2,3,2 -1 0,118,141,66,36,14,13,5,2,3,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<pfh_uniform_2015-05-20_22-26-05.pcd 0.0393384 0.00143593 0.00180723 9 97,83,68,66,54,43,36,22,17 46,20,27,24,14,20,14,18,14 -1 1058400 786 1380 -1 -1 400 994 -1 -1 1057614,505,145,58,35,16,15,3,4,2,3 -1 0,119,145,58,35,16,15,3,4,2,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<pfh_uniform_2015-05-20_22-27-24.pcd 0.048849 0.0019699 0.00247936 5 184,103,52,47,43 74,38,18,20,14 -1 988992 711 1380 -1 -1 400 1069 -1 -1 988281,417,141,63,35,19,16,10,4,2,3,1 -1 0,106,141,63,35,19,16,10,4,2,3,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_30/room_1/features/nonPlanes<pfh_uniform_2015-05-20_22-28-45.pcd 0.0171354 0.000727973 0.00106469 7 206,127,64,51,35,35,25 75,49,20,17,18,13,13 -1 950232 748 1380 -1 -1 400 1032 -1 -1 949484,445,155,56,47,20,15,5,2,2,1 -1 0,97,155,56,47,20,15,5,2,2,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_30/room_7/features/nonPlanes<pfh_uniform_2015-05-20_22-31-39.pcd 0.0366445 0.00131701 0.00181551 9 102,68,49,45,41,38,33,31,22 47,23,17,16,15,19,17,13,16 -1 1158544 862 1380 -1 -1 400 918 -1 -1 1157682,565,175,65,30,18,4,4,1 -1 0,103,175,65,30,18,4,4,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_32/room_2/features/nonPlanes<pfh_uniform_2015-05-20_22-33-08.pcd 0.056611 0.00144933 0.00112979 6 141,103,67,65,51,34 51,41,25,23,21,12 -1 1146802 768 1380 -1 -1 400 1012 -1 -1 1146034,470,149,73,40,13,6,9,5,2,0,1 -1 0,102,149,73,40,13,6,9,5,2,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_34/room_2/features/nonPlanes<pfh_uniform_2015-05-20_22-36-08.pcd 0.0532448 0.00175305 0.00244458 4 169,117,106,64 60,41,50,28 -1 1146612 809 1380 -1 -1 400 971 -1 -1 1145803,503,173,70,32,13,8,4,4,0,2 -1 0,94,173,70,32,13,8,4,4,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_36/room_3/features/nonPlanes<pfh_uniform_2015-05-20_22-38-02.pcd 0.0390862 0.00122109 0.00185461 8 196,194,41,36,34,32,31,29 66,62,19,15,13,19,20,12 -1 949620 779 1380 -1 -1 400 1001 -1 -1 948841,491,149,62,35,18,10,9,2,1,0,1,0,0,0,0,1 -1 0,112,149,62,35,18,10,9,2,1,0,1,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_38/room_2/features/nonPlanes<pfh_uniform_2015-05-20_22-40-25.pcd 0.0186847 0.00134714 0.000950922 5 290,113,59,54,52 93,44,12,30,21 -1 942956 754 1380 -1 -1 400 1026 -1 -1 942202,478,138,57,34,21,6,6,4,4,2,1,2,1 -1 0,124,138,57,34,21,6,6,4,4,2,1,2,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_39/room_3/features/nonPlanes<pfh_uniform_2015-05-20_22-42-41.pcd 0.0330292 0.00129635 0.00173513 9 203,142,40,37,33,29,29,21,20 65,39,13,19,12,14,12,15,15 -1 1107662 737 1380 -1 -1 400 1043 -1 -1 1106925,443,145,63,34,21,13,12,2,1,3 -1 0,106,145,63,34,21,13,12,2,1,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_41/room_3/features/nonPlanes<pfh_uniform_2015-05-20_22-44-08.pcd 0.0409157 0.00127101 0.00194488 4 248,89,70,45 77,33,26,26 -1 1040400 774 1380 -1 -1 400 1006 -1 -1 1039626,484,145,76,19,22,14,7,5,1,1 -1 0,110,145,76,19,22,14,7,5,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_43/room_3/features/nonPlanes<pfh_uniform_2015-05-20_22-47-01.pcd 0.0287417 0.000801538 0.00247585 8 111,93,91,39,35,28,27,22 49,24,35,15,14,14,14,13 -1 1100784 771 1380 -1 -1 400 1009 -1 -1 1100013,482,144,74,32,13,8,11,2,1,1,1,2 -1 0,111,144,74,32,13,8,11,2,1,1,1,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_45/room_2/features/nonPlanes<pfh_uniform_2015-05-20_22-48-56.pcd 0.036782 0.00165739 0.00084128 5 271,90,41,27,20 88,46,16,19,14 -1 1109600 799 1380 -1 -1 400 981 -1 -1 1108801,508,149,75,30,16,10,5,2,3,0,1 -1 0,109,149,75,30,16,10,5,2,3,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_47/room_3/features/nonPlanes<pfh_uniform_2015-05-20_22-51-06.pcd 0.0186535 0.000987156 0.00232858 6 301,122,36,36,27,22 99,50,20,16,16,13 -1 1105800 822 1380 -1 -1 400 958 -1 -1 1104978,533,158,62,37,8,17,3,3,0,1 -1 0,111,158,62,37,8,17,3,3,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140909/patrol_run_49/room_3/features/nonPlanes<pfh_uniform_2015-05-20_22-53-15.pcd 0.0464 0.00198542 0.00172439 6 168,72,57,45,42,26 69,30,17,13,17,12 -1 1049598 753 1380 -1 -1 400 1027 -1 -1 1048845,463,141,69,33,18,13,3,11,1,1 -1 0,110,141,69,33,18,13,3,11,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140909/patrol_run_51/room_3/features/nonPlanes<pfh_uniform_2015-05-20_22-55-40.pcd 0.041 0.00225342 0.00178076 6 141,129,109,92,48,40 51,54,41,34,21,16 -1 1987742 768 1380 -1 -1 400 1012 -1 -1 1986974,482,147,60,30,21,11,10,4,1,0,2 -1 0,114,147,60,30,21,11,10,4,1,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140909/patrol_run_53/room_3/features/nonPlanes<pfh_uniform_2015-05-20_22-58-44.pcd 0.0523718 0.00167969 0.00241585 6 195,67,50,47,38,31 67,25,17,13,13,14 -1 1102608 773 1380 -1 -1 400 1007 -1 -1 1101835,473,157,64,37,19,15,3,1,2,1,1 -1 0,100,157,64,37,19,15,3,1,2,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140909/patrol_run_55/room_3/features/nonPlanes<pfh_uniform_2015-05-20_23-00-34.pcd 0.054578 0.00164298 0.00113403 9 114,86,75,56,51,25,23,20,18 51,35,26,24,22,13,13,13,12 -1 1020908 865 1380 -1 -1 400 915 -1 -1 1020043,569,168,66,44,12,3,1,2 -1 0,104,168,66,44,12,3,1,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140909/patrol_run_57/room_3/features/nonPlanes<pfh_uniform_2015-05-20_23-02-50.pcd 0.0545217 0.00276784 0.0017465 6 182,121,96,79,40,30 52,42,30,40,14,20 -1 2799460 740 1380 -1 -1 400 1040 -1 -1 2798720,447,146,55,41,22,14,9,4,1,0,0,0,0,1 -1 0,107,146,55,41,22,14,9,4,1,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140909/patrol_run_59/room_3/features/nonPlanes<pfh_uniform_2015-05-20_23-03-26.pcd 0.0356832 0.000858892 0.00180345 5 263,59,35,30,30 104,28,21,16,12 -1 446622 880 1380 -1 -1 400 900 -1 -1 445742,595,166,65,26,19,5,3,1 -1 0,115,166,65,26,19,5,3,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140909/patrol_run_61/room_3/features/nonPlanes<pfh_uniform_2015-05-20_23-05-06.pcd 0.0390451 0.00132216 0.00170452 6 125,70,67,61,32,28 37,28,33,18,13,13 -1 447579 733 1380 -1 -1 400 1047 -1 -1 446846,444,143,53,43,22,12,6,4,2,2,0,1,1 -1 0,111,143,53,43,22,12,6,4,2,2,0,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140909/patrol_run_63/room_3/features/nonPlanes<pfh_uniform_2015-05-20_23-06-48.pcd 0.0355485 0.00126634 0.000701776 6 147,99,73,41,39,19 48,46,29,12,18,12 0,0,1,0,0,0 420420 755 1380 36 79 400 1025 26 69 419665,461,156,62,28,13,17,11,2,2,2,1 0,15,9,4,7,0,1,0,0,0,0,0 0,106,156,62,28,13,17,11,2,2,2,1 0,5,9,4,7,0,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140910/patrol_run_67/room_3/features/nonPlanes<pfh_uniform_2015-05-20_23-08-21.pcd 0.0268353 0.000789285 0.000759108 4 274,48,45,25 114,19,21,14 -1 473286 811 1380 -1 -1 400 969 -1 -1 472475,518,151,67,40,21,9,2,2,0,1 -1 0,107,151,67,40,21,9,2,2,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140910/patrol_run_69/room_3/features/nonPlanes<pfh_uniform_2015-05-20_23-10-18.pcd 0.0394822 0.000907697 0.00185711 6 265,67,50,38,27,21 107,28,22,14,15,13 -1 446622 865 1380 -1 -1 400 915 -1 -1 445757,572,169,65,37,15,3,1,2,0,0,1 -1 0,107,169,65,37,15,3,1,2,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140910/patrol_run_71/room_3/features/nonPlanes<pfh_uniform_2015-05-20_23-12-38.pcd 0.0354626 0.000680602 0.00167757 8 112,60,53,50,47,47,38,38 34,24,17,20,16,16,17,15 -1 477048 781 1380 -1 -1 400 999 -1 -1 476267,476,172,63,30,15,13,7,2,0,2,0,0,1 -1 0,95,172,63,30,15,13,7,2,0,2,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140910/patrol_run_74/room_3/features/nonPlanes<pfh_uniform_2015-05-20_23-14-11.pcd 0.0374625 0.000864949 0.00189854 9 88,81,56,47,46,41,40,39,27 33,24,12,15,16,22,24,27,13 -1 442200 772 1380 -1 -1 400 1008 -1 -1 441428,499,133,45,41,32,11,5,3,1,1,0,1 -1 0,127,133,45,41,32,11,5,3,1,1,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140910/patrol_run_77/room_4/features/nonPlanes<pfh_uniform_2015-05-20_23-16-47.pcd 0.0317467 0.000758335 0.00177619 8 117,79,62,49,47,41,34,15 42,27,18,20,20,21,13,12 -1 446622 737 1380 -1 -1 400 1043 -1 -1 445885,443,136,72,39,19,13,8,4,1,0,1,1 -1 0,106,136,72,39,19,13,8,4,1,0,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140910/patrol_run_79/room_2/features/nonPlanes<pfh_uniform_2015-05-20_23-18-13.pcd 0.0342059 0.000737761 0.00236589 6 127,73,52,51,36,29 45,29,14,16,13,12 -1 396627 763 1380 -1 -1 400 1017 -1 -1 395864,485,137,57,33,21,15,7,4,2,0,1,0,1 -1 0,122,137,57,33,21,15,7,4,2,0,1,0,1 -1
