obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/pillow/features/rgb_0003_label_pillow<shot_uniform_2015-05-26_14-45-47.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__59666: 'http://tycho:59666/'}
rosversion: '1.11.10

  '
run_id: 66a28e80-073b-11e5-a0ea-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_uniform_2015-05-20_21-31-52.pcd 1.80776 0.00416347 0.00207652 8 96,88,42,29,26,24,19,16 55,61,17,18,15,15,14,12 -1 1139050 1087 1380 -1 -1 400 693 -1 -1 1137963,875,163,28,13,7,0,0,1 -1 0,188,163,28,13,7,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_uniform_2015-05-20_21-31-55.pcd 2.00388 0.00165008 0.00245932 7 83,77,46,26,21,20,17 51,61,18,22,14,17,13 -1 1240738 1109 1380 -1 -1 400 671 -1 -1 1239629,911,152,32,10,0,2,1,0,0,1 -1 0,202,152,32,10,0,2,1,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_uniform_2015-05-20_21-31-59.pcd 2.03248 0.00188377 0.00253091 7 147,57,51,41,35,28,19 85,34,29,18,15,15,13 -1 1240624 1053 1380 -1 -1 400 727 -1 -1 1239571,813,177,46,12,3,2 -1 0,160,177,46,12,3,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-02.pcd 1.89029 0.00393765 0.00163593 6 73,70,55,33,24,23 43,48,41,27,12,16 0,0,0,0,0,0 1135060 1116 1380 28 41 400 664 23 36 1133944,919,142,44,10,1 0,20,4,3,1,0 0,203,142,44,10,1 0,15,4,3,1,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-06.pcd 1.78275 0.00154431 0.00173844 9 100,76,66,63,53,45,33,29,18 51,37,41,35,38,21,16,18,12 -1 1094400 1052 1380 -1 -1 400 728 -1 -1 1093348,816,178,43,7,3,2,1,1,1 -1 0,164,178,43,7,3,2,1,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-09.pcd 1.49975 0.00189231 0.00231362 8 126,100,87,74,40,39,37,30 51,43,34,31,13,15,15,13 -1 1264640 864 1380 -1 -1 400 916 -1 -1 1263776,565,177,71,30,9,6,1,5 -1 0,101,177,71,30,9,6,1,5 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-11.pcd 1.58855 0.00149952 0.00174991 8 82,68,54,44,40,32,29,26 46,38,25,28,24,22,16,16 -1 1201408 1066 1380 -1 -1 400 714 -1 -1 1200342,830,181,37,13,5 -1 0,164,181,37,13,5 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_uniform_2015-05-20_21-32-13.pcd 1.82801 0.00151705 0.00164756 5 144,50,46,33,23 86,37,29,17,13 -1 1186056 1095 1380 -1 -1 400 685 -1 -1 1184961,890,152,33,14,5,1 -1 0,195,152,33,14,5,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-17.pcd 2.13078 0.00132811 0.0025069 7 61,51,47,45,40,31,26 42,32,35,31,28,22,17 -1 1120164 1120 1380 -1 -1 400 660 -1 -1 1119044,926,147,32,11,4 -1 0,206,147,32,11,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_uniform_2015-05-20_21-32-20.pcd 2.08593 0.00228171 0.00297441 8 85,47,42,42,27,26,25,20 55,24,32,28,19,17,22,14 0,0,0,0,0,0,0,0 1060884 1130 1380 16 27 400 650 15 26 1059754,934,159,26,7,2,2 0,9,5,1,0,1,0 0,204,159,26,7,2,2 0,8,5,1,0,1,0
