obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_susan,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<shotcolor_susan_2015-05-26_15-08-15.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__38699: 'http://tycho:38699/', host_tycho__53076: 'http://tycho:53076/',
    host_tycho__56859: 'http://tycho:56859/'}
rosversion: '1.11.10

  '
run_id: df4bfbdc-06dc-11e5-a1bc-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-38.pcd 0.223438 0.0023295 0.000842421 1 88 44 -1 665754 132 210 -1 -1 132 210 -1 -1 665622,79,38,10,3,0,1,1 -1 0,79,38,10,3,0,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-38.pcd 0.394329 0.000986611 0.000743344 3 54,18,15 15,13,13 -1 908656 137 210 -1 -1 137 210 -1 -1 908519,102,21,4,4,2,2,1,0,1 -1 0,102,21,4,4,2,2,1,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-40.pcd 0.144251 0.000589381 0.00036392 1 34 17 -1 853128 123 210 -1 -1 123 210 -1 -1 853005,70,32,12,5,4 -1 0,70,32,12,5,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-40.pcd 0.401151 0.00104379 0.000238482 3 69,48,20 30,22,13 -1 988788 118 210 -1 -1 118 210 -1 -1 988670,71,29,6,6,2,1,1,2 -1 0,71,29,6,6,2,1,1,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-41.pcd 0.345967 0.00104607 0.000545829 1 47 29 -1 889644 129 210 -1 -1 129 210 -1 -1 889515,81,29,9,6,4 -1 0,81,29,9,6,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-42.pcd 0.264888 0.00109431 0.000625524 2 76,34 36,19 -1 1095570 131 210 -1 -1 131 210 -1 -1 1095439,85,29,12,1,2,1,0,0,0,0,1 -1 0,85,29,12,1,2,1,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-43.pcd 0.322316 0.0011746 0.000794199 2 36,20 18,12 -1 797810 128 210 -1 -1 128 210 -1 -1 797682,80,31,7,5,3,2 -1 0,80,31,7,5,3,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-44.pcd 0.205764 0.00134308 0.000650831 1 39 28 -1 809919 162 210 -1 -1 162 210 -1 -1 809757,127,26,6,2,1 -1 0,127,26,6,2,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-45.pcd 0.305576 0.000774298 0.000460223 2 37,34 19,14 -1 861300 110 210 -1 -1 110 210 -1 -1 861190,63,27,6,5,4,2,2,0,1 -1 0,63,27,6,5,4,2,2,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-45.pcd 0.31904 0.000754476 0.000577148 3 60,55,47 40,17,21 -1 548856 111 210 -1 -1 111 210 -1 -1 548745,72,22,6,2,2,0,4,0,1,1,1 -1 0,72,22,6,2,2,0,4,0,1,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-46.pcd 0.210689 0.00110021 0.000905645 3 38,24,23 20,12,12 -1 544500 121 210 -1 -1 121 210 -1 -1 544379,77,24,9,7,2,0,0,1,0,0,0,1 -1 0,77,24,9,7,2,0,0,1,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-47.pcd 0.323756 0.000901509 0.000844654 2 33,26 17,16 -1 879002 123 210 -1 -1 123 210 -1 -1 878879,80,26,7,4,3,1,1,0,0,0,0,0,1 -1 0,80,26,7,4,3,1,1,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-47.pcd 0.317756 0.000949464 0.000621358 3 65,33,26 25,17,12 -1 795300 123 210 -1 -1 123 210 -1 -1 795177,81,20,11,6,2,1,1,0,1 -1 0,81,20,11,6,2,1,1,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-48.pcd 0.339962 0.000956633 0.000742288 1 6 1 -1 858000 116 210 -1 -1 116 210 -1 -1 857884,66,25,14,5,4,2 -1 0,66,25,14,5,4,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-49.pcd 0.356498 0.000672878 0.000805241 2 38,25 12,13 -1 892296 126 210 -1 -1 126 210 -1 -1 892170,84,24,7,6,3,0,1,0,0,0,1 -1 0,84,24,7,6,3,0,1,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-49.pcd 0.282508 0.00101632 0.000557393 2 25,18 13,15 0,0 733260 128 210 9 21 128 210 9 21 733132,83,28,8,4,1,2,2 0,3,1,4,1,0,0,0 0,83,28,8,4,1,2,2 0,3,1,4,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-50.pcd 0.289364 0.000945893 0.00102509 3 61,56,20 35,22,17 -1 628056 126 210 -1 -1 126 210 -1 -1 627930,80,31,5,3,2,4,1 -1 0,80,31,5,3,2,4,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-50.pcd 0.33586 0.00083597 0.000224848 1 57 19 0 683199 118 210 12 28 118 210 12 28 683081,75,23,9,4,3,0,3,0,0,1 0,5,4,1,0,1,0,1,0,0,0 0,75,23,9,4,3,0,3,0,0,1 0,5,4,1,0,1,0,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-51.pcd 0.302317 0.0010885 0.000592048 2 32,15 15,12 0,0 541926 132 210 13 24 132 210 13 24 541794,94,19,7,6,4,1,1 0,9,1,1,1,0,1,0 0,94,19,7,6,4,1,1 0,9,1,1,1,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-52.pcd 0.289099 0.000970384 0.000833398 2 47,41 17,17 0,1 866250 112 210 17 41 112 210 17 41 866138,67,25,6,3,7,1,2,1 0,9,4,1,0,0,1,1,1 0,67,25,6,3,7,1,2,1 0,9,4,1,0,0,1,1,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-52.pcd 0.333953 0.00076629 0.000845007 3 34,32,29 18,13,12 0,0,1 565488 116 210 13 32 116 210 13 32 565372,66,23,19,4,3,0,0,0,0,1 0,3,3,5,2,0,0,0,0,0,0 0,66,23,19,4,3,0,0,0,0,1 0,3,3,5,2,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-53.pcd 0.285415 0.00119116 0.00124367 3 48,40,36 20,17,27 1,0,0 638112 127 210 20 48 127 210 20 48 637985,82,28,9,4,1,1,1,0,0,0,1 0,7,5,4,2,1,1,0,0,0,0,0 0,82,28,9,4,1,1,1,0,0,0,1 0,7,5,4,2,1,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-54.pcd 0.15192 0.00053135 0.000228739 1 52 16 -1 565760 102 210 -1 -1 102 210 -1 -1 565658,57,23,8,3,6,2,1,1,0,0,0,0,0,1 -1 0,57,23,8,3,6,2,1,1,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-54.pcd 0.248467 0.000927391 0.000531611 2 57,25 21,13 0,0 821700 114 210 10 30 114 210 10 30 821586,65,28,10,6,2,0,1,0,2 0,2,3,1,3,0,0,1,0,0 0,65,28,10,6,2,0,1,0,2 0,2,3,1,3,0,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_30/room_1/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-55.pcd 0.365115 0.000695553 0.000838136 3 51,48,22 14,27,16 1,0,0 516186 118 210 13 50 118 210 13 50 516068,83,16,8,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,83,16,8,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_30/room_7/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-56.pcd 0.260098 0.000996952 0.00045016 2 39,36 22,12 0,0 614686 108 210 1 1 108 210 1 1 614578,63,22,9,4,3,5,1,1 0,1,0,0,0,0,0,0,0 0,63,22,9,4,3,5,1,1 0,1,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_32/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-56.pcd 0.253404 0.000494832 0.000342789 2 47,24 25,13 0,0 675886 132 210 7 13 132 210 7 13 675754,92,17,15,3,3,2 0,5,0,1,0,1,0 0,92,17,15,3,3,2 0,5,0,1,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_34/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-57.pcd 0.410391 0.00120501 0.000809216 3 39,22,16 14,14,13 1,0,0 571200 122 210 14 39 122 210 14 39 571078,77,24,8,8,2,2,1 0,4,2,3,4,0,1,0 0,77,24,8,8,2,2,1 0,4,2,3,4,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_36/room_3/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-58.pcd 0.306253 0.00052936 0.000574766 2 48,30 20,19 0,0 531366 123 210 14 39 123 210 14 39 531243,71,32,10,7,1,2 0,5,2,2,3,0,2 0,71,32,10,7,1,2 0,5,2,2,3,0,2
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_38/room_2/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-59.pcd 0.173184 0.00113604 0.00094747 4 38,31,26,22 15,13,12,18 0,0,1,0 607992 129 210 11 24 129 210 11 24 607863,89,19,12,6,2,0,0,0,0,0,0,0,1 0,4,2,4,1,0,0,0,0,0,0,0,0,0 0,89,19,12,6,2,0,0,0,0,0,0,0,1 0,4,2,4,1,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_39/room_3/features/nonPlanes<shotcolor_susan_2015-05-21_15-22-59.pcd 0.252173 0.00107888 0.000897219 3 61,19,17 21,12,13 -1 827904 120 210 -1 -1 120 210 -1 -1 827784,76,27,7,5,2,0,1,1,0,0,0,0,0,1 -1 0,76,27,7,5,2,0,1,1,0,0,0,0,0,1 -1
