obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<shot_uniform_2015-05-26_14-45-49.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__51404: 'http://tycho:51404/'}
rosversion: '1.11.10

  '
run_id: b35021e4-06d1-11e5-8f5d-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_uniform_2015-05-20_21-31-52.pcd 2.32323 0.00278139 0.00183683 8 49,35,27,24,17,16,16,13 45,30,21,16,15,14,13,13 -1 1139050 1022 1120 -1 -1 400 498 -1 -1 1138028,934,79,8,1 -1 0,312,79,8,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_uniform_2015-05-20_21-31-55.pcd 2.56787 0.001486 0.00155979 5 73,25,20,18,13 66,23,16,17,12 -1 1240738 1029 1120 -1 -1 400 491 -1 -1 1239709,947,75,5,2 -1 0,318,75,5,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_uniform_2015-05-20_21-31-59.pcd 2.18093 0.0013823 0.00169386 8 141,27,27,26,24,19,14,13 122,23,18,18,24,14,12,12 -1 1240624 1013 1120 -1 -1 400 507 -1 -1 1239611,918,83,12 -1 0,305,83,12 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-02.pcd 2.70687 0.00273038 0.0015719 9 44,38,29,25,22,21,16,15,14 41,36,25,23,18,16,13,14,12 -1 1135060 1028 1120 -1 -1 400 492 -1 -1 1134032,946,74,7,0,1 -1 0,318,74,7,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-06.pcd 2.28711 0.00128237 0.00157157 6 78,65,49,21,13,12 70,61,44,20,13,12 -1 1094400 1030 1120 -1 -1 400 490 -1 -1 1093370,945,80,5 -1 0,315,80,5 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-09.pcd 1.96327 0.0021545 0.00167318 8 80,59,47,25,20,16,15,14 58,46,41,17,17,14,13,13 -1 1264640 974 1120 -1 -1 400 546 -1 -1 1263666,844,116,12,2 -1 0,270,116,12,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-11.pcd 2.29911 0.00120773 0.00166927 8 39,38,36,35,27,18,16,13 37,34,34,31,21,15,13,13 -1 1201408 1035 1120 -1 -1 400 485 -1 -1 1200373,960,67,6,2 -1 0,325,67,6,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_uniform_2015-05-20_21-32-13.pcd 2.76197 0.00124412 0.00158894 5 88,42,30,17,16 74,39,27,15,13 -1 1186056 1023 1120 -1 -1 400 497 -1 -1 1185033,935,79,9 -1 0,312,79,9 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-17.pcd 2.48652 0.00177241 0.00224657 6 121,42,30,20,18,18 115,36,22,16,16,16 -1 1120164 1026 1120 -1 -1 400 494 -1 -1 1119138,941,78,5,2 -1 0,315,78,5,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_uniform_2015-05-20_21-32-20.pcd 2.13463 0.00246333 0.00162586 8 74,27,20,18,18,15,15,12 66,21,16,16,15,14,13,12 -1 1060884 1039 1120 -1 -1 400 481 -1 -1 1059845,967,63,9 -1 0,328,63,9 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shot_uniform_2015-05-20_21-32-23.pcd 2.13893 0.00257081 0.0016362 5 112,50,27,26,22 101,42,25,25,18 -1 1165840 1013 1120 -1 -1 400 507 -1 -1 1164827,923,77,9,4 -1 0,310,77,9,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-25.pcd 2.00978 0.00256038 0.00171592 10 79,49,34,32,23,20,20,17,16,16 66,43,29,26,20,20,17,15,15,14 -1 1150032 1013 1120 -1 -1 400 507 -1 -1 1149019,917,86,9,1 -1 0,304,86,9,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shot_uniform_2015-05-20_21-32-28.pcd 2.12716 0.00278449 0.00158205 3 134,27,18 125,25,16 -1 1093032 1031 1120 -1 -1 400 489 -1 -1 1092001,949,75,7 -1 0,318,75,7 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shot_uniform_2015-05-20_21-32-30.pcd 2.40585 0.00126298 0.00177219 6 67,42,35,16,14,13 60,32,30,14,13,13 -1 1236064 1034 1120 -1 -1 400 486 -1 -1 1235030,954,75,4,1 -1 0,320,75,4,1 -1
